feature,coefficient,method,base_method,best_alpha,train_pulses
intercept,0.0,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B4_intercept,328.2654201152934,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B4_log_amp,-723.4097078930073,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B4_log_amp2,319.1452326765141,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B4_inv_amp,-11.614892667805027,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B4_peak_sample,0.29870215426072627,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B4_area_over_amp,0.129904843796718,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B4_template_sse,0.09967026652072329,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B6_intercept,-74.54960160647786,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B6_log_amp,-32.638058277033174,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B6_log_amp2,17.932739997832044,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B6_inv_amp,0.550297334178494,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B6_peak_sample,0.44326715732992583,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B6_area_over_amp,-0.2013902320184797,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B6_template_sse,-0.06580383767972059,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B8_intercept,-253.7158023103238,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B8_log_amp,298.95775641935563,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B8_log_amp2,-136.58843224069372,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B8_inv_amp,3.732807786395958,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B8_peak_sample,0.19678264680396712,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B8_area_over_amp,-0.8795774703981356,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
B8_template_sse,-0.19744885309537794,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
pre_range_adc,2.498290351562221,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
pre_std_adc,-3.2939672617170306,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
pre_line_absmax_adc,0.6103731944158652,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
pre_line_rms_adc,-0.5098231517949836,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
pre_line_slope_adc_per_sample,0.7188116438413583,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
pre_min_adc,0.00632157409381661,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
log1p_pre_range,0.08846783824132688,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
log1p_line_absmax,-2.12353223516985,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
proxy_x_log_amp,2.1067795981164767,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262
