method,base_method,fold,heldout_runs,sigma68_ns,n_pair_residuals
s16e_base_timewalk,template_phase,0,58 61,2.136501171234445,3018
s16e_base_timewalk,template_phase,1,60 63,1.5224610797242768,3534
s16e_base_timewalk,template_phase,2,59 62,1.5806733458795863,4710
