epoch,training_loss
1,0.18493125836054483
2,0.1660557481504622
3,0.15136433286326273
4,0.10973035721551805
5,0.08872993751650765
6,0.08225112231004805
7,0.08019582004774184
8,0.07620486688046228
9,0.07491704679670788
10,0.0724753574246452
11,0.06854500319986116
12,0.05528904657278742
13,0.04655457873429571
14,0.04422288281576974
15,0.04054682027725946
16,0.039786528263773234
17,0.039117476592461266
18,0.038711948231572195
19,0.03867643539394651
20,0.036961321852036884
21,0.03663152562720435
22,0.0355094958628927
23,0.035426306760027296
24,0.03537989638390995
25,0.03408914760109924
