base_method,shuffle_mode,scope,stratum,count,mean,std,min,max,p95
ML residual masked-denoising AE-4,global,heldout_run,42,10,0.2506511190791095,0.03639455883975492,0.1927962357991839,0.3053998426840137,0.29737160874626134
ML residual masked-denoising AE-4,global,heldout_run,57,10,0.2486644990172429,0.03673722661035912,0.2009266505851872,0.3125941994996873,0.30549229652461357
ML residual masked-denoising AE-4,global,heldout_run,64,10,0.28148009322622713,0.025126244629917256,0.25072662210894714,0.3146041851047606,0.313461849427472
ML residual masked-denoising AE-4,global,heldout_run,65,10,0.28166261059243053,0.04111238683529686,0.21270845165169455,0.35838147695632827,0.340841439020914
ML residual masked-denoising AE-4,global,overall,,10,0.26761395374828767,0.02497446369378611,0.23863188445377634,0.3127295582170572,0.30707851640767636
ML residual masked-denoising AE-4,global,topology,pair,10,0.2155261697240976,0.03477606496177868,0.14839428286768624,0.2696814010054105,0.26280190353519856
ML residual masked-denoising AE-4,global,topology,quad,10,0.2548034904303574,0.03251274578952431,0.2109830424995958,0.3023065913094539,0.3010941169994128
ML residual masked-denoising AE-4,global,topology,single,10,0.2265236111166037,0.03653891042326842,0.1610048921568016,0.27788615662443694,0.2728349136584512
ML residual masked-denoising AE-4,global,topology,triple,10,0.2361632243252374,0.03441993653174367,0.18813522669367436,0.2868316610228082,0.2833909791622938
ML residual masked-denoising AE-4,within_run,heldout_run,42,10,0.2534600535804717,0.005996496364283735,0.24654503099625352,0.2634156845870861,0.26300874032325194
ML residual masked-denoising AE-4,within_run,heldout_run,57,10,0.22812359622085232,0.008341276261580642,0.21946607254534084,0.24351682971500047,0.24224523195300635
ML residual masked-denoising AE-4,within_run,heldout_run,64,10,0.24420162891995895,0.007006218840106688,0.2320135373896334,0.25447602765673794,0.2528520464067681
ML residual masked-denoising AE-4,within_run,heldout_run,65,10,0.19589225305824293,0.004835998538293399,0.18468540377771311,0.20121978097402232,0.20052573773227256
ML residual masked-denoising AE-4,within_run,overall,,10,0.23873592609881963,0.005120685166946133,0.23075323364113187,0.24815574927036257,0.24642655475084116
ML residual masked-denoising AE-4,within_run,topology,pair,10,0.26637305443959053,0.010362105656122167,0.2499044071863524,0.2845384450165144,0.2804402431380493
ML residual masked-denoising AE-4,within_run,topology,quad,10,0.24319402248376693,0.007341307451925313,0.22709923664122136,0.25072256333665227,0.25015004425268283
ML residual masked-denoising AE-4,within_run,topology,single,10,0.26366028133114694,0.0090393569875589,0.2536765394219126,0.28518904803084,0.27854304988146295
ML residual masked-denoising AE-4,within_run,topology,triple,10,0.23118232450866674,0.016643527973988,0.2021068378624866,0.2575860441336868,0.254481235615168
ML residual masked-denoising AE-4,within_run_topology,heldout_run,42,10,0.28033943755658386,0.005385668747472076,0.2699837440147505,0.2860858487504057,0.2856206646653282
ML residual masked-denoising AE-4,within_run_topology,heldout_run,57,10,0.24708485995711604,0.0041042647095145155,0.24129493880103633,0.2563939850799607,0.25327359007862055
ML residual masked-denoising AE-4,within_run_topology,heldout_run,64,10,0.2607964403798691,0.005720882813865332,0.24786405301143444,0.26714085817136024,0.2661882653521817
ML residual masked-denoising AE-4,within_run_topology,heldout_run,65,10,0.23008303357597573,0.005072323354103988,0.2222067073860423,0.2381812966466747,0.23664664223609183
ML residual masked-denoising AE-4,within_run_topology,overall,,10,0.2604125693198385,0.004414211143192521,0.25008376310603125,0.26417516679347675,0.2639156612064549
ML residual masked-denoising AE-4,within_run_topology,topology,pair,10,0.22026888989354862,0.004603653724783591,0.21562533478036078,0.23081690964716323,0.22783382399923838
ML residual masked-denoising AE-4,within_run_topology,topology,quad,10,0.28206725184457093,0.009822437176113337,0.2696529515262921,0.30090095696426594,0.2978544828712332
ML residual masked-denoising AE-4,within_run_topology,topology,single,10,0.2868952227231573,0.0037312172965675893,0.2816206632510805,0.2924053159189932,0.29189695317243974
ML residual masked-denoising AE-4,within_run_topology,topology,triple,10,0.24895049934002467,0.007923091942547778,0.24008533283391137,0.26459666513835045,0.2609638019356906
ML residual masked-denoising AE-4,within_topology,heldout_run,42,10,0.2722823160479574,0.0038397643511447472,0.26541832678378674,0.2767075744616667,0.27659209866010054
ML residual masked-denoising AE-4,within_topology,heldout_run,57,10,0.24338053247565444,0.003491823654974501,0.23726432815152326,0.2487060104529617,0.24850306720718307
ML residual masked-denoising AE-4,within_topology,heldout_run,64,10,0.25464856791425056,0.00993998299037699,0.2390795163456222,0.26843253148783125,0.26674390216969013
