method,base_method,shuffle_mode,seed,scope,metric,value,macro_f1,train_rows,heldout_rows,stratum
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,global,7007,overall,balanced_accuracy,0.25854297848445257,0.20872713623559538,82118.0,11998,
,traditional residual PCA+hand,global,7007,heldout_run,balanced_accuracy,0.25734926968238314,,,2635,42
,traditional residual PCA+hand,global,7007,heldout_run,balanced_accuracy,0.222185607075851,,,2559,57
,traditional residual PCA+hand,global,7007,heldout_run,balanced_accuracy,0.2733600961763222,,,4034,64
,traditional residual PCA+hand,global,7007,heldout_run,balanced_accuracy,0.26366089598734854,,,2770,65
,traditional residual PCA+hand,global,7007,topology,balanced_accuracy,0.2794674287018685,,,6121,single
,traditional residual PCA+hand,global,7007,topology,balanced_accuracy,0.24434605329863418,,,2764,pair
,traditional residual PCA+hand,global,7007,topology,balanced_accuracy,0.22066945832763787,,,1920,triple
,traditional residual PCA+hand,global,7007,topology,balanced_accuracy,0.21963997357604226,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,global,7008,overall,balanced_accuracy,0.24984682081956658,0.17697636667136102,82118.0,11998,
,traditional residual PCA+hand,global,7008,heldout_run,balanced_accuracy,0.21820262626775225,,,2635,42
,traditional residual PCA+hand,global,7008,heldout_run,balanced_accuracy,0.23134953765746447,,,2559,57
,traditional residual PCA+hand,global,7008,heldout_run,balanced_accuracy,0.263558401403149,,,4034,64
,traditional residual PCA+hand,global,7008,heldout_run,balanced_accuracy,0.25859065418891647,,,2770,65
,traditional residual PCA+hand,global,7008,topology,balanced_accuracy,0.22257807685695719,,,6121,single
,traditional residual PCA+hand,global,7008,topology,balanced_accuracy,0.2250971027023306,,,2764,pair
,traditional residual PCA+hand,global,7008,topology,balanced_accuracy,0.24227786242664892,,,1920,triple
,traditional residual PCA+hand,global,7008,topology,balanced_accuracy,0.27693562936676114,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,global,7009,overall,balanced_accuracy,0.2727442518908375,0.20891407286762814,82118.0,11998,
,traditional residual PCA+hand,global,7009,heldout_run,balanced_accuracy,0.24814193785525168,,,2635,42
,traditional residual PCA+hand,global,7009,heldout_run,balanced_accuracy,0.26158751005092473,,,2559,57
,traditional residual PCA+hand,global,7009,heldout_run,balanced_accuracy,0.289203843506325,,,4034,64
,traditional residual PCA+hand,global,7009,heldout_run,balanced_accuracy,0.2697662316332959,,,2770,65
,traditional residual PCA+hand,global,7009,topology,balanced_accuracy,0.2249531944843735,,,6121,single
,traditional residual PCA+hand,global,7009,topology,balanced_accuracy,0.2323987879906399,,,2764,pair
,traditional residual PCA+hand,global,7009,topology,balanced_accuracy,0.2679667625559597,,,1920,triple
,traditional residual PCA+hand,global,7009,topology,balanced_accuracy,0.30353577340073357,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,global,7010,overall,balanced_accuracy,0.2529137537094868,0.1558415138750002,82118.0,11998,
,traditional residual PCA+hand,global,7010,heldout_run,balanced_accuracy,0.27353179164371594,,,2635,42
,traditional residual PCA+hand,global,7010,heldout_run,balanced_accuracy,0.25139783793442333,,,2559,57
,traditional residual PCA+hand,global,7010,heldout_run,balanced_accuracy,0.23389079489746403,,,4034,64
,traditional residual PCA+hand,global,7010,heldout_run,balanced_accuracy,0.2737120420864933,,,2770,65
,traditional residual PCA+hand,global,7010,topology,balanced_accuracy,0.29096117308390573,,,6121,single
,traditional residual PCA+hand,global,7010,topology,balanced_accuracy,0.2729757509999361,,,2764,pair
,traditional residual PCA+hand,global,7010,topology,balanced_accuracy,0.278317775290313,,,1920,triple
,traditional residual PCA+hand,global,7010,topology,balanced_accuracy,0.27875054783970316,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_run,7001,overall,balanced_accuracy,0.24635515738190059,0.1783517157223791,82118.0,11998,
,traditional residual PCA+hand,within_run,7001,heldout_run,balanced_accuracy,0.27784765123778854,,,2635,42
,traditional residual PCA+hand,within_run,7001,heldout_run,balanced_accuracy,0.2669203296703297,,,2559,57
,traditional residual PCA+hand,within_run,7001,heldout_run,balanced_accuracy,0.2228372200432358,,,4034,64
,traditional residual PCA+hand,within_run,7001,heldout_run,balanced_accuracy,0.19584509075539203,,,2770,65
,traditional residual PCA+hand,within_run,7001,topology,balanced_accuracy,0.2682800113513517,,,6121,single
,traditional residual PCA+hand,within_run,7001,topology,balanced_accuracy,0.2521218158945616,,,2764,pair
,traditional residual PCA+hand,within_run,7001,topology,balanced_accuracy,0.20262117889133138,,,1920,triple
,traditional residual PCA+hand,within_run,7001,topology,balanced_accuracy,0.2670561647391219,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_run,7002,overall,balanced_accuracy,0.25398732406601193,0.1733541351117035,82118.0,11998,
,traditional residual PCA+hand,within_run,7002,heldout_run,balanced_accuracy,0.2688064978127651,,,2635,42
,traditional residual PCA+hand,within_run,7002,heldout_run,balanced_accuracy,0.2676599995532922,,,2559,57
,traditional residual PCA+hand,within_run,7002,heldout_run,balanced_accuracy,0.2420745962964217,,,4034,64
,traditional residual PCA+hand,within_run,7002,heldout_run,balanced_accuracy,0.19904763445570753,,,2770,65
,traditional residual PCA+hand,within_run,7002,topology,balanced_accuracy,0.2612961362653332,,,6121,single
,traditional residual PCA+hand,within_run,7002,topology,balanced_accuracy,0.25653161229851906,,,2764,pair
,traditional residual PCA+hand,within_run,7002,topology,balanced_accuracy,0.21070860722492668,,,1920,triple
,traditional residual PCA+hand,within_run,7002,topology,balanced_accuracy,0.2779383621826785,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_run,7003,overall,balanced_accuracy,0.25931271795360716,0.1740573598801906,82118.0,11998,
,traditional residual PCA+hand,within_run,7003,heldout_run,balanced_accuracy,0.29133394881803326,,,2635,42
,traditional residual PCA+hand,within_run,7003,heldout_run,balanced_accuracy,0.2632387541320468,,,2559,57
,traditional residual PCA+hand,within_run,7003,heldout_run,balanced_accuracy,0.24473224341024538,,,4034,64
,traditional residual PCA+hand,within_run,7003,heldout_run,balanced_accuracy,0.20412789536367115,,,2770,65
,traditional residual PCA+hand,within_run,7003,topology,balanced_accuracy,0.2610838325709518,,,6121,single
,traditional residual PCA+hand,within_run,7003,topology,balanced_accuracy,0.24390705435595791,,,2764,pair
,traditional residual PCA+hand,within_run,7003,topology,balanced_accuracy,0.2220881307611883,,,1920,triple
,traditional residual PCA+hand,within_run,7003,topology,balanced_accuracy,0.28815969474158987,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_run,7004,overall,balanced_accuracy,0.2504982248853022,0.19772304827805323,82118.0,11998,
,traditional residual PCA+hand,within_run,7004,heldout_run,balanced_accuracy,0.29810626564481757,,,2635,42
,traditional residual PCA+hand,within_run,7004,heldout_run,balanced_accuracy,0.268624877155365,,,2559,57
,traditional residual PCA+hand,within_run,7004,heldout_run,balanced_accuracy,0.2231297791942533,,,4034,64
,traditional residual PCA+hand,within_run,7004,heldout_run,balanced_accuracy,0.1920657163728099,,,2770,65
,traditional residual PCA+hand,within_run,7004,topology,balanced_accuracy,0.2628451434792818,,,6121,single
,traditional residual PCA+hand,within_run,7004,topology,balanced_accuracy,0.2474186608764764,,,2764,pair
,traditional residual PCA+hand,within_run,7004,topology,balanced_accuracy,0.22235580943012245,,,1920,triple
,traditional residual PCA+hand,within_run,7004,topology,balanced_accuracy,0.28254513560894245,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_run,7005,overall,balanced_accuracy,0.24855406507939906,0.16115993016228844,82118.0,11998,
,traditional residual PCA+hand,within_run,7005,heldout_run,balanced_accuracy,0.26825021329637255,,,2635,42
,traditional residual PCA+hand,within_run,7005,heldout_run,balanced_accuracy,0.25490280755829536,,,2559,57
,traditional residual PCA+hand,within_run,7005,heldout_run,balanced_accuracy,0.23912876358776697,,,4034,64
,traditional residual PCA+hand,within_run,7005,heldout_run,balanced_accuracy,0.19179674630197124,,,2770,65
,traditional residual PCA+hand,within_run,7005,topology,balanced_accuracy,0.23930001435676856,,,6121,single
,traditional residual PCA+hand,within_run,7005,topology,balanced_accuracy,0.250885905333184,,,2764,pair
,traditional residual PCA+hand,within_run,7005,topology,balanced_accuracy,0.2054999920603554,,,1920,triple
,traditional residual PCA+hand,within_run,7005,topology,balanced_accuracy,0.2832988141132018,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_run,7006,overall,balanced_accuracy,0.2569487625414206,0.1902728095734412,82118.0,11998,
,traditional residual PCA+hand,within_run,7006,heldout_run,balanced_accuracy,0.2831726477753567,,,2635,42
,traditional residual PCA+hand,within_run,7006,heldout_run,balanced_accuracy,0.2640518516036809,,,2559,57
,traditional residual PCA+hand,within_run,7006,heldout_run,balanced_accuracy,0.24180204942940647,,,4034,64
,traditional residual PCA+hand,within_run,7006,heldout_run,balanced_accuracy,0.20572442038448083,,,2770,65
,traditional residual PCA+hand,within_run,7006,topology,balanced_accuracy,0.2550894994171168,,,6121,single
,traditional residual PCA+hand,within_run,7006,topology,balanced_accuracy,0.2623276879090056,,,2764,pair
,traditional residual PCA+hand,within_run,7006,topology,balanced_accuracy,0.2312191375729676,,,1920,triple
,traditional residual PCA+hand,within_run,7006,topology,balanced_accuracy,0.27255317768303167,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_run,7007,overall,balanced_accuracy,0.26454836844674523,0.1928636443773242,82118.0,11998,
,traditional residual PCA+hand,within_run,7007,heldout_run,balanced_accuracy,0.29428996694743204,,,2635,42
,traditional residual PCA+hand,within_run,7007,heldout_run,balanced_accuracy,0.27165991021173946,,,2559,57
,traditional residual PCA+hand,within_run,7007,heldout_run,balanced_accuracy,0.24476496689606475,,,4034,64
,traditional residual PCA+hand,within_run,7007,heldout_run,balanced_accuracy,0.22180400456219493,,,2770,65
,traditional residual PCA+hand,within_run,7007,topology,balanced_accuracy,0.2595193563477487,,,6121,single
,traditional residual PCA+hand,within_run,7007,topology,balanced_accuracy,0.2557173562471262,,,2764,pair
,traditional residual PCA+hand,within_run,7007,topology,balanced_accuracy,0.2253816938394249,,,1920,triple
,traditional residual PCA+hand,within_run,7007,topology,balanced_accuracy,0.27432621035342575,,,1193,quad
