method,control,delta_res68,delta_full_rms,delta_res68_ci95,delta_full_rms_ci95
cnn1d_waveform,neural_shuffled_target_control,-0.01994928030849563,-0.49629994108299247,"[-0.03334876732337838, -0.008913052483968892]","[-0.8448061461399474, -0.13602315765125686]"
cnn1d_waveform,neural_bwaveform_knockoff_control,0.13632088791873742,-2.4038931220892237,"[0.12378712569910154, 0.15101847903412802]","[-4.758019705656488, 0.26469223720263313]"
hybrid_support_gate_cnn,neural_shuffled_target_control,-0.01887617586111856,-0.4939027778030628,"[-0.031548782742754376, -0.004067988497212788]","[-0.8321206449257833, -0.13659775163039206]"
hybrid_support_gate_cnn,neural_bwaveform_knockoff_control,0.1373939923661145,-2.401495958809294,"[0.12369219073642619, 0.15306250247860276]","[-5.003485711434281, 0.278346815605333]"
