method,baseline,n_events,n_pair_residuals,sigma68_ns,ci_low,ci_high,full_rms_ns,delta_vs_baseline_ns,delta_ci_low,delta_ci_high,heldout_run,train_runs
mlp_true_waveform,analytic_timewalk,73,219,0.8681292019597312,0.7377023691977755,1.1426188482500717,2.5653212586569887,-0.3193541626141855,-0.5296540918266311,-0.09371335413463376,58,"59,60,61,62,63,65"
cnn_amplitude_only,analytic_timewalk,73,219,0.8827689107512312,0.7881048470124914,1.0508745211290846,2.6245892480378714,-0.30471445382268547,-0.4857633021409655,-0.17267034929653743,58,"59,60,61,62,63,65"
mlp_phase_scrambled,analytic_timewalk,73,219,0.9645606346063866,0.8272894895642764,1.278997455308925,2.6356434602216128,-0.22292272996753004,-0.4461115137345396,0.029515249448008162,58,"59,60,61,62,63,65"
cnn_phase_scrambled,analytic_timewalk,73,219,0.9662207300620211,0.8836404541942001,1.180675941180562,2.6488897653780166,-0.22126263451189554,-0.40273217700617003,-0.051531094322228174,58,"59,60,61,62,63,65"
cnn_sample_permuted,analytic_timewalk,73,219,0.9758792211676959,0.8522387181594268,1.1855734345706939,2.6330248220049692,-0.2116041434062208,-0.39782171239324193,-0.052009268060413574,58,"59,60,61,62,63,65"
mlp_sample_permuted,analytic_timewalk,73,219,1.0158986482670596,0.8155683502390598,1.2780299130583854,2.614277187767358,-0.17158471630685712,-0.40444090167633423,0.036242859593593794,58,"59,60,61,62,63,65"
mlp_amplitude_only,analytic_timewalk,73,219,1.084038628356146,0.9827472239698153,1.2875333819502983,2.6469878447215707,-0.10344473621777062,-0.276829838186229,0.014961316519219985,58,"59,60,61,62,63,65"
cnn_true_waveform,analytic_timewalk,73,219,1.1162200958092723,1.042671808801079,1.2301777364074256,2.7026880089360836,-0.0712632687646444,-0.29078887338208,0.016676029379445602,58,"59,60,61,62,63,65"
cnn_shuffled_target,analytic_timewalk,73,219,1.1859228260906187,1.1335627831666042,1.4017335195079441,2.6800306559899116,-0.0015605384832979574,-0.014988886151583392,0.006522480877665024,58,"59,60,61,62,63,65"
analytic_timewalk,analytic_timewalk,73,219,1.1874833645739167,1.1349651983677151,1.407457312724681,2.677930132419911,0.0,0.0,0.0,58,"59,60,61,62,63,65"
cnn_run_only,analytic_timewalk,73,219,1.1874833645739167,1.1349651983677151,1.407457312724681,2.677930132419911,0.0,0.0,0.0,58,"59,60,61,62,63,65"
mlp_run_only,analytic_timewalk,73,219,1.1874833645739167,1.1349651983677151,1.407457312724681,2.677930132419911,0.0,0.0,0.0,58,"59,60,61,62,63,65"
mlp_shuffled_target,analytic_timewalk,73,219,1.2126978987723538,1.1649399864061136,1.4284197988971512,2.7005748474672036,0.02521453419843711,-0.0068460745206991355,0.06387401700570129,58,"59,60,61,62,63,65"
mlp_true_waveform,analytic_timewalk,763,2289,1.0914846347514753,1.031933920081628,1.1797485031056656,2.3286536457081484,-0.3672234955972613,-0.45544803891054336,-0.26113177313410674,59,"58,60,61,62,63,65"
cnn_phase_scrambled,analytic_timewalk,763,2289,1.3351346386583467,1.2953466915445562,1.3815422981497767,2.4276920475950283,-0.12357349169038989,-0.204375310665904,-0.03848499119859435,59,"58,60,61,62,63,65"
cnn_sample_permuted,analytic_timewalk,763,2289,1.3367468584613633,1.2975754103408292,1.3836858133841548,2.431617450270795,-0.12196127188737327,-0.20312380161481497,-0.03338371718149934,59,"58,60,61,62,63,65"
cnn_amplitude_only,analytic_timewalk,763,2289,1.3450142379887202,1.2684837189767841,1.4024757078676995,2.430046112022156,-0.11369389236001637,-0.2093832478409813,-0.02891059853299179,59,"58,60,61,62,63,65"
mlp_amplitude_only,analytic_timewalk,763,2289,1.3516867540428785,1.2872399978976623,1.406140507172012,2.4242893335957443,-0.10702137630585806,-0.20459294688040544,-0.021291949503118347,59,"58,60,61,62,63,65"
cnn_true_waveform,analytic_timewalk,763,2289,1.3643458674629778,1.3251358078932292,1.4118813410878552,2.4414819953355065,-0.09436226288575877,-0.17486343994230358,-0.00855320093712316,59,"58,60,61,62,63,65"
mlp_phase_scrambled,analytic_timewalk,763,2289,1.3701686562844135,1.304434652006748,1.451387118359245,2.5037101415670437,-0.08853947406432305,-0.1777435772338737,0.010471651375273594,59,"58,60,61,62,63,65"
mlp_sample_permuted,analytic_timewalk,763,2289,1.3839390532581233,1.3183387038899779,1.4664871117780995,2.5153863794556113,-0.07476907709061331,-0.1620677894633243,0.022895360983639226,59,"58,60,61,62,63,65"
analytic_timewalk,analytic_timewalk,763,2289,1.4587081303487366,1.3888122364549478,1.5303025571559161,2.5401850621944355,0.0,0.0,0.0,59,"58,60,61,62,63,65"
cnn_run_only,analytic_timewalk,763,2289,1.4587081303487366,1.3888122364549478,1.5303025571559161,2.5401850621944355,0.0,0.0,0.0,59,"58,60,61,62,63,65"
mlp_run_only,analytic_timewalk,763,2289,1.4587081303487366,1.3888122364549478,1.5303025571559161,2.5401850621944355,0.0,0.0,0.0,59,"58,60,61,62,63,65"
mlp_shuffled_target,analytic_timewalk,763,2289,1.4796130361609992,1.4053290002393999,1.5577585665394664,2.5550346776912605,0.020904905812262564,0.003053938260200201,0.04248952920540496,59,"58,60,61,62,63,65"
cnn_shuffled_target,analytic_timewalk,763,2289,1.488530907466989,1.4086875044502594,1.5637970538243258,2.5583666712822053,0.02982277711825243,0.013994489400389276,0.04622538682642882,59,"58,60,61,62,63,65"
mlp_true_waveform,analytic_timewalk,808,2424,1.127243291705266,1.0688142687060578,1.1923358370432622,2.294683511499347,-0.21646114656147364,-0.29587974586575455,-0.1339028745463176,60,"58,59,61,62,63,65"
mlp_sample_permuted,analytic_timewalk,808,2424,1.140403091172463,1.0516434560119126,1.2232738153371632,2.2872273322277805,-0.2033013470942766,-0.2819924181055029,-0.11589499834106598,60,"58,59,61,62,63,65"
mlp_amplitude_only,analytic_timewalk,808,2424,1.1614075985233463,1.08572748701155,1.2258311630514291,2.2942231378653766,-0.18229683974339328,-0.2537052619487112,-0.11441606068881857,60,"58,59,61,62,63,65"
cnn_sample_permuted,analytic_timewalk,808,2424,1.1622213785698938,1.080050915785977,1.270022023000943,2.3493270585875634,-0.18148305969684575,-0.2707070658521731,-0.06805375748192878,60,"58,59,61,62,63,65"
cnn_phase_scrambled,analytic_timewalk,808,2424,1.1624480110935087,1.0985050787132926,1.2874437900217401,2.356609618686416,-0.18125642717323087,-0.25346768942543507,-0.05672476577184069,60,"58,59,61,62,63,65"
cnn_true_waveform,analytic_timewalk,808,2424,1.17458880182021,1.094815788403832,1.2785008986052084,2.3349820164571264,-0.1691156364465296,-0.25436671570512875,-0.06827374284036496,60,"58,59,61,62,63,65"
mlp_phase_scrambled,analytic_timewalk,808,2424,1.2508211402774099,1.1639714289428829,1.3295103550482799,2.2934721407790493,-0.0928832979893297,-0.18707375719626448,-0.010028207415649604,60,"58,59,61,62,63,65"
cnn_amplitude_only,analytic_timewalk,808,2424,1.2528872123752928,1.1698794098606131,1.3339413317829778,2.3715699196542763,-0.0908172258914468,-0.17436136801773583,-0.0037569412961146083,60,"58,59,61,62,63,65"
mlp_shuffled_target,analytic_timewalk,808,2424,1.3326188811902508,1.2791769119895566,1.4052193634734766,2.3942025601533894,-0.011085557076488728,-0.01890592985729343,0.01243415789452624,60,"58,59,61,62,63,65"
analytic_timewalk,analytic_timewalk,808,2424,1.3437044382667396,1.2787156379724944,1.4073454005769264,2.3952884674835904,0.0,0.0,0.0,60,"58,59,61,62,63,65"
cnn_run_only,analytic_timewalk,808,2424,1.3437044382667396,1.2787156379724944,1.4073454005769264,2.3952884674835904,0.0,0.0,0.0,60,"58,59,61,62,63,65"
mlp_run_only,analytic_timewalk,808,2424,1.3437044382667396,1.2787156379724944,1.4073454005769264,2.3952884674835904,0.0,0.0,0.0,60,"58,59,61,62,63,65"
cnn_shuffled_target,analytic_timewalk,808,2424,1.3603931999113739,1.3031269204392044,1.4314548072518085,2.40855492702983,0.016688761644634287,0.010035236865819036,0.03494294729564111,60,"58,59,61,62,63,65"
mlp_true_waveform,analytic_timewalk,933,2799,1.1791943893122583,1.1249022206813237,1.2371657022871467,2.4337867955092687,-0.9507700042277754,-1.0330474847932851,-0.8101409124571611,61,"58,59,60,62,63,65"
cnn_true_waveform,analytic_timewalk,933,2799,1.2522907199909694,1.1854699573118967,1.2920831720193604,2.564429820381073,-0.8776736735490642,-0.951188588730381,-0.7524673562506929,61,"58,59,60,62,63,65"
mlp_amplitude_only,analytic_timewalk,933,2799,1.2638898986350307,1.1964034253923062,1.3129441246910436,2.578666258283733,-0.866074494905003,-0.9360909735740286,-0.7367658727963745,61,"58,59,60,62,63,65"
cnn_sample_permuted,analytic_timewalk,933,2799,1.2707886446517542,1.2146634838829453,1.316923567519676,2.577159063339598,-0.8591757488882794,-0.9287816685414185,-0.7298433810678452,61,"58,59,60,62,63,65"
cnn_phase_scrambled,analytic_timewalk,933,2799,1.27223730552535,1.214355173529546,1.3120972395072195,2.57712153654071,-0.8577270880146837,-0.9267894980380077,-0.7295985531956279,61,"58,59,60,62,63,65"
mlp_phase_scrambled,analytic_timewalk,933,2799,1.3021199020701915,1.2228631884841619,1.3593169164468886,2.5703279891477235,-0.8278444914698422,-0.9271612557685429,-0.6999593664824905,61,"58,59,60,62,63,65"
mlp_sample_permuted,analytic_timewalk,933,2799,1.307949759707948,1.2554522153886525,1.3679786213099407,2.567624273073816,-0.8220146338320857,-0.8944844164302859,-0.6931736051705065,61,"58,59,60,62,63,65"
cnn_amplitude_only,analytic_timewalk,933,2799,1.316913853848281,1.2488084815750669,1.3806464028461503,2.6106187980822595,-0.8130505396917527,-0.8883693101189635,-0.6864824098675606,61,"58,59,60,62,63,65"
analytic_timewalk,analytic_timewalk,933,2799,2.1299643935400336,1.9845489151817721,2.210510707443413,3.008059720087321,0.0,0.0,0.0,61,"58,59,60,62,63,65"
