heldout_run,architecture,control,size,weight_decay,fold,sigma68_ns,n_pair_residuals,pred_sigma_median_ns
58,mlp,true_waveform,16,0.001,0,1.1746683097111368,2997,1.5436558723449707
58,mlp,true_waveform,16,0.001,1,1.2707505280522338,3534,1.4699379801750183
58,mlp,true_waveform,16,0.001,2,1.2997340352222069,4710,1.4998303651809692
58,mlp,true_waveform,16,0.001,-1,1.2483842909951925,0,
58,mlp,true_waveform,32,0.001,0,1.2057987584496428,2997,1.46170175075531
58,mlp,true_waveform,32,0.001,1,1.202078980112875,3534,1.5040647983551025
58,mlp,true_waveform,32,0.001,2,1.21249581731968,4710,1.4082137942314148
58,mlp,true_waveform,32,0.001,-1,1.206791185294066,0,
58,cnn,true_waveform,4,0.001,0,1.204648876558319,2997,2.0996816158294678
58,cnn,true_waveform,4,0.001,1,1.203568376379354,3534,2.08042573928833
58,cnn,true_waveform,4,0.001,2,1.436511337593862,4710,1.9933276772499084
58,cnn,true_waveform,4,0.001,-1,1.281576196843845,0,
58,cnn,true_waveform,8,0.001,0,1.2111321690245669,2997,1.8032629489898682
58,cnn,true_waveform,8,0.001,1,1.3097680119112352,3534,1.9818690419197083
58,cnn,true_waveform,8,0.001,2,1.314508647194466,4710,2.0316959619522095
58,cnn,true_waveform,8,0.001,-1,1.278469609376756,0,
59,mlp,true_waveform,16,0.001,0,1.2136740249151452,2799,1.5017409324645996
59,mlp,true_waveform,16,0.001,1,1.3361641915725246,2841,1.5768648386001587
59,mlp,true_waveform,16,0.001,2,1.3631831904793947,3531,1.5266872644424438
59,mlp,true_waveform,16,0.001,-1,1.3043404689890215,0,
59,mlp,true_waveform,32,0.001,0,1.171421062169382,2799,1.426977276802063
59,mlp,true_waveform,32,0.001,1,1.2717636790382647,2841,1.5468947887420654
59,mlp,true_waveform,32,0.001,2,1.3545865279016962,3531,1.4215774536132812
59,mlp,true_waveform,32,0.001,-1,1.265923756369781,0,
59,cnn,true_waveform,4,0.001,0,1.1522750916047684,2799,1.8749938011169434
59,cnn,true_waveform,4,0.001,1,1.3214068116859448,2841,2.118617534637451
59,cnn,true_waveform,4,0.001,2,1.532154312738153,3531,1.9024919271469116
59,cnn,true_waveform,4,0.001,-1,1.3352787386762888,0,
59,cnn,true_waveform,8,0.001,0,1.262661750965312,2799,1.8685598373413086
59,cnn,true_waveform,8,0.001,1,1.3098816872816301,2841,2.075678586959839
59,cnn,true_waveform,8,0.001,2,1.4298644301589405,3531,1.9653376340866089
59,cnn,true_waveform,8,0.001,-1,1.3341359561352943,0,
60,mlp,true_waveform,16,0.001,0,1.2251654243885517,2799,1.5745741128921509
60,mlp,true_waveform,16,0.001,1,1.160268032210415,2838,1.5590120553970337
60,mlp,true_waveform,16,0.001,2,1.228334571397407,3399,1.6136740446090698
60,mlp,true_waveform,16,0.001,-1,1.204589342665458,0,
60,mlp,true_waveform,32,0.001,0,1.1938601733469145,2799,1.470306634902954
60,mlp,true_waveform,32,0.001,1,1.1471303656730472,2838,1.4928767085075378
60,mlp,true_waveform,32,0.001,2,1.3362606277591618,3399,1.4614053964614868
60,mlp,true_waveform,32,0.001,-1,1.2257503889263746,0,
60,cnn,true_waveform,4,0.001,0,1.2097174023626491,2799,1.9570564031600952
60,cnn,true_waveform,4,0.001,1,1.1961074542213257,2838,2.1625949144363403
60,cnn,true_waveform,4,0.001,2,1.3706452152901218,3399,2.0330474376678467
60,cnn,true_waveform,4,0.001,-1,1.2588233572913656,0,
