method,mean_sigma68_ns,median_sigma68_ns,min_sigma68_ns,max_sigma68_ns,mean_full_rms_ns,n_heldout_runs
mlp_true_waveform,1.1317390285790005,1.127243291705266,0.8681292019597312,1.3183530379769912,2.2518711776225255,7
cnn_true_waveform,1.216958768889069,1.2046829857059786,1.1128018196425769,1.3643458674629778,2.322891109001026,7
mlp_amplitude_only,1.2389863812404065,1.2638898986350307,1.084038628356146,1.3680699094502906,2.3241104810613527,7
cnn_phase_scrambled,1.2445804606257145,1.2842900494736658,0.9662207300620211,1.347540547474515,2.3406668465953553,7
cnn_sample_permuted,1.2503592530278884,1.3197274064207243,0.9758792211676959,1.3600521332355002,2.340164634270642,7
cnn_amplitude_only,1.2616943928635125,1.316913853848281,0.8827689107512312,1.4069794484453908,2.3564031325766974,7
mlp_sample_permuted,1.2635121852158302,1.307949759707948,1.0158986482670596,1.3998129253714076,2.347181087304829,7
mlp_phase_scrambled,1.2732302105453541,1.3021199020701915,0.9645606346063866,1.4047077202762517,2.3380446843355904,7
analytic_timewalk,1.496403819440369,1.4587081303487366,1.1874833645739167,2.1299643935400336,2.5046926909391165,7
cnn_run_only,1.496403819440369,1.4587081303487366,1.1874833645739167,2.1299643935400336,2.5046926909391165,7
mlp_run_only,1.496403819440369,1.4587081303487366,1.1874833645739167,2.1299643935400336,2.5046926909391165,7
mlp_shuffled_target,1.5014305271796489,1.4422466993237468,1.2126978987723538,2.13997376358332,2.513823194372312,7
cnn_shuffled_target,1.5315837888993182,1.488530907466989,1.1859228260906187,2.2418375093593355,2.5315736785106657,7
