method,architecture,control,size,weight_decay,n_features,feature_names_sha256,seq_scaler_mean_sha256,tab_scaler_mean_sha256,heldout_run,cv_sigma68_ns
mlp_true_waveform,mlp,true_waveform,32,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,58,1.206791185294066
mlp_amplitude_only,mlp,amplitude_only,32,0.001,24,0cf47daf2d1ee25efd83442c7b50ece6721e3e009ccb8ca749f88f28ea486727,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,98bedca8525b1432527c42b514658a20bf81d1bfaac4992fcf9510dbbb8bfdfe,58,1.206791185294066
mlp_phase_scrambled,mlp,phase_scrambled,32,0.001,21,57956677943e46ade8e20f9258060e2c1ea1a3280aa7c12ac60e7018e10cdc72,af43d009e063df62e70ef454996e53b4cd2a161d1d501057e24041ca20c95c22,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,58,1.206791185294066
mlp_sample_permuted,mlp,sample_permuted,32,0.001,21,3f166e240fcf009a2946cc52285761e6d75afe77754fb65b2912988aff2fc106,05e4e0c7f829badf1907df738de72609264a261cc95e5d838fdead95aca7a759,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,58,1.206791185294066
mlp_run_only,mlp,run_only,32,0.001,25,81bd9c8709ed205a5a3eb3595e5419e8fd6a332a41b5d9eae52d7a3f8270cb3c,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,a2a31af8a06e9c53a5356a355634335d86ac4dadbdef237bdd4b2ecb687d2b14,58,1.206791185294066
mlp_shuffled_target,mlp,shuffled_target,32,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,58,1.206791185294066
cnn_true_waveform,cnn,true_waveform,8,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,58,1.278469609376756
cnn_amplitude_only,cnn,amplitude_only,8,0.001,24,0cf47daf2d1ee25efd83442c7b50ece6721e3e009ccb8ca749f88f28ea486727,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,98bedca8525b1432527c42b514658a20bf81d1bfaac4992fcf9510dbbb8bfdfe,58,1.278469609376756
cnn_phase_scrambled,cnn,phase_scrambled,8,0.001,21,57956677943e46ade8e20f9258060e2c1ea1a3280aa7c12ac60e7018e10cdc72,318a7febb8106d83e80ece61a9c19d17eeb085c728f691ad48e2f53b33b4e095,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,58,1.278469609376756
cnn_sample_permuted,cnn,sample_permuted,8,0.001,21,3f166e240fcf009a2946cc52285761e6d75afe77754fb65b2912988aff2fc106,4db86ce8e81217fc21e9f1d913e8758c68545e0118bfc8685b50eb053e735ab5,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,58,1.278469609376756
