run,events_total,b2_selected,b2_valid_duplicate
58,34141,15791,15790
59,42303,13565,13563
60,36074,9873,9866
61,36535,11015,11015
62,37584,11635,11634
63,37030,14566,14564
65,38424,11768,11768
