target,gate,charge_method,s14b_energy_method,n_charge_rows,charge_res68_abs_frac,charge_res68_ci95,model_energy_proxy_res68,charge_to_energy_sensitivity,charge_propagated_energy_res68,combined_energy_proxy_res68,combined_energy_proxy_res68_ci95,acceptance_res68,acceptable_for_s14_preflight
B4,target_hit_only,traditional_ridge,traditional_depth_charge_lookup,20549,0.3306847844,"[0.3123395233, 0.3636780137]",0.0211892254349057,1.1508130371857332,0.3805563610864734,0.3811458083698541,"[0.36006840556928676, 0.41906144335207335]",0.1,False
B4,target_hit_only,traditional_ridge,ml_monotonic_hgb,20549,0.3306847844,"[0.3123395233, 0.3636780137]",0.0250078101817332,0.8764697109378461,0.28983519739461194,0.2909120695654604,"[0.2748959989052203, 0.319732254919338]",0.1,False
B4,target_hit_only,ml_hgb,traditional_depth_charge_lookup,20549,0.2897729257,"[0.2733618325, 0.3136695023]",0.0211892254349057,1.1508130371857332,0.3334744607190128,0.3341469724931945,"[0.31530115757593635, 0.36159632145460197]",0.1,False
B4,target_hit_only,ml_hgb,ml_monotonic_hgb,20549,0.2897729257,"[0.2733618325, 0.3136695023]",0.0250078101817332,0.8764697109378461,0.25397719242589295,0.25520541695392096,"[0.2408949392393796, 0.2760568720182555]",0.1,False
B4,all_three,traditional_ridge,traditional_depth_charge_lookup,3774,0.2506246894,"[0.232016746, 0.2775461112]",0.0211892254349057,1.1508130371857332,0.28842216000214504,0.2891994565258279,"[0.2678473443527505, 0.32010575769475524]",0.1,False
B4,all_three,traditional_ridge,ml_monotonic_hgb,3774,0.2506246894,"[0.232016746, 0.2775461112]",0.0250078101817332,0.8764697109378461,0.21966494907230544,0.2210838764383874,"[0.20488755715943577, 0.2445428139518845]",0.1,False
B4,all_three,ml_hgb,traditional_depth_charge_lookup,3774,0.220051952,"[0.2084049647, 0.2376359484]",0.0211892254349057,1.1508130371857332,0.2532386552197692,0.25412359152988606,"[0.2407693556863108, 0.2742942059491698]",0.1,False
B4,all_three,ml_hgb,ml_monotonic_hgb,3774,0.220051952,"[0.2084049647, 0.2376359484]",0.0250078101817332,0.8764697109378461,0.19286887076074877,0.19448339743693294,"[0.18436458356087476, 0.20977665538812837]",0.1,False
B4,b4b6_no_b8,traditional_ridge,traditional_depth_charge_lookup,6209,0.2320985147,"[0.2133838711, 0.2673917051]",0.0211892254349057,1.1508130371857332,0.26710199662820455,0.2679411500260918,"[0.24647742983541865, 0.30844653475154143]",0.1,False
B4,b4b6_no_b8,traditional_ridge,ml_monotonic_hgb,6209,0.2320985147,"[0.2133838711, 0.2673917051]",0.0250078101817332,0.8764697109378461,0.20342731808821243,0.204958689287984,"[0.18868904076200588, 0.235691201701319]",0.1,False
B4,b4b6_no_b8,ml_hgb,traditional_depth_charge_lookup,6209,0.2052172757,"[0.1903818249, 0.2294649147]",0.0211892254349057,1.1508130371857332,0.236166716331299,0.23711537524428797,"[0.22011613802181737, 0.2649199692067016]",0.1,False
B4,b4b6_no_b8,ml_hgb,ml_monotonic_hgb,6209,0.2052172757,"[0.1903818249, 0.2294649147]",0.0250078101817332,0.8764697109378461,0.17986672631223127,0.18159688820121536,"[0.1687274509590388, 0.20266786084698363]",0.1,False
B6,target_hit_only,traditional_ridge,traditional_depth_charge_lookup,10354,0.3783409945,"[0.3636254149, 0.4031379736]",0.0211892254349057,1.1508130371857332,0.43539974897241585,0.4359150429610958,"[0.41900098940739516, 0.4644200681932284]",0.1,False
B6,target_hit_only,traditional_ridge,ml_monotonic_hgb,10354,0.3783409945,"[0.3636254149, 0.4031379736]",0.0250078101817332,0.8764697109378461,0.33160442208535224,0.3325460619472828,"[0.31968629491462724, 0.3542220921069571]",0.1,False
B6,target_hit_only,ml_hgb,traditional_depth_charge_lookup,10354,0.3532921502,"[0.3428522584, 0.3691935131]",0.0211892254349057,1.1508130371857332,0.40657321238554023,0.4071249934651874,"[0.3951274078537165, 0.42540075385411985]",0.1,False
B6,target_hit_only,ml_hgb,ml_monotonic_hgb,10354,0.3532921502,"[0.3428522584, 0.3691935131]",0.0250078101817332,0.8764697109378461,0.3096498687624041,0.3106580624974341,"[0.3015384089607588, 0.3245518339827427]",0.1,False
B6,all_three,traditional_ridge,traditional_depth_charge_lookup,3774,0.2619129799,"[0.2415640279, 0.2886128094]",0.0211892254349057,1.1508130371857332,0.30141287187708493,0.3021567517162628,"[0.27880140142630316, 0.3328145933046807]",0.1,False
B6,all_three,traditional_ridge,ml_monotonic_hgb,3774,0.2619129799,"[0.2415640279, 0.2886128094]",0.0250078101817332,0.8764697109378461,0.2295587937838229,0.23091693392553378,"[0.21319534179759317, 0.2541935232594245]",0.1,False
B6,all_three,ml_hgb,traditional_depth_charge_lookup,3774,0.2401575662,"[0.2310409159, 0.2578448557]",0.0211892254349057,1.1508130371857332,0.2763764581617558,0.277187535615453,"[0.26672788068368325, 0.297486808268607]",0.1,False
B6,all_three,ml_hgb,ml_monotonic_hgb,3774,0.2401575662,"[0.2310409159, 0.2578448557]",0.0250078101817332,0.8764697109378461,0.21049083262685064,0.21197118009302693,"[0.20403869315294682, 0.22737264521597977]",0.1,False
B6,b4b6_no_b8,traditional_ridge,traditional_depth_charge_lookup,6209,0.3588313111,"[0.3424679767, 0.379983977]",0.0211892254349057,1.1508130371857332,0.41294775096432973,0.4134910256596016,"[0.3946858085212951, 0.4378035832199927]",0.1,False
B6,b4b6_no_b8,traditional_ridge,ml_monotonic_hgb,6209,0.3588313111,"[0.3424679767, 0.379983977]",0.0250078101817332,0.8764697109378461,0.31450477551526534,0.3154974554445615,"[0.3012027592883875, 0.33398202631687035]",0.1,False
B6,b4b6_no_b8,ml_hgb,traditional_depth_charge_lookup,6209,0.3490641621,"[0.3371363679, 0.365410164]",0.0211892254349057,1.1508130371857332,0.40170758855899413,0.40226604378248654,"[0.3885591118087107, 0.4210522867234568]",0.1,False
B6,b4b6_no_b8,ml_hgb,ml_monotonic_hgb,6209,0.3490641621,"[0.3371363679, 0.365410164]",0.0250078101817332,0.8764697109378461,0.3059441652545485,0.3069645302366188,"[0.2965461537290796, 0.32124580324185176]",0.1,False
B8,target_hit_only,traditional_ridge,traditional_depth_charge_lookup,4037,0.3739036921,"[0.3611994168, 0.3938527932]",0.0211892254349057,1.1508130371857332,0.43029324352056025,0.430814645403305,"[0.4162127153738251, 0.4537459509976548]",0.1,False
B8,target_hit_only,traditional_ridge,ml_monotonic_hgb,4037,0.3739036921,"[0.3611994168, 0.3938527932]",0.0250078101817332,0.8764697109378461,0.3277152609334804,0.3286680435010145,"[0.3175665404044236, 0.34610469632060353]",0.1,False
B8,target_hit_only,ml_hgb,traditional_depth_charge_lookup,4037,0.3581144743,"[0.3426157638, 0.3791708852]",0.0211892254349057,1.1508130371857332,0.4121228058293552,0.4126671665630689,"[0.39485563867415807, 0.4368689655038094]",0.1,False
B8,target_hit_only,ml_hgb,ml_monotonic_hgb,4037,0.3581144743,"[0.3426157638, 0.3791708852]",0.0250078101817332,0.8764697109378461,0.3138764897723797,0.31487115047574044,"[0.3013318431708919, 0.3332713808603588]",0.1,False
B8,all_three,traditional_ridge,traditional_depth_charge_lookup,3774,0.34772419,"[0.3381371748, 0.3600451466]",0.0211892254349057,1.1508130371857332,0.40016553119684894,0.40072613544986996,"[0.3897091446818319, 0.4148860942072474]",0.1,False
B8,all_three,traditional_ridge,ml_monotonic_hgb,3774,0.34772419,"[0.3381371748, 0.3600451466]",0.0250078101817332,0.8764697109378461,0.3047697202953967,0.3057940041580605,"[0.29742021523569967, 0.31655800930731265]",0.1,False
B8,all_three,ml_hgb,traditional_depth_charge_lookup,3774,0.3455877584,"[0.3352338788, 0.3665906697]",0.0211892254349057,1.1508130371857332,0.3977068978585134,0.398270962886793,"[0.38637297888473365, 0.4224091122284316]",0.1,False
B8,all_three,ml_hgb,ml_monotonic_hgb,3774,0.3455877584,"[0.3352338788, 0.3665906697]",0.0250078101817332,0.8764697109378461,0.3028972027085062,0.30392779731166986,"[0.294884652960652, 0.32227735093255255]",0.1,False
B8,b8_present,traditional_ridge,traditional_depth_charge_lookup,4037,0.3739036921,"[0.3610906247, 0.3941949667]",0.0211892254349057,1.1508130371857332,0.43029324352056025,0.430814645403305,"[0.4160876784059926, 0.45413929949623355]",0.1,False
B8,b8_present,traditional_ridge,ml_monotonic_hgb,4037,0.3739036921,"[0.3610906247, 0.3941949667]",0.0250078101817332,0.8764697109378461,0.3277152609334804,0.3286680435010145,"[0.3174714836281866, 0.3464038178125783]",0.1,False
B8,b8_present,ml_hgb,traditional_depth_charge_lookup,4037,0.3581144743,"[0.3427107763, 0.3810798524]",0.0211892254349057,1.1508130371857332,0.4121228058293552,0.4126671665630689,"[0.39496482279013545, 0.4390632572023355]",0.1,False
B8,b8_present,ml_hgb,ml_monotonic_hgb,4037,0.3581144743,"[0.3427107763, 0.3810798524]",0.0250078101817332,0.8764697109378461,0.3138764897723797,0.31487115047574044,"[0.30141483155297877, 0.3349398392400971]",0.1,False
B4B6,target_hit_only,traditional_ridge,traditional_depth_charge_lookup,9983,0.2717683368,"[0.2574361745, 0.2989934439]",0.0211892254349057,1.1508130371857332,0.3127545450837233,0.3134715118556357,"[0.29701768905947035, 0.34473736560727275]",0.1,False
B4B6,target_hit_only,traditional_ridge,ml_monotonic_hgb,9983,0.2717683368,"[0.2574361745, 0.2989934439]",0.0250078101817332,0.8764697109378461,0.23819671559715522,0.23950587861544786,"[0.22701662507208106, 0.2632492192305088]",0.1,False
B4B6,target_hit_only,ml_hgb,traditional_depth_charge_lookup,9983,0.247616316,"[0.2360464362, 0.2634155509]",0.0211892254349057,1.1508130371857332,0.2849600846727023,0.2857467989868039,"[0.27247047742150166, 0.30388169714171887]",0.1,False
B4B6,target_hit_only,ml_hgb,ml_monotonic_hgb,9983,0.247616316,"[0.2360464362, 0.2634155509]",0.0250078101817332,0.8764697109378461,0.21702820090801436,0.21846425464925617,"[0.2083934970679547, 0.23222618999155537]",0.1,False
B4B6,all_three,traditional_ridge,traditional_depth_charge_lookup,3774,0.2311407251,"[0.2147949694, 0.2685779694]",0.0211892254349057,1.1508130371857332,0.26599975986964364,0.2668423795524979,"[0.24809536752294017, 0.3098084922923896]",0.1,False
B4B6,all_three,traditional_ridge,ml_monotonic_hgb,3774,0.2311407251,"[0.2147949694, 0.2685779694]",0.0250078101817332,0.8764697109378461,0.20258784451436115,0.2041255136308555,"[0.18991498598685655, 0.2367250829136476]",0.1,False
B4B6,all_three,ml_hgb,traditional_depth_charge_lookup,3774,0.2011515996,"[0.1909403978, 0.2237773529]",0.0211892254349057,1.1508130371857332,0.23148788327044453,0.2324556374355378,"[0.22075597435155142, 0.25839614924446835]",0.1,False
B4B6,all_three,ml_hgb,ml_monotonic_hgb,3774,0.2011515996,"[0.1909403978, 0.2237773529]",0.0250078101817332,0.8764697109378461,0.17630328435609738,0.178068073064299,"[0.16921163155567812, 0.19772193781958083]",0.1,False
B4B6,b4b6_no_b8,traditional_ridge,traditional_depth_charge_lookup,6209,0.2500903331,"[0.2329752418, 0.2750191125]",0.0211892254349057,1.1508130371857332,0.2878072158056027,0.28858616866423803,"[0.2689469509544691, 0.3172040912769641]",0.1,False
B4B6,b4b6_no_b8,traditional_ridge,ml_monotonic_hgb,6209,0.2500903331,"[0.2329752418, 0.2750191125]",0.0250078101817332,0.8764697109378461,0.21919660196050664,0.22061854156239538,"[0.20572139403202763, 0.24233969361190763]",0.1,False
B4B6,b4b6_no_b8,ml_hgb,traditional_depth_charge_lookup,6209,0.2307275701,"[0.2209495372, 0.2457410264]",0.0211892254349057,1.1508130371857332,0.26552429570926517,0.26636841946152806,"[0.2551529617585047, 0.283594678093202]",0.1,False
B4B6,b4b6_no_b8,ml_hgb,ml_monotonic_hgb,6209,0.2307275701,"[0.2209495372, 0.2457410264]",0.0250078101817332,0.8764697109378461,0.20222572667093863,0.20376612843570144,"[0.19526359894737932, 0.21683150601876167]",0.1,False
B6B8,target_hit_only,traditional_ridge,traditional_depth_charge_lookup,3900,0.2722540929,"[0.2578151598, 0.2872844318]",0.0211892254349057,1.1508130371857332,0.3133135595364958,0.31402925001337145,"[0.2974527206493293, 0.3312889947750786]",0.1,False
B6B8,target_hit_only,traditional_ridge,ml_monotonic_hgb,3900,0.2722540929,"[0.2578151598, 0.2872844318]",0.0250078101817332,0.8764697109378461,0.2386224661057085,0.2399293060475431,"[0.2273467755827796, 0.2530349145948949]",0.1,False
B6B8,target_hit_only,ml_hgb,traditional_depth_charge_lookup,3900,0.257301019,"[0.2506891567, 0.2742274225]",0.0211892254349057,1.1508130371857332,0.2961053671463741,0.2968625468586771,"[0.2892734469823768, 0.3162950449748919]",0.1,False
B6B8,target_hit_only,ml_hgb,ml_monotonic_hgb,3900,0.257301019,"[0.2506891567, 0.2742274225]",0.0250078101817332,0.8764697109378461,0.22551654974694327,0.22689888668711253,"[0.22114001752338733, 0.24164951637717577]",0.1,False
B6B8,all_three,traditional_ridge,traditional_depth_charge_lookup,3774,0.2638421378,"[0.2524092671, 0.2758204463]",0.0211892254349057,1.1508130371857332,0.30363297193919475,0.30437142593081745,"[0.2912476908015244, 0.31812422282034997]",0.1,False
B6B8,all_three,traditional_ridge,ml_monotonic_hgb,3774,0.2638421378,"[0.2524092671, 0.2758204463]",0.0250078101817332,0.8764697109378461,0.23124964225078934,0.23259790973094246,"[0.2226380363852275, 0.2430382996358706]",0.1,False
B6B8,all_three,ml_hgb,traditional_depth_charge_lookup,3774,0.251922765,"[0.2421102035, 0.2667552239]",0.0211892254349057,1.1508130371857332,0.2899160023258777,0.29068930437694057,"[0.2794281335862442, 0.307715798392825]",0.1,False
B6B8,all_three,ml_hgb,ml_monotonic_hgb,3774,0.251922765,"[0.2421102035, 0.2667552239]",0.0250078101817332,0.8764697109378461,0.22080267301821294,0.22221433568083193,"[0.21367075081013182, 0.23513650174462403]",0.1,False
B6B8,b8_present,traditional_ridge,traditional_depth_charge_lookup,3900,0.2722540929,"[0.257978194, 0.2874904031]",0.0211892254349057,1.1508130371857332,0.3133135595364958,0.31402925001337145,"[0.29763986618208277, 0.33152554424308905]",0.1,False
B6B8,b8_present,traditional_ridge,ml_monotonic_hgb,3900,0.2722540929,"[0.257978194, 0.2874904031]",0.0250078101817332,0.8764697109378461,0.2386224661057085,0.2399293060475431,"[0.22748880354421053, 0.2532145589997933]",0.1,False
B6B8,b8_present,ml_hgb,traditional_depth_charge_lookup,3900,0.257301019,"[0.2504776595, 0.2741977203]",0.0211892254349057,1.1508130371857332,0.2961053671463741,0.2968625468586771,"[0.28903070764418154, 0.31626094009281086]",0.1,False
B6B8,b8_present,ml_hgb,ml_monotonic_hgb,3900,0.257301019,"[0.2504776595, 0.2741977203]",0.0250078101817332,0.8764697109378461,0.22551654974694327,0.22689888668711253,"[0.22095583674173508, 0.2416236230927301]",0.1,False
B4B6B8,target_hit_only,traditional_ridge,traditional_depth_charge_lookup,3774,0.2281770495,"[0.2120177773, 0.2443602826]",0.0211892254349057,1.1508130371857332,0.2625891233511744,0.2634426521595726,"[0.24491116874340077, 0.2820101666137157]",0.1,False
B4B6B8,target_hit_only,traditional_ridge,ml_monotonic_hgb,3774,0.2281770495,"[0.2120177773, 0.2443602826]",0.0250078101817332,0.8764697109378461,0.1999902726179156,0.2015477603742443,"[0.18750233053947943, 0.21562944673174783]",0.1,False
B4B6B8,target_hit_only,ml_hgb,traditional_depth_charge_lookup,3774,0.2144290034,"[0.2030848036, 0.2284964938]",0.0211892254349057,1.1508130371857332,0.24676769266346393,0.24767575056307195,"[0.234671219370232, 0.26380908342619463]",0.1,False
