method,pileup_proxy,saturation_flag,n,rmse_adc,bias_adc,median_abs_residual_adc
ML_gradient_boosted_trees,0,0,3309,73.24884724125997,1.7096023526702468,23.41491620219813
ML_gradient_boosted_trees,0,1,1,159.4891647353852,159.4891647353852,159.4891647353852
ML_gradient_boosted_trees,1,0,7906,71.0855916821467,-1.0900094729963137,13.28707763585885
ML_gradient_boosted_trees,1,1,629,78.37253129516021,-9.880914280169403,29.252649608490174
ML_mlp,0,0,3309,322.97034497574646,-8.323090268247759,97.38720703125
ML_mlp,0,1,1,1317.13330078125,-1317.13330078125,1317.13330078125
ML_mlp,1,0,7906,237.48131351163246,-19.7163959004262,122.9337158203125
ML_mlp,1,1,629,606.3337245114825,-22.6065563207969,442.89208984375
ML_ridge,0,0,3309,235.21761221637706,8.85084494495363,124.503173828125
ML_ridge,0,1,1,17.1708984375,-17.1708984375,17.1708984375
ML_ridge,1,0,7906,241.2944124415262,13.863328744090722,123.8912353515625
ML_ridge,1,1,629,466.76409970745726,-43.660606493441975,357.841796875
NN_1d_cnn,0,0,3309,2360.2410688548703,-1117.1924226172348,1501.02490234375
NN_1d_cnn,0,1,1,6679.5,-6679.5,6679.5
NN_1d_cnn,1,0,7906,3079.121623519672,-2717.7147893386946,2864.318115234375
NN_1d_cnn,1,1,629,6009.3214624997445,-5868.745201802216,5833.051025390625
NN_transformer_new,0,0,3309,1967.7895835055108,-969.608515306267,1452.5
NN_transformer_new,0,1,1,6679.5,-6679.5,6679.5
NN_transformer_new,1,0,7906,2754.8346361956555,-2280.910238237523,2198.2340087890625
NN_transformer_new,1,1,629,6866.274714912983,-6795.370409263526,6798.047607421875
traditional_sideband_energy_window,0,0,3309,583.226455086695,281.9528797514498,235.13014018691615
traditional_sideband_energy_window,0,1,1,259.2721934656629,-259.2721934656629,259.2721934656629
traditional_sideband_energy_window,1,0,7906,305.01970663737205,-10.689632112861029,6.387610837756711
traditional_sideband_energy_window,1,1,629,434.92733299889437,-1.6826756012652397,14.292876717834588
