method,run,n,rmse_adc,mae_adc,bias_adc
ML_gradient_boosted_trees,42,1324,77.96318132664362,34.47712800886333,1.1155301595105414
ML_gradient_boosted_trees,50,1370,82.28505690625892,32.08015098434596,-1.6068245618197214
ML_gradient_boosted_trees,57,1303,74.60331448690913,31.576769505122726,1.8871532129873647
ML_gradient_boosted_trees,58,1299,77.26484871187093,27.220870796413244,-3.79735645442384
ML_gradient_boosted_trees,60,1800,49.83243368142932,27.820171294549613,0.4020445529801765
ML_gradient_boosted_trees,62,1800,89.41843346879658,27.345785733433296,-2.555749635279587
ML_gradient_boosted_trees,64,1621,64.04497066027318,25.490716185573067,-0.2652205470807602
ML_gradient_boosted_trees,65,1328,53.15166775297547,26.22406354804327,-1.1380736858299951
ML_mlp,42,1324,303.074185578107,199.17780303955078,-23.416557865200446
ML_mlp,50,1370,363.9495594564802,242.72878444699475,-31.44556047202897
ML_mlp,57,1303,391.16287653760577,191.8601205376415,-1.4272860499958029
ML_mlp,58,1299,269.7094479266895,179.633560615287,-16.215467539633853
ML_mlp,60,1800,230.95482034777243,151.69177596198188,-16.827729653252497
ML_mlp,62,1800,220.3998385119638,144.67649793836804,-16.92626001993815
ML_mlp,64,1621,312.17681012706595,147.73316603512913,-4.833246333447597
ML_mlp,65,1328,253.95926676626078,159.13634970101967,-25.11756677512663
ML_ridge,42,1324,282.9948097179757,200.12323486696917,-3.820585129844458
ML_ridge,50,1370,336.92578494597205,238.06374395885607,-30.44135875841127
ML_ridge,57,1303,263.5591796537377,187.87486996654354,6.247944009917019
ML_ridge,58,1299,266.6666401858671,190.12565686796333,6.712645356704677
ML_ridge,60,1800,229.09475005802994,158.84683078342013,30.193315158420138
ML_ridge,62,1800,205.38348542353708,147.4244597032335,29.999015367296007
ML_ridge,64,1621,214.28619311151175,157.2053207595138,11.33355287414212
ML_ridge,65,1328,261.9946117326099,182.2212195338973,10.990711809640908
NN_1d_cnn,42,1324,3538.6874954596333,2980.825067618102,-2802.8532658602894
NN_1d_cnn,50,1370,3904.046247409955,3476.7339618320884,-3410.9861435938924
NN_1d_cnn,57,1303,3354.0131049465103,2724.6254052771847,-2487.494865552151
NN_1d_cnn,58,1299,2907.6267877141795,2510.676638185473,-2371.9029371865076
NN_1d_cnn,60,1800,3091.5305916695374,2613.497185397678,-2370.6198459879556
NN_1d_cnn,62,1800,2804.2634012366875,2454.266573961046,-2230.0996788872612
NN_1d_cnn,64,1621,2850.4408059751595,2319.66017304314,-2076.3672933043117
NN_1d_cnn,65,1328,2532.833276369879,2167.8232310651297,-1903.4187422603009
NN_transformer_new,42,1324,3307.5957126335875,2692.3769269407335,-2454.7446320409863
NN_transformer_new,50,1370,3917.259202367519,3165.7005725721374,-2900.3742982293566
NN_transformer_new,57,1303,3108.105302924335,2512.4570083910926,-2223.511494470393
NN_transformer_new,58,1299,3028.148690267663,2463.443806966146,-2229.48133301533
NN_transformer_new,60,1800,2715.885483265695,2310.180798136393,-2043.8919393581814
NN_transformer_new,62,1800,2521.2648970557343,2136.987775675456,-1942.019196302626
NN_transformer_new,64,1621,2483.0738843325885,2001.3641032101857,-1818.4352318718431
NN_transformer_new,65,1328,2422.310319269767,1967.8607709953583,-1794.4491285760719
traditional_sideband_energy_window,42,1324,459.58716102717284,198.03525407239,39.67338984404066
traditional_sideband_energy_window,50,1370,418.80796406962935,156.53018945769136,-1.7292691090949996
traditional_sideband_energy_window,57,1303,416.1541184249207,174.74473522827458,46.56008868061907
traditional_sideband_energy_window,58,1299,343.8125242794616,119.95057234266586,31.677984552611946
traditional_sideband_energy_window,60,1800,450.02240940035773,201.01846228728454,132.81960548040905
traditional_sideband_energy_window,62,1800,386.5986264304113,166.79871524752951,118.85017609132662
traditional_sideband_energy_window,64,1621,359.9791422179865,150.7617654776514,89.29422834618485
traditional_sideband_energy_window,65,1328,422.7923479636056,159.6184408973956,73.36193865179031
