group,runs,current_nA,events_with_selected,selected_pulses,multi_stave_events,three_stave_events,downstream_events,multi_stave_per_selected_event,three_stave_per_selected_event,downstream_per_selected_event
high_20nA,44 45 48 49 50 51 52 53 54 55 56 57,20.0,237295,246303,6361,2026,7929,0.0268062959607239,0.0085378958680123,0.0334141048062538
low_2nA,46 47,2.0,5838,5963,91,24,135,0.0155875299760191,0.0041109969167523,0.0231243576567317
