fold,val_mse,hidden_dim,depth
1,0.06869458708771531,16,2
2,0.06676945789306199,16,2
3,0.06865709220911152,16,2
mean,0.06804037906329628,16,2
1,0.06535745228737305,32,2
2,0.06825343205743897,32,2
3,0.07120801771645018,32,2
mean,0.06827296735375406,32,2
1,0.06541957938955895,64,2
2,0.07361036227216383,64,2
3,0.07546933713323366,64,2
mean,0.07149975959831882,64,2
