run,selected_b_stave_pulses
12,13355
13,45679
14,3154
15,92936
16,10272
17,5074
18,67505
19,65582
20,49242
21,0
22,0
23,2221
24,14272
25,1645
26,29840
27,21317
28,3298
29,14682
30,3202
31,27871
32,28240
33,48737
34,34118
35,11667
36,10391
37,24537
39,14218
40,14708
41,16146
42,18112
43,5
44,2038
45,24333
46,687
47,5276
48,14000
49,14815
50,35217
51,14740
52,7152
53,32200
54,30440
55,17387
56,40148
57,13833
58,16781
59,21377
60,17029
61,18965
62,19089
63,18817
64,14630
65,13038
