run,event_index,eventno,evt,stave,taxon,broad_source,amplitude_adc,q_template_rmse,width_half,area_norm,charge_score,baseline_score,pileup_score,timing_score,baseline_lowering_score,label_broad_veto_like,label_broad_charge_outlier,label_broad_downstream_risk,prop_baseline_lowering,traditional_robust_broad_veto_score,ridge_scalar_score,gradient_boosted_trees_score,mlp_scalar_nn_score,cnn1d_waveform_nn_score,hybrid_gated_cnn_tabular_score
37,1361,621183,12469,B2,baseline_excursion,broad_width,7574.5,0.43829814,13,8.7512045,0.8582243172414661,1752.0571968164038,1.4754074906561407,-5.877135275755766,-22.997959121508423,True,False,False,False,1.0,1.0,0.33515295,1.0,1.0,1.0
65,8475,657102,11101,B4,unassigned_common,not_broad_rule,2080.0,0.4381345,7,5.5139422,3.0430220802852483,124.10629974369353,0.5356908414983709,-5.860013484177253,-45.77834057866956,False,False,False,False,0.44184878,1.0,0.12000156,0.7787987,0.43355098,0.8768385
40,17928,718611,4596,B2,unassigned_common,not_broad_rule,1055.0,0.9091498,4,-4.524171,15.140019365165426,118.17078106029949,-0.6267577104569608,-5.894701060843704,29.63407788410073,False,False,False,False,0.5926319,1.0,1.0,0.5624021,0.0,0.79284
57,15788,373441,9634,B2,baseline_excursion,broad_width,10824.0,0.33628434,15,9.936437,2.286555526901456,1159.4496155402671,1.5123427482386997,-5.596255938593215,187.6172199666671,True,False,True,True,1.0,1.0,1.0,1.0,1.0,1.0
64,13418,626100,15359,B2,unassigned_common,not_broad_rule,1412.5,0.42155015,6,4.5281415,4.231017152017929,94.83340078240929,0.3327200234768577,-5.871621123395462,-28.61146286166847,False,False,False,False,0.36390248,1.0,0.12000156,0.56394315,0.35317075,0.8525292
65,14517,663144,372,B2,baseline_excursion,broad_width,8650.0,0.40631795,15,9.022776,1.1854965385345784,1480.5072170511264,1.8713907333961213,-5.448786285490758,239.40070408132183,True,False,True,True,1.0,1.0,1.0,1.0,1.0,1.0
40,7029,707708,10778,B2,baseline_excursion,broad_width,14413.0,0.33944827,15,11.346494,3.9858247344086597,313.18129006148746,1.158132958233174,-6.521149105040341,-313.18129006148746,False,False,False,False,0.090076536,1.0,1.0,0.8487521,1.0,0.28891778
37,32454,652281,8732,B2,unassigned_common,not_broad_rule,1505.5,0.42356414,6,4.857522,3.834078492759789,91.326048833131,0.607723379194883,-5.851085256099382,-29.372984686883985,False,False,False,False,0.35339442,1.0,0.12000156,0.5973117,0.3670713,0.8480123
42,24541,791847,7211,B2,baseline_excursion,broad_width,10066.5,0.36178666,15,9.907713,2.2519403836661085,1115.6077161742885,1.9005261121518986,-5.465103145161836,180.54594587538023,True,False,True,True,1.0,1.0,1.0,1.0,1.0,1.0
60,15335,480791,11237,B2,baseline_excursion,broad_width,10080.0,0.36131075,15,10.466072,2.9248227267624167,982.193443949818,1.8455903312681885,-6.590069310143394,159.02751487143337,True,False,True,True,1.0,1.0,1.0,1.0,1.0,1.0
