run,run_family,exactly_two,downstream_pair,events
58,low_all_three_rate_edge,0,B4+B6+B8,72
58,low_all_three_rate_edge,1,B4+B6,125
58,low_all_three_rate_edge,1,B4+B8,2
58,low_all_three_rate_edge,1,B6+B8,2
59,mid_all_three_rate,0,B4+B6+B8,749
59,mid_all_three_rate,1,B4+B6,1360
59,mid_all_three_rate,1,B4+B8,11
59,mid_all_three_rate,1,B6+B8,41
60,high_all_three_rate,0,B4+B6+B8,802
60,high_all_three_rate,1,B4+B6,1194
60,high_all_three_rate,1,B4+B8,11
60,high_all_three_rate,1,B6+B8,18
61,high_all_three_rate,0,B4+B6+B8,925
61,high_all_three_rate,1,B4+B6,1364
61,high_all_three_rate,1,B4+B8,9
61,high_all_three_rate,1,B6+B8,21
62,high_all_three_rate,0,B4+B6+B8,798
62,high_all_three_rate,1,B4+B6,1325
62,high_all_three_rate,1,B4+B8,7
62,high_all_three_rate,1,B6+B8,24
63,mid_all_three_rate,0,B4+B6+B8,365
63,mid_all_three_rate,1,B4+B6,663
63,mid_all_three_rate,1,B4+B8,4
63,mid_all_three_rate,1,B6+B8,13
65,low_all_three_rate_edge,0,B4+B6+B8,63
65,low_all_three_rate_edge,1,B4+B6,178
65,low_all_three_rate_edge,1,B4+B8,3
65,low_all_three_rate_edge,1,B6+B8,7
