method,atom,level,n_all_hit_events,all_six_sigma68_ns,downstream_sigma68_ns,b2_inclusion_harm_delta_ns,all_six_tail_frac_abs_gt5ns
cnn1d,peak_spread_bin,pathological,78,38.70428035259246,3.020298120975494,35.683982231616966,0.47649572649572647
cnn1d,event_anomaly_any,True,275,19.529447550773618,2.4268869566917415,17.102560594081876,0.3145454545454546
cnn1d,baseline_bin,excursion,213,17.836056933403015,2.260828034877777,15.575228898525237,0.2730829420970266
cnn1d,event_saturation_any,True,36,14.896843791007996,1.8501319015026092,13.046711889505387,0.4398148148148148
cnn1d,peak_spread_bin,wide,164,14.35191192150116,2.126653802394867,12.225258119106293,0.32215447154471544
cnn1d,baseline_bin,quiet,105,13.554455671310425,2.0627815413475035,11.491674129962922,0.21587301587301588
cnn1d,b2_amp_bin,very_high,82,11.334810600280761,2.004768693447113,9.330041906833648,0.38414634146341464
cnn1d,b2_ratio_bin,b2_extreme,227,11.097542209625244,1.8735351145267476,9.224007095098496,0.355359765051395
cnn1d,b2_amp_bin,high,783,4.2395724153518675,2.0783910286426543,2.161181386709213,0.21945508727117924
cnn1d,run,58,72,3.774194979667663,1.8581006765365597,1.9160943031311033,0.18055555555555555
cnn1d,b2_ratio_bin,b2_high,610,3.5978376340866087,1.9839616942405696,1.6138759398460392,0.1669398907103825
cnn1d,run,65,63,3.5945069074630736,2.006845383644104,1.5876615238189697,0.1693121693121693
cnn1d,run,63,365,3.045865035057068,1.7171620345115657,1.3287030005455023,0.15205479452054796
cnn1d,peak_spread_bin,moderate,1096,3.1310081481933594,1.917675302028656,1.2133328461647033,0.1257603406326034
cnn1d,run,59,749,2.972399444580078,1.8160244536399839,1.156374990940094,0.12060525144637294
cnn1d,event_dropout_any,False,3503,2.8721923160552976,1.9196595168113708,0.9525327992439268,0.0879246360262632
cnn1d,event_saturation_any,False,3738,2.828882598876953,1.9202150893211365,0.9086675095558165,0.08698947743891564
cnn1d,baseline_bin,shifted,3456,2.784851002693176,1.8982460188865655,0.8866049838066106,0.07527970679012345
cnn1d,event_anomaly_any,False,3499,2.770025062561035,1.8930137419700623,0.8770113205909726,0.0727350671620463
cnn1d,run,62,798,2.7089162778854368,1.8472132277488709,0.8617030501365659,0.06704260651629072
cnn1d,run,61,925,3.0010340881347655,2.158093049526214,0.8429410386085516,0.08126126126126126
cnn1d,b2_ratio_bin,balanced,2776,2.651113510131835,1.9043862223625179,0.7467272877693172,0.050072046109510084
cnn1d,run,60,802,2.5831141662597656,1.8419112563133238,0.7412029099464419,0.05340814630091438
cnn1d,b2_amp_bin,mid,2769,2.6005648136138917,1.8804147887229918,0.7201500248908999,0.044841699771277235
cnn1d,peak_spread_bin,tight,2436,2.6138731479644775,1.8955673789978027,0.7183057689666748,0.04645593869731801
cnn1d,event_dropout_any,True,271,2.4258604049682617,1.8967267394065854,0.5291336655616763,0.12177121771217712
cnn1d,b2_ratio_bin,b2_low,161,2.5496068358421327,2.02669305562973,0.5229137802124026,0.12111801242236025
cnn1d,b2_amp_bin,low,140,1.975612525939941,1.7670096015930175,0.20860292434692362,0.09642857142857143
