method,pair_scope,n_heldout_runs,mean_run_sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,mean_run_full_rms_ns,full_rms_ci_low_ns,full_rms_ci_high_ns,mean_run_tail_frac_abs_gt5ns,tail_ci_low,tail_ci_high,b2_inclusion_harm_delta_ns,b2_inclusion_harm_ci_low_ns,b2_inclusion_harm_ci_high_ns
cfd20_uncorrected,all_six_with_b2,7,3.3561454346350255,3.0752323747766868,3.6224571073906757,13.135847909109932,10.215052114214215,16.41518521308899,0.24546667794731686,0.19606683852991394,0.29350386660073546,0.22597583391836723,-0.01656386123384705,0.4759105143515122
cfd20_uncorrected,downstream_only,7,3.1301696007166586,3.0205020420051043,3.2401232087952745,6.301313536507743,5.422718620300293,7.1481748308454245,0.2338227375836938,0.20588372350420234,0.2598819600714877,0.22597583391836723,-0.01656386123384705,0.4759105143515122
cnn1d,all_six_with_b2,7,3.0971472712925503,2.8270690929719375,3.391913051434925,12.732286044529506,9.563736428533282,15.93816944531032,0.11774854070187316,0.08138965955805112,0.15087115505021112,1.204954402446747,0.9145506709814074,1.498972598901817
cnn1d,downstream_only,7,1.8921928688458027,1.8060897372620444,2.0011250182390206,5.015485184533255,3.9741025311606273,6.029896741253988,0.024713218395167685,0.017465364568519652,0.03351454256755076,1.204954402446747,0.9145506709814074,1.498972598901817
gated_mixer,all_six_with_b2,7,3.1070887953894477,2.8253156614303587,3.409287791609762,12.846749782562256,9.567855630602155,16.265600614888328,0.12220763502191713,0.08717146601964632,0.1585814390195117,1.198712362732206,0.9249120904036934,1.4870410450867237
gated_mixer,downstream_only,7,1.9083764326572417,1.8184042818205692,2.006442044075046,5.1613010338374545,4.104787043162754,6.036316245794296,0.028595854789377016,0.02265608158066861,0.03556581051545391,1.198712362732206,0.9249120904036934,1.4870410450867237
hgb,all_six_with_b2,7,3.126366997446332,2.777010820252555,3.5200765498365665,12.775066580091204,9.669455129759651,16.21341552223478,0.13883177083744874,0.09930154463115595,0.17973981931457764,1.1959674511637004,0.9018006300926208,1.5288140906606396
hgb,downstream_only,7,1.9303995462826318,1.8487733081408908,2.014695405755724,5.179882322038923,4.125766376086644,6.012500556877681,0.05993370640937006,0.049679387084773895,0.07116014061128179,1.1959674511637004,0.9018006300926208,1.5288140906606396
mlp,all_six_with_b2,7,3.395241531644548,3.016421311957496,3.7981416615928913,12.753758362361364,9.62930051939828,16.026936449323372,0.14505808959491664,0.10663397661473707,0.1829515673262996,1.287901095747948,0.9529590722322469,1.6479951952121077
mlp,downstream_only,7,2.107340435896601,2.0436395691909954,2.168031021886638,5.105835812432425,4.096205575125558,5.9551215427262445,0.06319683045181804,0.0539839608130549,0.07191477381541607,1.287901095747948,0.9529590722322469,1.6479951952121077
ridge,all_six_with_b2,7,3.8930407571792602,3.5518301916463035,4.382696536864553,12.899257455553327,9.879846572875977,16.241930961608887,0.16904882856014045,0.13836239912182557,0.20262753931429775,1.8241290384531024,1.4570257603057795,2.3115218812666294
ridge,downstream_only,7,2.068911718726158,2.006133152397615,2.1477160053061586,5.436645950589861,4.302233311959675,6.357754571097238,0.08390119109529748,0.06969152916588445,0.09887054068092285,1.8241290384531024,1.4570257603057795,2.3115218812666294
run_only_control,all_six_with_b2,7,3.6909904343741275,3.461089311173984,3.9222983350924063,12.909585680280413,9.988340377807617,15.967181886945452,0.16673187058594238,0.13429594164321515,0.19786377922086382,1.5560054674797823,1.2673803565238735,1.8440878074574938
run_only_control,downstream_only,7,2.1349849668943452,2.0579883469642533,2.2335908549044814,5.525904042380197,4.443093776702881,6.5338431835174555,0.10752330414843558,0.0803346145965057,0.13018198745639242,1.5560054674797823,1.2673803565238735,1.8440878074574938
shuffled_target_ridge_control,all_six_with_b2,7,2.8003569713234904,2.5404569315761325,3.0343680736475753,12.992385728018624,9.943770473343985,16.174358367919922,0.18282028053623417,0.13192632791738756,0.23195811609911932,0.2926025082809585,0.09291989043567873,0.4905522234524999
shuffled_target_ridge_control,downstream_only,7,2.5077544630425312,2.4083289134949446,2.6074630571263175,5.914552620479038,4.950842097827366,6.8425652844565255,0.12439948072732353,0.10267312293298729,0.1465415396615309,0.2926025082809585,0.09291989043567873,0.4905522234524999
target_stave_excluded_hgb_control,all_six_with_b2,7,3.383613574164254,3.0342151675224303,3.749263526439667,12.801570347377233,9.691951751708984,16.076713817460195,0.1607976959505996,0.12442996736246226,0.19826342591262028,1.2862835310612406,0.970143792501517,1.614288825639657
target_stave_excluded_hgb_control,downstream_only,7,2.0973300431030135,1.9805038259167755,2.2302758779323524,5.220784630094256,4.387405001265662,6.08281967129026,0.09010129737984289,0.07706924536992697,0.10281977423948817,1.2862835310612406,0.970143792501517,1.614288825639657
traditional_explicit_timewalk,all_six_with_b2,7,3.1690876841545097,2.9240344401087084,3.4532218222703235,12.81154033115932,9.584227970668248,16.117785971505295,0.14273171389438288,0.10506674890248406,0.17798682541233157,1.3526548186370302,1.0363718087470963,1.675562587781674
traditional_explicit_timewalk,downstream_only,7,1.8164328655174795,1.7252333330277883,1.9036763292551038,5.213280575616019,3.9934160028185164,6.232150145939419,0.06688548788613384,0.05145417852719309,0.07914910451471334,1.3526548186370302,1.0363718087470963,1.675562587781674
