method,run,n_pair_residuals,n_events,n_runs,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,mae_ns
raw_cfd20,54,150,50,1,-2.9032663178934826,2.974859520467964,3.5840570280756343,0.06,2.491610807609728
raw_cfd20,55,132,44,1,-3.5619755723273485,3.2033552699567642,3.0340869394095504,0.08333333333333333,2.471227899048303
raw_cfd20,56,276,92,1,-3.0623599675774997,3.0259874144321266,8.345983219720457,0.07246376811594203,3.396663892888821
raw_cfd20,57,192,64,1,-3.1392182920903586,3.264756915433511,2.978022561357029,0.07291666666666667,2.408645688440003
traditional_ridge_lowering,54,150,50,1,-2.7398619727686473,2.981410420671366,3.4409010510537015,0.06666666666666667,2.496026646914289
traditional_ridge_lowering,55,132,44,1,-3.175311400884051,3.0581888018851915,3.0306098068155842,0.05303030303030303,2.442697164829761
traditional_ridge_lowering,56,276,92,1,-2.8625721413501743,3.1012966482331494,7.715625207890027,0.08333333333333333,3.3156012713492893
traditional_ridge_lowering,57,192,64,1,-2.870598136451722,3.1148587247852735,2.9919816139066966,0.057291666666666664,2.405567920805917
ml_rf_lowering,54,150,50,1,-3.187989359133393,2.770613408099577,3.00585271184457,0.05333333333333334,2.192905931951111
ml_rf_lowering,55,132,44,1,-3.345665612417881,2.8954054648761502,2.8115874136612975,0.06818181818181818,2.2309877755925283
ml_rf_lowering,56,276,92,1,-3.0833602095310053,2.9634179013980626,7.7022768608608265,0.06521739130434782,3.2120948162318905
ml_rf_lowering,57,192,64,1,-3.121579771760191,2.9863815005794834,3.192965827104745,0.08333333333333333,2.377813814471166
ml_shuffled_target_control,54,150,50,1,-2.9404174541186134,3.0770478612238343,3.7699124307126897,0.07333333333333333,2.580672916580772
ml_shuffled_target_control,55,132,44,1,-2.834002335306173,3.1783044083984735,3.090751244374474,0.05303030303030303,2.6489618566548065
ml_shuffled_target_control,56,276,92,1,-2.8699294106773303,3.2040662842321335,8.33937619808704,0.10507246376811594,3.515455724419091
ml_shuffled_target_control,57,192,64,1,-2.9942040747247307,3.413646842256284,3.128831161882428,0.08854166666666667,2.494902863313469
