method,control,observed_pid_balanced_accuracy,control_pid_balanced_accuracy,observed_energy_fractional_sigma68,control_energy_fractional_sigma68,n_events
1d_cnn,pid_permuted_within_run,0.7511506730351716,0.48853669127225363,0.3398075020795039,0.3398075020795039,480
1d_cnn,energy_permuted_within_run,0.7511506730351716,0.7511506730351716,0.3398075020795039,0.5727646228012923,480
1d_cnn,blocked_resampling_null,0.7511506730351716,0.7368146758390661,0.3398075020795039,0.3232475826316805,480
gradient_boosted_trees,pid_permuted_within_run,0.8239253148067738,0.5071211463308728,0.2678504188596708,0.2678504188596708,480
gradient_boosted_trees,energy_permuted_within_run,0.8239253148067738,0.8239253148067738,0.2678504188596708,0.4747004936650838,480
gradient_boosted_trees,blocked_resampling_null,0.8239253148067738,0.845059412132583,0.2678504188596708,0.27451682133710675,480
mlp,pid_permuted_within_run,0.7122014763352149,0.5246200607902736,0.34900491528766325,0.34900491528766325,480
mlp,energy_permuted_within_run,0.7122014763352149,0.7122014763352149,0.34900491528766325,0.531279533475287,480
mlp,blocked_resampling_null,0.7122014763352149,0.6766184789440604,0.34900491528766325,0.35460513047109377,480
pedestal_memory_gated_residual_cnn_new,pid_permuted_within_run,0.8280937907077726,0.5237950499348676,0.2807104821700017,0.2807104821700017,480
pedestal_memory_gated_residual_cnn_new,energy_permuted_within_run,0.8280937907077726,0.8280937907077726,0.2807104821700017,0.4623998283518045,480
pedestal_memory_gated_residual_cnn_new,blocked_resampling_null,0.8280937907077726,0.8168275574692687,0.2807104821700017,0.2851265722769845,480
ridge,pid_permuted_within_run,0.735909683022145,0.4816326530612245,0.29412718526426695,0.29412718526426695,480
ridge,energy_permuted_within_run,0.735909683022145,0.735909683022145,0.29412718526426695,0.5380806339095803,480
ridge,blocked_resampling_null,0.735909683022145,0.7152091188684819,0.29412718526426695,0.30210638959862607,480
traditional_ar1_deltaE_over_E,pid_permuted_within_run,0.7673903603994789,0.4755970473295701,0.3269242324087376,0.3269242324087376,480
traditional_ar1_deltaE_over_E,energy_permuted_within_run,0.7673903603994789,0.7673903603994789,0.3269242324087376,0.568688154394204,480
traditional_ar1_deltaE_over_E,blocked_resampling_null,0.7673903603994789,0.7678245766391663,0.3269242324087376,0.3209981989695849,480
