method,split,stratum,bootstrap_unit,pid_auc,pid_balanced_accuracy,pid_ece,pid_confusion_tn,pid_confusion_fp,pid_confusion_fn,pid_confusion_tp,energy_fractional_bias,energy_fractional_sigma68,n_events,n_deuteron,energy_fractional_bias_ci_low,energy_fractional_bias_ci_high,energy_fractional_sigma68_ci_low,energy_fractional_sigma68_ci_high,pid_auc_ci_low,pid_auc_ci_high,pid_balanced_accuracy_ci_low,pid_balanced_accuracy_ci_high,pid_ece_ci_low,pid_ece_ci_high
1d_cnn,run_held_out,all,source_run,0.7853408597481545,0.7511506730351716,0.08648738617348548,195,50,69,166,0.03374590076659026,0.3398075020795039,480,235,0.00930526233099366,0.08062693372558484,0.31632534040347504,0.37378580289691044,0.7678605631105153,0.8071045669729882,0.7198002605297438,0.7907485544616346,0.06782399229667918,0.13561590103760374
1d_cnn,time_blocked,early,source_run,0.7480614021205888,0.7214749169172336,0.09093631700368734,67,22,22,49,0.0065069177976745125,0.2751862339079615,160,71,-0.05594744106520596,0.08460595022288449,0.24249043437115841,0.3240817182361387,0.7035984848484848,0.811497975708502,0.6723484848484849,0.7813765182186234,0.09060143912855001,0.184991983707615
1d_cnn,time_blocked,middle,source_run,0.8061288305190744,0.7886178861788617,0.11175036162564941,65,13,21,61,0.043971046059979375,0.37440738940506924,160,82,0.012074102726734079,0.09481294025960971,0.32994139372499576,0.4172383517614622,0.7757462103453665,0.8587301587301587,0.7367104440275172,0.8664528242841496,0.1044472024576807,0.20268245793781914
1d_cnn,time_blocked,late,source_run,0.7970606629143214,0.7453095684803002,0.11176139646897189,63,15,26,56,0.034066893654949304,0.36807044246880716,160,82,0.012020854235967753,0.06346308819517461,0.3098548071191176,0.4475209038679115,0.7548972766364072,0.8379156010230179,0.7042606516290727,0.7930223472417565,0.08649598661415969,0.17724259089610495
1d_cnn,current_rate_stratified,current_low,source_run,0.7989573150863474,0.7735418703160639,0.11263663224336184,80,13,31,68,0.03331270669630417,0.30930736714676155,192,99,0.032003795629350504,0.03584616117218802,0.29264044365454356,0.34141719728591724,0.767636684303351,0.8239651416122006,0.7261904761904762,0.8163398692810457,0.11263663224336183,0.1770890130423225
1d_cnn,current_rate_stratified,current_mid,source_run,0.7655232305688232,0.7095093356491533,0.09400324763439535,36,11,17,32,0.02052767048635052,0.39642481034461885,96,49,0.02052767048635052,0.02052767048635052,0.39642481034461885,0.39642481034461885,0.7655232305688232,0.7655232305688232,0.7095093356491533,0.7095093356491533,0.09400324763439535,0.09400324763439535
1d_cnn,current_rate_stratified,current_high,source_run,0.7828133552271485,0.7555008210180624,0.10693268672290496,79,26,21,66,0.04820447567655405,0.33684866989479023,192,87,-0.0071401115111652275,0.09726121400077542,0.3251183986152813,0.347343828398327,0.7690972222222222,0.7944219523166891,0.7361673414304993,0.7708333333333333,0.10693268672290496,0.14508931719152124
1d_cnn,pedestal_state,pedestal_quiet,source_run,0.7409180166912126,0.6866102110947472,0.11809589803660145,72,25,31,53,0.08143617181344008,0.30297109440001807,181,84,0.03993003020499725,0.15505111194471824,0.25226651897229596,0.3588644207321543,0.6812592749629002,0.8099000287686996,0.6384884460462158,0.7434066641365581,0.08406702870866817,0.17880650360048783
1d_cnn,pedestal_state,pedestal_memory,source_run,0.7824074074074073,0.7844328703703703,0.15877404239010823,53,11,14,40,0.0004764130510844806,0.4227727776620571,118,54,-0.09540966063415914,0.05246184323726954,0.3627195060626578,0.5147580708994527,0.6689814814814815,0.8683229813664596,0.6726891856506939,0.8738191632928476,0.12863683286082586,0.24544017218701344
1d_cnn,pileup_leakage,single_truth,source_run,0.7984544695071011,0.7619047619047619,0.08814226068245298,108,18,38,76,0.026382389566058984,0.3778020240165255,240,114,0.006107360628295518,0.04370280086525055,0.34546120530738345,0.4396367318876304,0.7637867647058822,0.8335604787369493,0.7226325691589436,0.8042804843705997,0.08339965559201781,0.1663409964690749
