method,topology,n_pair_rows,n_runs,retention,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,full_rms_ns,tail_frac_abs_gt5ns,tail_frac_ci_low,tail_frac_ci_high
raw_no_veto,B2_containing,43956,21,1.0,3.526279240861914,1.8590967104284501,19.181234817523546,24.825131582303122,0.20274820274820274,0.1314598110671158,0.34560295183664796
raw_no_veto,all,65484,21,1.0,2.090504189144874,1.790210631950443,9.627579753310595,20.680328523812705,0.14177509009834463,0.0926717524226395,0.2489174891299589
raw_no_veto,downstream_only,21528,21,1.0,1.7393739588381734,1.6968419477465486,1.7804507421053792,6.537683651141346,0.01741917502787068,0.013755769606054694,0.020626566278318215
traditional_q_threshold_veto,B2_containing,24260,21,0.5519155519155519,1.719705279260615,1.4757659938498082,6.845190271010118,19.540695123218352,0.11455070074196208,0.06552466671103248,0.22803686678323776
traditional_q_threshold_veto,all,36013,21,0.5499511331012156,1.631245460366166,1.4976208425502222,2.517493747346121,16.100798533963967,0.07844389526004499,0.046153959052821256,0.17134865418195602
traditional_q_threshold_veto,downstream_only,11753,21,0.5459401709401709,1.4864843339921527,1.4433385214861703,1.53041003044623,2.8619096115762,0.00348847102867353,0.0020198811624981714,0.005560691786960946
ml_rf_qtemplate_veto,B2_containing,24735,21,0.5627218127218128,1.2986692122908075,1.2634484243368116,1.3249654542934133,1.5426511097561575,0.005336567616737417,0.00303537977405417,0.009354945448574875
ml_rf_qtemplate_veto,all,36975,21,0.5646417445482866,1.356146213765082,1.3214031191512263,1.4049950612860842,1.5175317667837394,0.003786342123056119,0.0022963623836882293,0.006252016318051974
ml_rf_qtemplate_veto,downstream_only,12240,21,0.568561872909699,1.41859578729053,1.3712494291112478,1.4682961788468671,1.415636616692603,0.00065359477124183,0.00012080546210915474,0.0015787007613348649
ml_rf_shuffled_label_control,B2_containing,35919,21,0.8171580671580672,3.161284701584563,1.811087996956965,18.358936515830532,24.478857990035973,0.19619143071911802,0.12253977075923227,0.3259823842105057
ml_rf_shuffled_label_control,all,55091,21,0.8412894752916743,2.028713942112247,1.741761633843621,6.372635167526478,20.08367665545028,0.13359713927864805,0.08249420634395654,0.22497243260691985
ml_rf_shuffled_label_control,downstream_only,19172,21,0.8905611296915644,1.7091246457574085,1.6531477039149314,1.7652802801406409,6.078272226921375,0.016534529522219905,0.013354817719211922,0.019429435362752233
