topology,feature,threshold,train_retention,train_tail_frac,train_sigma68_ns,fold,heldout_run,method,rf_n_estimators,rf_max_depth,rf_min_samples_leaf
all,q_diff_abs,0.02793945608588563,0.5499961723953151,0.07468752609748629,1.6255538283335764,1,44,traditional_q_threshold_veto,,,
all,,0.08578774187925663,0.5499961723953151,0.002032124265790719,1.3581504577314907,1,44,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5114460524764978,0.949996172395315,0.1355380425147867,2.041621324283837,1,44,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.030341489543048657,0.5500091257528746,0.11465073834411814,1.711499328575755,1,44,traditional_q_threshold_veto,,,
B2_containing,,0.12865019023131555,0.5500091257528746,0.004521320723411316,1.284465832113246,1,44,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.5124868876699358,0.9499908742471254,0.19548511047070125,2.949988274329561,1,44,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05523161734935115,0.5500162919517758,0.0034698713608666215,1.4815868160242915,1,44,traditional_q_threshold_veto,,,
downstream_only,,0.037562592211666475,0.5500162919517758,0.0004231550440081246,1.4076852839919032,1,44,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5086755176148733,0.9499604338314016,0.017199137593100745,1.739939384573248,1,44,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.027867401256256946,0.5499945052357254,0.07247452402020951,1.6147386994196684,2,45,traditional_q_threshold_veto,,,
all,,0.08465335688891688,0.5499945052357254,0.0017983044557988183,1.3602782233706425,2,45,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5108053787249685,0.9499976451010251,0.13934426229508196,2.065291848478951,2,45,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.030191455580561927,0.5500082038300167,0.1113573407202216,1.692260490345321,2,45,traditional_q_threshold_veto,,,
B2_containing,,0.12735769082958512,0.5500082038300167,0.004219049648412529,1.28669596109361,2,45,ml_rf_qtemplate_veto,220.0,6.0,30.0
