method,pair,topology,n_pair_rows,n_runs,retention,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,full_rms_ns,tail_frac_abs_gt5ns,tail_frac_ci_low,tail_frac_ci_high
raw_no_veto,B2-B4,B2_containing,26387,21,0.6003048503048503,3.446746771234311,1.5713874526414306,19.967265344625254,25.467087525826585,0.19592981392352296,0.13123904347509963,0.3235423828360044
raw_no_veto,B2-B6,B2_containing,12626,21,0.2872417872417872,3.3693290980481123,2.169086472515392,19.456732831469168,23.312102955576346,0.20687470299382227,0.13387092907568632,0.3705720718881134
raw_no_veto,B2-B8,B2_containing,4943,21,0.11245336245336246,4.7649858014319495,2.5128824197797544,23.976714798690224,25.105254686510705,0.22840380335828445,0.1530022867342304,0.40344584227901437
raw_no_veto,B4-B6,downstream_only,12196,21,0.5665180230397622,1.8148328504550202,1.7511561193696406,1.8613664905926937,6.44232324679574,0.017792718924237456,0.01387199429749519,0.021548791017038074
raw_no_veto,B4-B8,downstream_only,4542,21,0.21098104793756967,2.0355560749822237,1.9494203536659662,2.0931578736693646,8.171602199369417,0.026420079260237782,0.019920198505915986,0.033539406903692476
raw_no_veto,B6-B8,downstream_only,4790,21,0.22250092902266816,1.3226069032312948,1.2708380993634432,1.3819465000509794,4.806672546003763,0.0077244258872651355,0.004598253283474583,0.01153943877980467
traditional_q_threshold_veto,B2-B4,B2_containing,14798,21,0.33665483665483664,1.4502423385511771,1.2563635175245613,6.581181928154856,19.501293896488406,0.10501419110690634,0.059287847651490075,0.21530671900668757
traditional_q_threshold_veto,B2-B6,B2_containing,6907,20,0.15713440713440713,1.9176163011207397,1.6855413467674683,7.821844139953796,18.626406637053158,0.11886491964673519,0.06618312141547032,0.245470864524037
traditional_q_threshold_veto,B2-B8,B2_containing,2555,20,0.058126308126308125,2.4785456813527884,2.023800358245179,19.767787874056914,21.958888070892066,0.1569471624266145,0.09222758735027148,0.3203292793503112
traditional_q_threshold_veto,B4-B6,downstream_only,6737,21,0.31294128576737273,1.4609443030416567,1.4054037560393504,1.5213515134133586,2.0193391967094283,0.002820246400474989,0.0009657065075563503,0.005242821638913588
traditional_q_threshold_veto,B4-B8,downstream_only,2336,21,0.10850984764028242,1.7204817550347078,1.6221883945756073,1.7865061591363243,4.364033254071929,0.005565068493150685,0.002066438785694728,0.00989482651372394
traditional_q_threshold_veto,B6-B8,downstream_only,2680,21,0.12448903753251579,1.3486862875532872,1.278596030063997,1.4172722630805543,3.004550403793478,0.004104477611940298,0.0010780205953849727,0.007563991280177696
ml_rf_qtemplate_veto,B2-B4,B2_containing,14544,21,0.3308763308763309,1.0921274791044437,1.0563419209624745,1.1232807635422113,1.3837557002705072,0.004537953795379538,0.002310887860981172,0.008540891950981247
ml_rf_qtemplate_veto,B2-B6,B2_containing,7384,20,0.16798616798616797,1.5886480405383636,1.5369045108473858,1.6396248556054784,1.6948912652459245,0.004875406283856988,0.00244859953142379,0.00863380563593059
ml_rf_qtemplate_veto,B2-B8,B2_containing,2807,20,0.06385931385931386,1.7749057266841741,1.6813218414027324,1.8506487818251667,1.8667500183753707,0.010687566797292483,0.0050993337409870314,0.022495902231054698
ml_rf_qtemplate_veto,B4-B6,downstream_only,6711,21,0.3117335562987737,1.4025718116807124,1.3283284790723342,1.463347381517897,1.3780314314776954,0.0005960363582178513,0.0,0.001600051736803039
ml_rf_qtemplate_veto,B4-B8,downstream_only,2516,21,0.11687105165366035,1.6338859601372935,1.5439079226103123,1.7055579096638032,1.5656427176588592,0.0,0.0,0.0
ml_rf_qtemplate_veto,B6-B8,downstream_only,3013,21,0.13995726495726496,1.2707804579004347,1.2182532016452519,1.3370549068701927,1.3411804546548152,0.001327580484566877,0.0,0.0032308162031083917
ml_rf_shuffled_label_control,B2-B4,B2_containing,21800,21,0.49595049595049595,2.992024169280124,1.5132900310400703,18.581377378001164,24.914330853081548,0.1891743119266055,0.11991129726561063,0.3126255289346807
ml_rf_shuffled_label_control,B2-B6,B2_containing,10190,20,0.23182273182273183,3.0014066343416173,2.138837849284467,19.055977701661323,23.145083714456785,0.1997055937193327,0.1321161515495854,0.3620399396092842
ml_rf_shuffled_label_control,B2-B8,B2_containing,3929,20,0.08938483938483939,4.773656098651477,2.455679250546308,25.951147703723663,25.374465745427248,0.22601170781369306,0.1485525845165172,0.4188472509834251
ml_rf_shuffled_label_control,B4-B6,downstream_only,10973,21,0.5097082868821999,1.7861176213608068,1.6952104616944736,1.8424898142616912,5.877227954381167,0.016221634922081472,0.012441959722986983,0.020302621977071535
ml_rf_shuffled_label_control,B4-B8,downstream_only,3953,21,0.1836213303604608,2.026274451243153,1.9146243392311888,2.103895035672319,7.4704675778867236,0.026562104730584367,0.019455899741830995,0.03296854521625164
ml_rf_shuffled_label_control,B6-B8,downstream_only,4246,21,0.19723151244890375,1.3093978173095269,1.2625404189450047,1.3708469337648206,5.058703949382445,0.00800753650494583,0.004530982006579625,0.012303557587742434
