run_family,saturation_depth_bin,amplitude_bin,q_template_shift_bin,lowering_bin,dropout_anomaly_taxon,topology,traditional_action_band,rows,runs,mean_amp_adc,median_duplicate_residual_frac,median_q_template_shift_if_accepted,corrected_timing_tail_fraction,obs_timing_tail_fraction,oracle_accept_fraction,timing_tail_delta_if_accepted
high-knee,deep_above_knee,8-9k,lt0.005,lt0.5pct,regular_edge,central_peak,abstain,8308,12,8521.31138661531,-0.026164704738274834,0.0,0.026961964371689937,0.026961964371689937,0.0,0.0
high-knee,above_knee,7-8k,lt0.005,lt0.5pct,regular_edge,central_peak,abstain,7015,12,7716.26307911618,-0.028717228110532768,0.0,0.02879543834640057,0.02879543834640057,0.0,0.0
high-knee,near_knee,7-8k,lt0.005,lt0.5pct,regular_edge,central_peak,abstain,5951,12,7261.34977314737,-0.028477226128415748,0.0,0.025037808771635018,0.025037808771635018,0.0,0.0
high-knee,above_knee,8-9k,lt0.005,lt0.5pct,regular_edge,central_peak,abstain,2711,11,8132.696421984508,-0.02802465145732284,0.0,0.03430468461822206,0.03430468461822206,0.0,0.0
high-knee,deep_above_knee,8-9k,lt0.005,lt0.5pct,negative_dropout,central_peak,abstain,2688,12,8567.438988095239,-0.06436843226281386,0.0,0.04017857142857143,0.04017857142857143,0.0,0.0
high-knee,deep_above_knee,9-11k,lt0.005,lt0.5pct,regular_edge,central_peak,abstain,2454,12,9257.809087204563,-0.032455562270328614,0.0,0.024857375713121434,0.024857375713121434,0.0,0.0
high-knee,above_knee,7-8k,lt0.005,lt0.5pct,negative_dropout,central_peak,abstain,2038,12,7712.030421982336,-0.06264525823655862,0.0,0.05740922473012758,0.05740922473012758,0.0,0.0
high-knee,deep_above_knee,9-11k,lt0.005,lt0.5pct,negative_dropout,central_peak,abstain,1407,12,9286.068585643212,-0.06544417839701885,0.0,0.021321961620469083,0.021321961620469083,0.0,0.0
high-knee,near_knee,7-8k,lt0.005,lt0.5pct,negative_dropout,central_peak,abstain,1348,12,7275.341617210683,-0.06236387762659511,0.0,0.064540059347181,0.064540059347181,0.0,0.0
high-knee,above_knee,8-9k,lt0.005,lt0.5pct,negative_dropout,central_peak,abstain,745,11,8141.287919463087,-0.06303649306238628,0.0,0.04832214765100671,0.04832214765100671,0.0,0.0
high-knee,deep_above_knee,9-11k,0.015-0.035,gt3pct,regular_edge,central_peak,abstain,483,12,9222.069358178054,0.14890296608497283,-0.031719562414866065,0.0,0.0,0.0,0.0
