run,run_family,traditional_action_band,rows,mean_amp_adc,median_duplicate_residual_frac,oracle_accepts
31,high-knee,abstain,4032,8273.30220734127,-0.037941253283473544,0
31,high-knee,correct,248,7558.145161290323,0.019741939796370928,248
31,high-knee,pass,7193,8118.462393994161,0.004869789243473424,0
31,high-knee,veto,756,8305.53835978836,0.17321510105550952,0
32,high-knee,abstain,3981,8256.760864104497,-0.035421892247029775,0
32,high-knee,correct,233,7487.5085836909875,0.020233559611415063,233
32,high-knee,pass,6987,8099.235795047946,0.005070649474875649,0
32,high-knee,veto,785,8296.082165605096,0.1733350232169415,0
33,high-knee,abstain,2593,7762.071153104512,-0.026103264081383065,0
33,high-knee,correct,190,7514.210526315789,0.016928225451708002,190
33,high-knee,pass,13104,7804.353823260073,0.002847375103335076,0
33,high-knee,veto,173,8275.690751445087,0.16442174535317727,0
34,high-knee,abstain,2848,7940.408883426966,-0.026966120638654736,0
34,high-knee,correct,166,7557.114457831325,0.016756352084573295,166
34,high-knee,pass,12249,7979.881500530656,0.00364067593876977,0
34,high-knee,veto,271,8338.538745387454,0.1724926168724487,0
35,low-knee,veto,1408,8126.111505681818,0.01126941690672242,0
36,low-knee,veto,2141,8177.4542269967305,0.008390715908791478,0
37,low-knee,veto,4938,8200.133859862293,0.0031536585373970103,0
39,low-knee,veto,2295,8167.143355119826,0.00396475096623398,0
40,low-knee,veto,1972,8134.71729208925,0.010180742982667756,0
41,low-knee,veto,2720,8181.166176470589,0.005999768367694981,0
45,low-knee,veto,5448,8233.346824522761,0.0019740141551644738,0
47,high-knee,abstain,463,8274.210583153348,-0.03086645635365238,0
47,high-knee,correct,47,7373.585106382979,0.02161725297644439,47
47,high-knee,pass,614,8154.898208469055,0.007122850542878755,0
47,high-knee,veto,143,8273.36013986014,0.17452922843832414,0
48,low-knee,veto,1975,8140.809367088607,0.010060898706791896,0
49,low-knee,veto,2146,8145.558014911463,0.0025100990045647696,0
50,high-knee,abstain,5569,8196.812623451247,-0.03228642991667944,0
50,high-knee,correct,347,7622.798270893371,0.01792892584969369,347
50,high-knee,pass,12664,8184.995143714466,0.0062532751739921896,0
50,high-knee,veto,896,8388.50390625,0.17573321461741914,0
51,high-knee,abstain,2081,8196.104276790005,-0.0356674802845723,0
51,high-knee,correct,218,7815.745412844037,0.0171130132559592,218
51,high-knee,pass,4616,8167.4905762564995,0.005516829500595471,0
51,high-knee,veto,325,8367.741538461538,0.1720314210762791,0
52,high-knee,abstain,1038,8191.785645472061,-0.03404774902436235,0
52,high-knee,correct,96,7740.239583333333,0.017985636195675215,96
52,high-knee,pass,2309,8139.768731052403,0.005606568252032909,0
52,high-knee,veto,179,8321.324022346369,0.1736914496492781,0
53,high-knee,abstain,3088,7893.543393782384,-0.03008717006259752,0
53,high-knee,correct,250,7648.408,0.017097864339851616,250
53,high-knee,pass,10379,7925.2163503227675,0.003985916109012564,0
53,high-knee,veto,231,8220.445887445887,0.17055164425650865,0
54,high-knee,abstain,2930,7906.8614334470985,-0.029928075868110297,0
54,high-knee,correct,235,7608.9702127659575,0.017654688954015316,235
54,high-knee,pass,9917,7923.5272259755975,0.003977536234544066,0
54,high-knee,veto,190,8257.563157894738,0.16768582020388906,0
55,high-knee,abstain,2422,8144.563170933113,-0.03245813275984774,0
55,high-knee,correct,231,7628.506493506494,0.018210073057394593,231
55,high-knee,pass,5355,8093.224276377217,0.00588414093270674,0
55,high-knee,veto,315,8334.339682539683,0.1712703398503287,0
56,high-knee,abstain,7523,8232.636381762595,-0.03151598695479336,0
56,high-knee,correct,455,7568.425274725275,0.018528055028650466,455
56,high-knee,pass,12683,8155.617085862966,0.006784839481940848,0
56,high-knee,veto,965,8345.951295336788,0.17823279636568112,0
57,low-knee,veto,1828,8137.345185995624,0.001567629194922477,0
58,low-knee,veto,1610,7945.562422360248,0.025969912000813007,0
59,low-knee,veto,794,8137.815491183879,0.02499984117127734,0
60,low-knee,veto,333,7979.274774774774,0.02862053244840416,0
61,low-knee,veto,405,7998.227160493827,0.0277090933163178,0
62,low-knee,veto,495,8042.366666666667,0.027444315697161416,0
63,low-knee,veto,1212,8076.2388613861385,0.02675735113130178,0
64,low-knee,veto,763,7993.836828309305,0.025699602994472527,0
65,low-knee,veto,442,7910.315610859729,0.025464737882827774,0
