stave,depth_idx,data_fraction_reaching_or_selected,sim_fraction_reaching,data_n_events,sim_n_events_with_any_scibar_edep,ratio_data_to_sim
B2,0,1.0,1.0,584406,242095,1.0
B4,1,0.06958689678066275,0.6168198434498854,584406,242095,0.11281559359611695
B6,2,0.033362080471453066,0.36403891034511243,584406,242095,0.09164427077266409
B8,3,0.012409181288350907,0.2543505648609017,584406,242095,0.048787708787425714
