method,species,truth_n,pred_n,purity,purity_ci_low,purity_ci_high,efficiency,efficiency_ci_low,efficiency_ci_high
traditional_bands,proton,1500,1129,0.975199291408326,0.968373895233292,0.9828832294112884,0.734,0.7066445339368523,0.7609656510592127
traditional_bands,deuteron,1500,1357,0.9992630803242447,0.9977768281325845,1.0,0.904,0.8949832775919733,0.9140419947506562
traditional_bands,alpha,80,592,0.10810810810810811,0.08953233613373705,0.12597200622083982,0.8,0.7,0.875
traditional_bands,carbon12,28,30,0.7333333333333333,0.6153846153846154,0.8597290640394087,0.7857142857142857,0.6071428571428571,0.9333704115684092
ridge,proton,1500,1463,0.9924812030075187,0.9879858657243816,0.996688849913973,0.968,0.960479721265535,0.9761131602621771
ridge,deuteron,1500,1452,0.990358126721763,0.984869325997249,0.9959381073746746,0.9586666666666667,0.9463559288999766,0.9667839211917215
ridge,alpha,80,138,0.4420289855072464,0.4028252398081535,0.5238095238095238,0.7625,0.6508005617977528,0.8658108108108108
ridge,carbon12,28,55,0.45454545454545453,0.3463974358974359,0.6095588235294117,0.8928571428571429,0.8076923076923077,0.9666666666666667
gradient_boosted_trees,proton,1500,1487,0.9905850706119704,0.984949949191271,0.9952890959929666,0.982,0.9745308716707022,0.9875862068965517
gradient_boosted_trees,deuteron,1500,1493,0.9899531145344943,0.9843845187754209,0.995384331911452,0.9853333333333333,0.9797839490432867,0.9905149051490515
gradient_boosted_trees,alpha,80,100,0.64,0.5827040729621028,0.7307692307692307,0.8,0.7349397590361446,0.8901098901098901
gradient_boosted_trees,carbon12,28,28,0.9285714285714286,0.8333333333333334,1.0,0.9285714285714286,0.8181818181818182,1.0
mlp,proton,1500,1533,0.969341161121983,0.9557356608478803,0.9787005376534885,0.9906666666666667,0.9849164909426147,0.9966032608695652
mlp,deuteron,1500,1508,0.98342175066313,0.9791666666666666,0.9883219904515128,0.9886666666666667,0.9843648208469056,0.992570446439081
mlp,alpha,80,39,0.717948717948718,0.5660377358490566,0.9,0.35,0.21261904761904762,0.4507042253521127
mlp,carbon12,28,28,0.8571428571428571,0.7142857142857143,0.96875,0.8571428571428571,0.76,0.9354838709677419
cnn1d,proton,1500,1110,0.9855855855855856,0.9794776119402985,0.9896602804661269,0.7293333333333333,0.7012523335269821,0.7625169147496617
cnn1d,deuteron,1500,1455,0.7532646048109966,0.718837610619469,0.7811044527661392,0.7306666666666667,0.4248322147651007,0.9909491046769516
cnn1d,alpha,80,515,0.036893203883495145,0.0,0.04054054054054054,0.2375,0.0,0.5122093023255809
cnn1d,carbon12,28,28,0.6428571428571429,0.5172413793103449,0.8181818181818182,0.6428571428571429,0.48433528836754647,0.84
hybrid_cnn_tabular,proton,1500,1160,0.9913793103448276,0.9818020123856097,0.9974627481043891,0.7666666666666667,0.706,0.8517494664597177
hybrid_cnn_tabular,deuteron,1500,1528,0.9685863874345549,0.9579195802608845,0.9789209831967782,0.9866666666666667,0.9815181518151815,0.9919246298788694
hybrid_cnn_tabular,alpha,80,387,0.1524547803617571,0.11462270053810537,0.2178603536110277,0.7375,0.6666666666666666,0.8187568455640745
hybrid_cnn_tabular,carbon12,28,33,0.8181818181818182,0.6875,0.9436904761904761,0.9642857142857143,0.88,1.0
