run_family,runs,events,selected_pulses,selected_per_event_mean,selected_per_event_min,selected_per_event_max,B2_fraction_mean,B8_fraction_mean
sample_i,25,798694,501011,0.6000716156520641,0.4198877132368819,0.8579906953350936,0.951714257978696,0.005531769894857902
sample_ii,8,298034,139726,0.4688012690747195,0.33931917551530294,0.5190912823320104,0.7295270320957772,0.03242218652618118
