method,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,delta_balanced_accuracy_vs_traditional,delta_macro_f1_vs_traditional
gradient_boosted_trees,0.9239761904761904,0.8982740361953022,0.9387713603907112,0.9033985536577036,0.8753441544816043,0.9242911390548276,0.11804761904761907,0.21941726072842616
ridge,0.8955059523809524,0.8581047553366248,0.934299337394746,0.7790962893819292,0.7574999314093355,0.8056918859507698,0.0895773809523811,0.09511499645265176
hybrid_cnn_tabular,0.863779761904762,0.836564653079532,0.8885324843492344,0.7450317869830971,0.7266981828775788,0.7713258536950457,0.057851190476190695,0.06105049405381968
traditional_bands,0.8059285714285713,0.7701612025969979,0.8430423452906486,0.6839812929292775,0.659147012579708,0.7075083021026269,0.0,0.0
mlp,0.7966190476190477,0.7406908471829579,0.8349045354934503,0.8234140565621834,0.7637143024986075,0.8649306656845687,-0.009309523809523657,0.1394327636329059
cnn1d,0.5850892857142858,0.5429897353619889,0.6477061382400671,0.5717076088852018,0.5262488292678429,0.6070555284185394,-0.22083928571428557,-0.11227368404407567
