heldout_run,method,method_variant,threshold,n_train,n_test,n_parameters,average_precision,roc_auc,brier,ece,precision,recall,f1,promotion_rate,defer_rate,false_promotion_control_rate,promotion_utility,C,learning_rate,hidden,width,loss_start,loss_end
31,traditional_support_scorecard,traditional_support_scorecard,0.5,973,30,0,1.0,1.0,0.03208355812802339,0.032702476016362725,0.0,0.0,0.0,0.0,1.0,0.0,0.9918243809959093,,,,,,
31,ridge,ridge_C0.3,0.9667088418730518,973,30,26,1.0,1.0,0.012949368609401367,0.05888288229784767,1.0,1.0,1.0,0.03333333333333333,0.9666666666666667,0.0,1.235279279425538,0.3,,,,,
31,ridge,ridge_C1,0.9795901608474415,973,30,26,1.0,1.0,0.003897861988642429,0.027545330271323432,1.0,1.0,1.0,0.03333333333333333,0.9666666666666667,0.0,1.2431136674321692,1.0,,,,,
31,ridge,ridge_C3,0.9859449601309347,973,30,26,1.0,1.0,0.0011545982176021069,0.012752952696177076,1.0,1.0,1.0,0.03333333333333333,0.9666666666666667,0.0,1.2468117618259558,3.0,,,,,
31,gradient_boosted_trees,gradient_boosted_trees_learning_rate0.03,0.9706186440813873,973,30,26,1.0,1.0,2.92387637276584e-05,0.0016480200639648885,1.0,1.0,1.0,0.03333333333333333,0.9666666666666667,0.0,1.2495879949840087,,0.03,,,,
31,gradient_boosted_trees,gradient_boosted_trees_learning_rate0.08,0.9997238800646994,973,30,26,1.0,1.0,1.2284157465733586e-08,2.86695629216783e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.9999928326092696,,0.08,,,,
31,mlp,mlp_hidden16,0.2029485560953617,973,30,449,0.16666666666666666,0.8275862068965517,0.05458289842780665,0.13690001145005226,0.1,1.0,0.18181818181818182,0.3333333333333333,0.6666666666666667,0.5,-0.6175583361958464,,,16.0,,,
31,mlp,mlp_hidden32,0.18358282893896102,973,30,897,0.04,0.1724137931034483,0.07844849738636345,0.1954951783021291,0.0,0.0,0.0,0.7,0.30000000000000004,1.0,-2.0088737945755324,,,32.0,,,
31,cnn_1d,cnn_1d_width8,0.7276256531476974,973,30,313,0.5,0.9655172413793104,0.16101851166288672,0.26090310847103226,0.25,1.0,0.4,0.13333333333333333,0.8666666666666667,0.0,0.684774222882242,,,,8.0,1.3753207349826229,0.7370708288906289
31,support_gated_cnn_new,support_gated_cnn_new_width8,0.9004491031169891,973,30,809,1.0,1.0,0.07731741215582859,0.11722422835482627,0.5,1.0,0.6666666666666666,0.06666666666666667,0.9333333333333333,0.0,1.2206939429112935,,,,8.0,61.73001058251125,0.2825984387119652
32,traditional_support_scorecard,traditional_support_scorecard,0.5,972,31,0,0.0,,5.4536282707720945e-08,4.194323456834862e-05,0.0,0.0,0.0,0.0,1.0,0.0,-1.0485808642087155e-05,,,,,,
32,ridge,ridge_C0.3,0.9679283251445536,972,31,26,0.0,,0.036156301259171075,0.07018533649484737,0.0,0.0,0.0,0.03225806451612903,0.967741935483871,0.0,-0.017546334123711843,0.3,,,,,
32,ridge,ridge_C1,0.980626854345757,972,31,26,0.0,,0.03226444630005463,0.04602371591487472,0.0,0.0,0.0,0.03225806451612903,0.967741935483871,0.0,-0.01150592897871868,1.0,,,,,
32,ridge,ridge_C3,0.9880301391957071,972,31,26,0.0,,0.03195538941086603,0.03706470378588458,0.0,0.0,0.0,0.03225806451612903,0.967741935483871,0.0,-0.009266175946471144,3.0,,,,,
