target,label,threshold_fraction,traditional_template_mean_ns,traditional_template_ci95_low_ns,traditional_template_ci95_high_ns,train_template_mean_ns,train_template_ci95_low_ns,train_template_ci95_high_ns,empirical_mean_ns,empirical_ci95_low_ns,empirical_ci95_high_ns,ml_pred_mean_ns,ml_pred_ci95_low_ns,ml_pred_ci95_high_ns,ml_mean_mae_ns,ml_mean_r2,rescaled_Rmax_MHz,above_90ns_ci_low
5pct,5%,0.05,141.0557117938371,139.28981030804866,143.0064482474961,140.69217746156406,139.3338365588028,142.0913528604109,124.87810615613058,122.45116661746428,126.9794943168838,124.75498010671699,122.58570534070678,126.68675316632154,4.019799320644711,0.8840212513190387,2.6939710215733546,True
10pct,10%,0.1,124.79018394263471,123.31859604696439,126.32728819742027,124.31276321429486,123.15179952528094,125.50853328870411,123.25552601769233,120.53542596964655,125.69551318613851,123.21520754849443,120.71178001656618,125.60601483864372,4.16185060678477,0.8839928589969487,3.045111305987686,True
20pct,20%,0.2,101.86521002119034,100.89951608916716,102.83437417993805,101.2272754328811,100.39715766582972,102.10674367445328,119.0300244680748,115.32343772169574,122.71314184735245,119.1803543650311,115.60026358182817,122.47838357418016,4.228352460388814,0.8895180479068567,3.73041983539769,True
noise_floor,noise floor,0.006727491100764061,161.18335762759685,158.75714270350292,163.61004413343977,160.96001262749732,159.325928558601,162.66788895584196,120.37181019387364,116.50997606975383,123.74028562114542,120.29899988935708,117.03327510304403,123.22192231903927,7.151486322653677,0.8150978473339945,2.3575634953452456,True
