group,runs,current_nA,events_with_selected,multi_stave_per_selected_event,three_stave_per_selected_event,downstream_per_selected_event
low_2nA,46 47,2.0,5838,0.015587529976019185,0.0041109969167523125,0.023124357656731757
high_20nA,44 45 48 49 50 51 52 53 54 55 56 57,20.0,237295,0.026806295960723994,0.00853789586801239,0.03341410480625382
