method,delta_pid_auc_vs_traditional,delta_energy_sigma68_vs_traditional,delta_timing_sigma68_vs_traditional_ns,delta_winner_score_vs_traditional
template_residual_boosted_stack_new,0.14430742509769856,0.010397525730702184,-0.4070564007416726,-0.08700080805139807
gradient_boosted_trees,0.15557099435518873,0.016310803546122188,-0.4722389348573319,-0.08056479006620387
1d_cnn,0.04229266174554913,0.00900753820289607,-3.1246515688695817,-0.058256160475582186
ridge,0.07190620929222757,-0.004048981524250761,-0.7042706253661981,-0.05096093192581419
deltaE_over_E_likelihood_template,0.0,0.0,0.0,0.0
mlp,-0.02433347807207986,0.06170274614533838,-0.9031000730150396,0.008212705512800844
joint_sequence_transformer,-0.23907946157186288,0.046469307260063875,-0.7947678349450014,0.12434090584728269
