method,heldout_run,n_events,n_accepted,separation_efficiency,pid_auc,pid_balanced_accuracy,pid_confusion_tn,pid_confusion_fp,pid_confusion_fn,pid_confusion_tp,energy_bias_frac,energy_sigma68_frac,timing_bias_ns,timing_sigma68_ns,pileup_miss_rate,saturation_auc,unsaturated_auc,boundary_disagreement_rate
1d_cnn,58,96,39,0.40625,0.8299595141700404,0.7415654520917678,48,9,14,25,-0.1183930676215703,0.1613080618380437,13.500588116647766,3.8590944432667094,0.3333333333333333,0.7899999999999999,0.8513513513513513,0.11458333333333333
1d_cnn,60,96,48,0.5,0.7960069444444444,0.7083333333333333,38,10,18,30,-0.12756861987465415,0.2048639278814294,13.019390949600385,4.005792789828863,0.2708333333333333,0.7892156862745098,0.7728494623655914,0.09375
1d_cnn,62,96,40,0.4166666666666667,0.790273556231003,0.7205818497611811,38,9,18,31,-0.17703621996672003,0.20273862356559058,13.28508057753052,4.09066724883504,0.4166666666666667,0.7694235588972431,0.8227040816326531,0.10416666666666667
1d_cnn,64,96,47,0.4895833333333333,0.7089947089947088,0.6798941798941799,33,9,23,31,-0.1125405588157712,0.15833640937428345,12.103193217964764,5.121225516332741,0.3125,0.7946428571428572,0.6672932330827067,0.16666666666666666
1d_cnn,65,96,40,0.4166666666666667,0.825272331154684,0.7496732026143791,47,4,19,26,-0.1090620354036736,0.2140630150377999,13.121309017165833,4.937750540807113,0.3958333333333333,0.8429752066115703,0.8498985801217038,0.07291666666666667
deltaE_over_E_likelihood_template,58,96,25,0.2604166666666667,0.7917228969860549,0.7624831309041835,46,11,11,28,-0.1065126342121053,0.1417026361947769,11.01802889389537,8.875050298252836,0.5833333333333334,0.8133333333333334,0.778153153153153,0.0
deltaE_over_E_likelihood_template,60,96,26,0.2708333333333333,0.7178819444444445,0.7395833333333333,38,10,15,33,-0.1350979856413449,0.2381327286401708,11.901640936015616,6.108974370998384,0.5833333333333334,0.7083333333333333,0.6989247311827957,0.0
deltaE_over_E_likelihood_template,62,96,24,0.25,0.7416413373860182,0.6784628745115067,35,12,19,30,-0.12060484805425756,0.17341348843581997,10.080360631610422,7.91242953785948,0.6041666666666666,0.8170426065162908,0.6798469387755102,0.0
deltaE_over_E_likelihood_template,64,96,20,0.20833333333333334,0.7094356261022927,0.6931216931216931,31,11,19,35,-0.03453092527217915,0.14354953503274784,11.182931573351706,5.099441892066681,0.6666666666666666,0.8973214285714286,0.638157894736842,0.0
deltaE_over_E_likelihood_template,65,96,28,0.2916666666666667,0.7734204793028323,0.7607843137254902,47,4,18,27,-0.0737694317233681,0.1857132518202129,9.674142164342676,8.561850032445452,0.6041666666666666,0.859504132231405,0.7829614604462475,0.0
gradient_boosted_trees,58,96,37,0.3854166666666667,0.9361223571749888,0.8778677462887989,46,11,2,37,-0.0555737538477379,0.18420914893085225,13.631315984715863,8.014459742377856,0.3541666666666667,0.9533333333333333,0.9256756756756757,0.17708333333333334
gradient_boosted_trees,60,96,50,0.5208333333333334,0.9205729166666666,0.8541666666666667,39,9,5,43,-0.057391873487336806,0.2287735751444153,12.79715307480289,5.991761250956971,0.3125,0.9338235294117647,0.9018817204301075,0.17708333333333334
gradient_boosted_trees,62,96,41,0.4270833333333333,0.841511072514112,0.7600955275727312,35,12,11,38,-0.1244371429128229,0.19835334279900926,14.744768853131012,7.1152861024865075,0.3958333333333333,0.8646616541353385,0.8214285714285714,0.25
gradient_boosted_trees,64,96,40,0.4166666666666667,0.900352733686067,0.7883597883597884,32,10,10,44,-0.08808867215439305,0.15832032922647313,13.68029316896164,7.67246026023003,0.375,0.9107142857142858,0.8872180451127819,0.1875
gradient_boosted_trees,65,96,39,0.40625,0.922875816993464,0.8202614379084967,44,7,10,35,-0.078234348562873,0.21217898839108085,15.24939613165429,6.2854598644560555,0.375,0.9628099173553719,0.9127789046653144,0.23958333333333334
joint_sequence_transformer,58,96,35,0.3645833333333333,0.5290148448043185,0.5155195681511471,50,7,33,6,-0.0789163245101093,0.2435635125180704,13.89750706759646,6.105477521971807,0.3958333333333333,0.5700000000000001,0.5022522522522522,0.4166666666666667
joint_sequence_transformer,60,96,42,0.4375,0.4878472222222222,0.4479166666666667,40,8,45,3,-0.03241426818152405,0.27500745401511356,14.519258626238578,6.8757242602047075,0.3541666666666667,0.6102941176470589,0.4166666666666667,0.4583333333333333
joint_sequence_transformer,62,96,33,0.34375,0.5419018671298307,0.49739470256187585,41,6,43,6,-0.0589139734759518,0.21512670800510209,13.716660622527383,7.005839476450213,0.4791666666666667,0.4786967418546366,0.5918367346938775,0.3958333333333333
joint_sequence_transformer,64,96,37,0.3854166666666667,0.4369488536155203,0.4722222222222222,35,7,48,6,-0.0647347519747336,0.20321341849609245,12.881570075141996,5.74748867065597,0.3958333333333333,0.46875,0.4483082706766917,0.40625
joint_sequence_transformer,65,96,33,0.34375,0.5838779956427016,0.5594771241830065,48,3,37,8,-0.0737628151881071,0.20629811509421422,15.158312561305468,7.9106948159757735,0.4166666666666667,0.6115702479338843,0.5912778904665315,0.3125
mlp,58,96,39,0.40625,0.7377417903733693,0.6518218623481782,48,9,21,18,-0.0162502780562294,0.1838239486907814,13.679964625424908,5.185974854740172,0.375,0.78,0.7297297297297297,0.16666666666666666
mlp,60,96,45,0.46875,0.6927083333333334,0.6041666666666666,38,10,28,20,-0.049541845308343,0.26082695575345977,11.339712542184104,5.343920640535041,0.3958333333333333,0.7156862745098039,0.6532258064516129,0.15625
mlp,62,96,42,0.4375,0.7750759878419452,0.7010421189752496,40,7,22,27,-0.1378704597886847,0.2750218646958965,14.326109039248715,7.052019687747249,0.4791666666666667,0.8270676691729323,0.7410714285714286,0.125
mlp,64,96,44,0.4583333333333333,0.671957671957672,0.6243386243386243,33,9,29,25,-0.07962982264273445,0.2085252746962098,11.438186708542599,8.240500523573857,0.3125,0.8571428571428571,0.6109022556390977,0.14583333333333334
mlp,65,96,43,0.4479166666666667,0.7690631808278867,0.7483660130718954,48,3,20,25,-0.1453762227670292,0.24540460572901718,15.28040828316427,8.150249724808212,0.375,0.8223140495867769,0.7910750507099391,0.13541666666666666
ridge,58,96,44,0.4583333333333333,0.8529014844804319,0.763157894736842,49,8,13,26,-0.0895214546491103,0.17427324221583135,12.624624710341141,8.625949614133972,0.2916666666666667,0.8233333333333333,0.8716216216216216,0.09375
ridge,60,96,45,0.46875,0.7764756944444444,0.6979166666666667,37,11,18,30,-0.0756863971310123,0.21442733737802883,11.478584644478538,4.935477202062845,0.3541666666666667,0.7303921568627451,0.7647849462365592,0.08333333333333333
ridge,62,96,40,0.4166666666666667,0.8102475032566218,0.7312201476335215,39,8,18,31,-0.10784845575951024,0.18037220734826628,14.432632445832686,6.363222341698502,0.4375,0.8145363408521303,0.8150510204081632,0.11458333333333333
ridge,64,96,40,0.4166666666666667,0.8121693121693121,0.7288359788359788,34,8,19,35,-0.12068275924359925,0.14721136181388353,13.169834217134333,5.663816435027984,0.3125,0.9553571428571429,0.7443609022556391,0.13541666666666666
ridge,65,96,38,0.3958333333333333,0.8557734204793028,0.7483660130718954,48,3,20,25,-0.1363244025389333,0.19595457504005784,13.300821712147634,8.144290666543245,0.4375,0.8925619834710743,0.8691683569979715,0.11458333333333333
template_residual_boosted_stack_new,58,96,42,0.4375,0.9118308591992802,0.8650472334682862,46,11,3,36,-0.058737618594545404,0.20589421419991125,13.22317714814379,7.914595383090976,0.2708333333333333,0.9466666666666667,0.8963963963963963,0.1875
template_residual_boosted_stack_new,60,96,49,0.5104166666666666,0.9014756944444445,0.8854166666666667,39,9,2,46,-0.0899921428431365,0.21945089566728024,13.965003718712838,6.4070831917856275,0.2916666666666667,0.9240196078431372,0.8803763440860215,0.1875
template_residual_boosted_stack_new,62,96,41,0.4270833333333333,0.8423795049934868,0.7805036908380374,35,12,9,40,-0.1120277388379885,0.1889163521238775,15.288067986446906,7.101059888712203,0.3541666666666667,0.8596491228070176,0.8278061224489797,0.1875
template_residual_boosted_stack_new,64,96,43,0.4479166666666667,0.900352733686067,0.794973544973545,31,11,8,46,-0.0864316026746257,0.1531354018943266,12.589141057585366,5.969046818974311,0.2916666666666667,0.9151785714285713,0.887218045112782,0.19791666666666666
template_residual_boosted_stack_new,65,96,42,0.4375,0.9137254901960785,0.8313725490196079,44,7,9,36,-0.09062494871363524,0.24355043866816728,14.784366333400584,6.288086021494568,0.3541666666666667,0.9504132231404958,0.9006085192697768,0.22916666666666666
