run,events_total,events_with_selected,selected_pulses,B2,B4,B6,B8,root_path,root_sha256,s00_table_selected_pulses,delta_vs_s00_table
31,39990,27078,27871,26948,592,237,94,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0031.root,9921aa75c062d0b8994573299a201cbe2725673319fdf1b8cffb711fb9adcea7,27871,0
32,41921,27461,28240,27316,605,224,95,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0032.root,649983bf173352b638bf57c099dc92741b70483feba8981172b26319fc9047ff,28240,0
33,57173,47911,48737,47724,559,318,136,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0033.root,1b8f1dcda0e53b8c7b702f00801555f6d317a87bed8efef6d228b49146dbf973,48737,0
34,39765,33500,34118,33373,412,244,89,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0034.root,69ef29a8d879aaa908ab4a076c82b3d10ac7b3e2622e491e017eb368290bdf51,34118,0
35,27786,11141,11667,11029,403,163,72,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0035.root,a6e08e36ab103e76b53741b55ea7cd3e648d1800508d6144b96ab80820e156ea,11667,0
36,21764,9930,10391,9847,340,143,61,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0036.root,1160bee157e233eb63421597b415f1aaf4dea2c1e7e4a804836c487704852fee,10391,0
37,50513,23174,24537,22956,997,423,161,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0037.root,6bcebe85c0b1e38a42cc326cbcdc2107ccaee877372bffd537ce71baa1b22fd3,24537,0
39,30321,13329,14218,13174,663,273,108,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0039.root,b875c8d45a62a39933d7d4648518040a645629e6fb60c9111a7d05c4d982c568,14218,0
40,32613,13763,14708,13575,707,310,116,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0040.root,0d4ebb2f14673aea000c454fd8a4be2c56d6028c31e26a82c1ecd85578128f17,14708,0
41,33997,15140,16146,14963,758,298,127,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0041.root,72f7a53810bcc4858c2d56e64bdc3bcbb94b9f8e34d35b79c202a77328eb8010,16146,0
42,33972,17132,18112,16977,711,307,117,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0042.root,b941a6a777414912a0db865a87f68370accf916348340d2249972018f2e61898,18112,0
44,4294,1912,2038,1884,93,44,17,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0044.root,0ac6d667ebf7c1b47d037dde649e5977cdc6012d80abb6a311516bc67d03ad50,2038,0
45,48181,23013,24333,22786,969,401,177,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0045.root,b7bf2921edc3f776390cf50efe6901cb99f9807d7ae04ab5d8925348b74eb96b,24333,0
46,1441,677,687,675,7,3,2,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0046.root,7a1f8b5c0e478739401425f3e80bb5469433064137ccbd30266f8e42da135bf3,687,0
47,10970,5161,5276,5116,85,50,25,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0047.root,f73d9328de01147826d0c142caa38baa7d6577ce88b6c6566b57039919015bc3,5276,0
48,31713,13185,14000,13044,599,245,112,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0048.root,73de7b2c54394585869fce573aeeae1075af130741524484dd79a6823183eaf8,14000,0
49,32354,13937,14815,13779,640,281,115,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0049.root,78de20d813d501dfc9881ec9ee7e8297a9c26929d6ed71400238ca4f29664744,14815,0
50,44804,34257,35217,34088,659,330,140,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0050.root,5fa46e1f0ab4eb605501ccf952bfca46eb46be2dffd66672beadd01305dfe799,35217,0
51,20569,14295,14740,14200,303,177,60,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0051.root,6ffc099d12f495df759033caef8c53c05aa24acada928392afe796f3a72c011e,14740,0
52,10005,6933,7152,6893,148,76,35,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0052.root,3305bb0a1604afe6c83783d0e5d576d729c217c203eedf3bc44f304dab5fe0af,7152,0
53,39612,31386,32200,31225,559,296,120,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0053.root,62307716ee4b31dc7ab0b114401e684508d6f18beb59721a50a9aeddf4feb43c,32200,0
54,37413,29665,30440,29493,536,298,113,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0054.root,445650d124d7758e8d3a69d2c3e215e9b95f3acccc213fd9c14bbabacc763e5c,30440,0
55,24416,16841,17387,16735,372,199,81,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0055.root,134da5c9a3acb056d5bbed66f057110c506c43d3e0524936906002e56d74007c,17387,0
56,51823,38932,40148,38730,825,421,172,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0056.root,4f99f5168a4c02c6d6c2984a53ce979dbfce7ce2790fed220d6957194135d3cb,40148,0
57,31284,12939,13833,12774,656,273,130,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0057.root,ed7c738068ecb1f6b71ce76da170fc280262a84571fe2ba6129e5015b0b4de16,13833,0
58,34141,15920,16781,15791,591,285,114,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0058.root,d2324f6ffa4c05b387c18ff8b48b8589592a1bb9e30d9b3c67d7f5f3f1fe39a1,16781,0
59,42303,13863,21377,13565,4527,2366,919,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0059.root,64fced477c9c45f9726cde0d466c15a6d776b8bb1b22a0043510dc73c884ae0e,21377,0
60,36074,10140,17029,9873,4040,2189,927,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0060.root,f466b5af260d9fadba426280f6313bac1381c1441c569c7094a8a9d61373030d,17029,0
61,36535,11287,18965,11015,4401,2490,1059,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0061.root,c57d1f18f79f11fb0d3a0bbbf42f978cff1ec704dc08337c600c17354099d61d,18965,0
62,37584,11912,19089,11635,4183,2342,929,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0062.root,2530c56acb462473c6b5c316c0689491ec044f01a8c623624eebafbd271fdfbe,19089,0
63,37030,14781,18817,14566,2645,1153,453,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0063.root,3fd42501e2c53a914b535616bc7bb7b8fb5554cd4f46d890023db6877a720a53,18817,0
64,35943,12103,14630,11907,1689,763,271,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0064.root,e6661362dc89d934f42d1fa177bcb99e9c89e294b2f157a09ec1df4e50c89252,14630,0
65,38424,11904,13038,11768,842,323,105,/home/billy/ccb-data/data/extracted/root/root/hrdb_run_0065.root,fd443fd416e8e64b25f4358754c1cc7042a8c3b61c5a13fd82276873807e07bb,13038,0
