variant,hidden,weight_decay,fold,sigma68_ns,n_pair_residuals,pred_sigma_median_ns,n_features
waveform_only,16,0.001,0,1.9206465748869552,3018,1.9293742775917053,18
waveform_only,16,0.001,1,1.4281072428577863,3534,2.2055383920669556,18
waveform_only,16,0.001,2,1.4833949050747255,4710,2.1716678142547607,18
waveform_only,16,0.001,-1,1.6107162409398221,0,,18
waveform_only,16,0.01,0,1.9191384128653184,3018,1.9272844791412354,18
waveform_only,16,0.01,1,1.4285158843963452,3534,2.2055174112319946,18
waveform_only,16,0.01,2,1.4840007175965462,4710,2.173043131828308,18
waveform_only,16,0.01,-1,1.6105516716194035,0,,18
waveform_only,32,0.001,0,1.9017536555650514,3018,1.7933637499809265,18
waveform_only,32,0.001,1,1.5605007690589359,3534,2.118894100189209,18
waveform_only,32,0.001,2,1.48469732855781,4710,2.1268755197525024,18
waveform_only,32,0.001,-1,1.6489839177272658,0,,18
waveform_only,32,0.01,0,1.9019881609464226,3018,1.7929975986480713,18
waveform_only,32,0.01,1,1.560753334642284,3534,2.120277762413025,18
waveform_only,32,0.01,2,1.4808025973091636,4710,2.1284334659576416,18
waveform_only,32,0.01,-1,1.6478480309659567,0,,18
waveform_stave_onehot,16,0.001,0,1.2481706209697732,3018,1.4198392033576965,21
waveform_stave_onehot,16,0.001,1,1.368554228535711,3534,1.5204824805259705,21
waveform_stave_onehot,16,0.001,2,1.2527679893237746,4710,1.4391314387321472,21
waveform_stave_onehot,16,0.001,-1,1.2898309462764195,0,,21
waveform_stave_onehot,16,0.01,0,1.2228784115522757,3018,1.4200621247291565,21
waveform_stave_onehot,16,0.01,1,1.3664827280021097,3534,1.5211395025253296,21
waveform_stave_onehot,16,0.01,2,1.2489406175900328,4710,1.4419875144958496,21
waveform_stave_onehot,16,0.01,-1,1.2794339190481392,0,,21
waveform_stave_onehot,32,0.001,0,1.1661463589764434,3018,1.3728180527687073,21
waveform_stave_onehot,32,0.001,1,1.2216169065012317,3534,1.4879871010780334,21
waveform_stave_onehot,32,0.001,2,1.2322134029430232,4710,1.4991208910942078,21
waveform_stave_onehot,32,0.001,-1,1.2066588894735661,0,,21
waveform_stave_onehot,32,0.01,0,1.1684533555579248,3018,1.3725209832191467,21
waveform_stave_onehot,32,0.01,1,1.2267058353567581,3534,1.473704755306244,21
waveform_stave_onehot,32,0.01,2,1.23225334590661,4710,1.49973464012146,21
waveform_stave_onehot,32,0.01,-1,1.2091375122737642,0,,21
waveform_amp_shape,16,0.001,0,1.6594012972215344,3018,1.8139026761054993,29
waveform_amp_shape,16,0.001,1,1.510092716761975,3534,1.933816909790039,29
waveform_amp_shape,16,0.001,2,1.549134931758309,4710,1.9451012015342712,29
waveform_amp_shape,16,0.001,-1,1.572876315247273,0,,29
waveform_amp_shape,16,0.01,0,1.658141452395346,3018,1.814231514930725,29
waveform_amp_shape,16,0.01,1,1.510650597188493,3534,1.936084508895874,29
waveform_amp_shape,16,0.01,2,1.5538248387656508,4710,1.945390522480011,29
waveform_amp_shape,16,0.01,-1,1.5742056294498301,0,,29
waveform_amp_shape,32,0.001,0,1.4185700714217135,3018,1.6674119234085083,29
waveform_amp_shape,32,0.001,1,1.4097372774260462,3534,1.822108268737793,29
waveform_amp_shape,32,0.001,2,1.5052228111486265,4710,1.8273563385009766,29
waveform_amp_shape,32,0.001,-1,1.444510053332129,0,,29
waveform_amp_shape,32,0.01,0,1.4267210310130969,3018,1.666702687740326,29
waveform_amp_shape,32,0.01,1,1.403729253571936,3534,1.8186962008476257,29
waveform_amp_shape,32,0.01,2,1.504100996098529,4710,1.8284812569618225,29
waveform_amp_shape,32,0.01,-1,1.4448504268945206,0,,29
waveform_amp_shape_stave,16,0.001,0,1.1503600084561136,3018,1.3552544116973877,32
waveform_amp_shape_stave,16,0.001,1,1.2477056143949947,3534,1.4603039622306824,32
waveform_amp_shape_stave,16,0.001,2,1.2421990486249108,4710,1.3748231530189514,32
waveform_amp_shape_stave,16,0.001,-1,1.213421557158673,0,,32
waveform_amp_shape_stave,16,0.01,0,1.1522123083553146,3018,1.3527112007141113,32
waveform_amp_shape_stave,16,0.01,1,1.2484977698745785,3534,1.4599952101707458,32
waveform_amp_shape_stave,16,0.01,2,1.2344475930274263,4710,1.3755406141281128,32
waveform_amp_shape_stave,16,0.01,-1,1.21171922375244,0,,32
waveform_amp_shape_stave,32,0.001,0,1.117689512139418,3018,1.2731783986091614,32
waveform_amp_shape_stave,32,0.001,1,1.2159514204628223,3534,1.3883997201919556,32
waveform_amp_shape_stave,32,0.001,2,1.1641454789404935,4710,1.3217726945877075,32
waveform_amp_shape_stave,32,0.001,-1,1.165928803847578,0,,32
waveform_amp_shape_stave,32,0.01,0,1.1209512404804023,3018,1.2740685939788818,32
waveform_amp_shape_stave,32,0.01,1,1.2246676154033072,3534,1.394164502620697,32
waveform_amp_shape_stave,32,0.01,2,1.153135622106518,4710,1.3231555819511414,32
waveform_amp_shape_stave,32,0.01,-1,1.1662514926634093,0,,32
