method,n,pred_mean_ns,target_mean_ns
analytic_timewalk,29,-4.250210307201894,-4.425157590074198
analytic_timewalk,28,-4.048613413759268,-4.3620418265274035
analytic_timewalk,28,-0.3723396828620794,-0.31142545866736654
analytic_timewalk,28,1.7255811470452562,2.1634571529030944
analytic_timewalk,28,2.0133201961305542,2.2206480788115512
analytic_timewalk,28,2.5126739354037757,2.4337956222234722
analytic_timewalk,29,2.614706738711923,2.354670006459925
ml_ridge_on_template_phase,29,-4.354802498574984,-4.744123107315584
ml_ridge_on_template_phase,28,-3.865810520514161,-4.165613255098828
ml_ridge_on_template_phase,28,-0.13963036114483168,0.12607454133263854
ml_ridge_on_template_phase,28,1.7428259784128142,2.169869038756077
ml_ridge_on_template_phase,28,2.183035337879034,1.986264239033463
ml_ridge_on_template_phase,28,2.5069392731380513,2.141118044775483
ml_ridge_on_template_phase,29,3.067025981876034,2.564262657440842
