alpha,fold,sigma68_ns,n_pair_residuals
0.01,0,2.3322694648578532,3018
0.01,1,1.849840406472277,3534
0.01,2,1.9421578555212688,4710
0.01,-1,2.041422575617133,0
0.1,0,2.3306875105329934,3018
0.1,1,1.8489444770101298,3534
0.1,2,1.9418921699952267,4710
0.1,-1,2.0405080525127834,0
1.0,0,2.3283899110813753,3018
1.0,1,1.844800187281031,3534
1.0,2,1.942528178285319,4710
1.0,-1,2.0385727588825753,0
10.0,0,2.3043583523022337,3018
10.0,1,1.839820539816819,3534
10.0,2,1.9369122934048923,4710
10.0,-1,2.0270303951746484,0
100.0,0,2.232618930319321,3018
100.0,1,1.817061638077665,3534
100.0,2,1.8791014950428426,4710
100.0,-1,1.9762606878132762,0
