method,pseudo_run,roc_auc,average_precision,balanced_accuracy,error_rate,n_events,n_deuteron
1d_cnn,0,1.0,0.9999999999999999,1.0,0.0,347.0,170.0
1d_cnn,1,1.0,1.0,1.0,0.0,332.0,169.0
1d_cnn,2,1.0,1.0,0.9953271028037383,0.005154639175257732,388.0,214.0
1d_cnn,3,1.0,1.0,1.0,0.0,350.0,164.0
1d_cnn,4,1.0,1.0,1.0,0.0,372.0,186.0
1d_cnn,5,1.0,1.0,1.0,0.0,326.0,176.0
1d_cnn,6,1.0,1.0,1.0,0.0,327.0,165.0
1d_cnn,7,1.0,1.0,1.0,0.0,345.0,158.0
1d_cnn,8,1.0,1.0,1.0,0.0,335.0,172.0
1d_cnn,9,0.9939713380184649,0.9778052415791336,0.9969512195121951,0.002932551319648094,341.0,177.0
1d_cnn,10,1.0,1.0,0.9970760233918128,0.0029850746268656717,335.0,164.0
1d_cnn,11,1.0,0.9999999999999999,1.0,0.0,349.0,170.0
1d_cnn,12,1.0,1.0,1.0,0.0,372.0,190.0
1d_cnn,13,0.9993651642219921,0.999337862174612,0.9942196531791907,0.005780346820809248,346.0,173.0
1d_cnn,14,1.0,0.9999999999999998,1.0,0.0,359.0,177.0
1d_cnn,15,1.0,1.0,1.0,0.0,369.0,188.0
1d_cnn,16,1.0,1.0,0.9967532467532467,0.0030581039755351682,327.0,173.0
1d_cnn,17,1.0,1.0000000000000004,1.0,0.0,343.0,173.0
1d_cnn,18,1.0,1.0000000000000002,1.0,0.0,367.0,184.0
1d_cnn,19,1.0,1.0,0.9975247524752475,0.002898550724637681,345.0,143.0
1d_cnn,20,1.0,1.0,0.9973684210526316,0.002652519893899204,377.0,187.0
1d_cnn,21,1.0,0.9999999999999999,1.0,0.0,332.0,154.0
1d_cnn,22,1.0,1.0,1.0,0.0,384.0,188.0
1d_cnn,23,1.0,0.9999999999999999,1.0,0.0,340.0,198.0
1d_cnn,24,1.0,0.9999999999999999,1.0,0.0,340.0,170.0
1d_cnn,25,1.0,1.0,1.0,0.0,329.0,153.0
