study,mandated_label,closure_status,finding,blocker,downstream_action,rationale
MV0-gain,CORRECTED/BLOCKED,CORRECTED,A-001,BLOCKED_COMPUTE,Re-derive gain from the v1 pulse contract.,92 ADC/MeV derived from a pulse amplitude that was baseline-subtracted twice (pulse-table double subtraction). Value invalid until the table is regenerated under docs/contracts/PULSE_TABLE_CONTRACT.md.
MV1,MC_TRUTH_ONLY_REAUDIT,FAILED_INFORMATIVE,A-003,BLOCKED_EXTERNAL,Reweight per docs/contracts/MC_WEIGHT_POLICY.md; publish ESS.,"MC weight (PrimaryWeight) ignored, so distributions are unweighted truth, not physical production. Reclassify as truth-only until reweighted."
MV3-stopping,FAIL_DIAGNOSTIC,FAILED_INFORMATIVE,A-004,BLOCKED_COMPUTE,"Fix mapping (geometry contract), re-run weighted with material budget.",Stopping-depth data/MC comparison used a thresholded amplitude and an unresolved layer->stave mapping. Not a closure; a diagnostic only.
MV4-timing,TOY_DIAGNOSTIC,FAILED_INFORMATIVE,A-007,BLOCKED_COMPUTE,Load v2 gain + anchors from result files; add slicing/metrics; re-run.,Timing 1/A correction uses a hard-coded 246 ADC/MeV gain and hard-coded data anchors/uncertainties instead of loading v2 calibration + result files. Toy until re-run with real calibration.
MV5-pileup,SELF_CONSISTENCY_ONLY,FAILED_INFORMATIVE,A-006,BLOCKED_COMPUTE,Rebuild an independent pile-up validation consistent with CFD20.,Inserts the measured tau_eff=124.8 ns and the same 0.38 factor into the capacity equation and uses fixed-threshold leading-edge theory while the code applies CFD20. Not an independent MC validation.
MV6-C12anomaly,MC_HYPOTHESIS_TENSION,FAILED_INFORMATIVE,A-009,BLOCKED_EXTERNAL,State as MC hypothesis with tension; do not claim data-anomaly identity.,"C12 early-peak identity overclaimed: MC predicts ~0.32% early-peak fraction vs ~4% in data, with radically different saturation fractions. C12 dominance in one MC-selected class is a hypothesis, not data closure."
DeltaE-E-eventno-outputs,INVALID_PENDING_RERUN,FAILED_INFORMATIVE,A-002,BLOCKED_EXTERNAL,Re-run with scripts/single_stave/deltaE_E.py (composite key + thresholds).,"Prior ΔE–E outputs joined data on eventno alone (cross-run collisions), ignored declared thresholds, used unseeded sampling, and defined stopping as any-deposit. Invalid until re-run with the composite-key module."
