method,gate,n_pairs,n_events,baseline_efficiency_abs5,method_efficiency,efficiency_delta,baseline_sigma68_selected_ns,method_sigma68_selected_ns,charge_support_tvd,current_proxy_tvd,topology_support_tvd,run_family_tvd,late_peak_fraction_delta,low_charge_fraction_delta,support_drift_max,method_efficiency_ci_low,method_efficiency_ci_high,efficiency_delta_ci_low,efficiency_delta_ci_high,method_sigma68_selected_ns_ci_low,method_sigma68_selected_ns_ci_high,charge_support_tvd_ci_low,charge_support_tvd_ci_high,current_proxy_tvd_ci_low,current_proxy_tvd_ci_high,topology_support_tvd_ci_low,topology_support_tvd_ci_high,run_family_tvd_ci_low,run_family_tvd_ci_high,late_peak_fraction_delta_ci_low,late_peak_fraction_delta_ci_high,low_charge_fraction_delta_ci_low,low_charge_fraction_delta_ci_high,support_drift_max_ci_low,support_drift_max_ci_high
traditional_atom_slope,absolute_abs5,11460,3820,0.7820244328097731,0.9863874345549738,0.20436300174520072,2.6576933781991228,1.3190918387864994,0.007063795189028863,0.005821386611047669,0.08714768086627614,0.01851832767841195,0.03722866682681447,0.004415572836982698,0.08714768086627614,0.9825167267994154,0.9905630723409244,0.1746421514332328,0.24285831253898932,1.274034701581243,1.3791282287509978,0.003975373983596768,0.016842538664273394,0.002433963168618475,0.01667841333208827,0.07189595752302115,0.10842828934554423,0.0037060145003369187,0.030106319951479492,0.030511739778835232,0.046373442910825846,0.0014033256005892536,0.0073974567543674844,0.07189595752302115,0.10842828934554423
ridge,absolute_abs5,11460,3820,0.7820244328097731,0.962914485165794,0.18089005235602096,2.6576933781991228,1.7402111562588913,0.012101904967123458,0.007144013484109049,0.08740446371413427,0.022825963967886574,0.044921329720502445,0.007663449774899141,0.08740446371413427,0.9513531256599626,0.9738240525849442,0.13834276408069127,0.22130120897306235,1.6208873089991582,1.8904179545041255,0.006768596444197849,0.021016540909113944,0.002320119982508473,0.01969317434272584,0.06897860157653753,0.10616397017786937,0.003436062503056154,0.03629148879631506,0.036753892663899855,0.05523035359177091,0.0038775823837435748,0.012195285756133226,0.06897860157653753,0.10616397017786937
gradient_boosted_trees,absolute_abs5,11460,3820,0.7820244328097731,0.987696335078534,0.20567190226876098,2.6576933781991228,1.1191200747366403,0.006864609354031797,0.0057767441642214284,0.08768022492865254,0.018575795450035452,0.03760822141149056,0.004392055833743871,0.08768022492865254,0.9827471471187302,0.992441153028361,0.17236465758461153,0.23817241762585892,1.0801391157464253,1.1659541815094154,0.003882865441481574,0.015950416808976964,0.002215349446086886,0.017452086244818366,0.07051912352336738,0.10606770707808022,0.002890072031994642,0.031132925818319335,0.03065976493602588,0.04522126661405584,0.001349657933906048,0.007043692263498288,0.07051912352336738,0.10606770707808022
mlp,absolute_abs5,11460,3820,0.7820244328097731,0.981064572425829,0.19904013961605593,2.6576933781991228,1.3207615076580002,0.007660061457467055,0.006490388236907965,0.08773056301063661,0.018355421746414125,0.03621430601575637,0.004772758205889439,0.08773056301063661,0.9762573830558842,0.9855650769604095,0.1665654222986072,0.23234699394195502,1.2606582596105205,1.366168772876983,0.003931870975197675,0.017170318343081522,0.0030353736692313427,0.018302672153059855,0.07122163719531631,0.1074806815207607,0.003325946577529799,0.030911908431495612,0.02940613469487107,0.044395237005084215,0.001269196380634282,0.007902036487662169,0.07122163719531631,0.1074806815207607
cnn1d,absolute_abs5,11460,3820,0.7820244328097731,0.9522687609075043,0.17024432809773127,2.6576933781991228,2.48279595289841,0.007619656738972993,0.00734602310910748,0.10372793254997484,0.018870587775302566,0.030271791342015963,0.00394567383717926,0.10372793254997484,0.9470583654022356,0.9577108947701237,0.13589651667194602,0.20498105883938098,2.334887554771355,2.641926442571125,0.0037934919280183076,0.01848142717568513,0.0025934639830630583,0.018966599213336856,0.08954589108590122,0.12260271767249593,0.0027540519091200505,0.03189913343035191,0.02330324339009824,0.0382956028617015,0.0009229237129268969,0.007521358828162117,0.08954589108590122,0.12260271767249593
siamese_cnn_meta,absolute_abs5,11460,3820,0.7820244328097731,0.9870855148342059,0.20506108202443285,2.6576933781991228,1.0919880950837075,0.007271567331120216,0.005644332963917767,0.08764993764336423,0.018425233746634767,0.03729567193496852,0.004361768548455575,0.08764993764336423,0.9822931248385779,0.992169465878476,0.1738149810288202,0.24206372880789448,1.0501438020619343,1.1421565187293348,0.003936509114340606,0.016267382425023187,0.0023308311166480773,0.0165094112680513,0.07144664925861406,0.10764592699853698,0.004106817527621829,0.0313207050676048,0.030464375598453327,0.04582793893300494,0.0018043505388488296,0.0071822514788326625,0.07144664925861406,0.10764592699853698
traditional_atom_slope,fixed_eff_abs5_trainmatched,11460,3820,0.7820244328097731,0.7799301919720768,-0.0020942408376962707,2.6576933781991228,0.9715248766849464,0.026857587060235763,0.008376457741143095,0.06890399078898504,0.026595971783901086,0.038132985751380355,0.011380614073323886,0.06890399078898504,0.75100493156357,0.8051050583173288,-0.04968289138255539,0.04010213821163012,0.937699107268046,1.0071134919104046,0.02177397667037255,0.03655411964363789,0.002966160475084121,0.024223765017841792,0.05081920918298873,0.08457401570892287,0.003108031806861188,0.04043066033366544,0.03239146813790978,0.04539513628133815,0.007564859002650123,0.016365892823802023,0.05081920918298873,0.08457401570892287
ridge,fixed_eff_abs5_trainmatched,11460,3820,0.7820244328097731,0.7780104712041885,-0.004013961605584537,2.6576933781991228,1.3048017478417244,0.022758045559792925,0.010178162139952054,0.08642579821346277,0.04857401506525384,0.05980026929914639,0.011501405315439327,0.08642579821346277,0.7222522473249223,0.8231626945313524,-0.08852943291100943,0.0682104862395723,1.265691443154655,1.3654438398709132,0.013716009774969316,0.03324159505527702,0.0034263457052534853,0.026509844357102484,0.0658726354161516,0.10660447711293189,0.006823618216680204,0.07405595553192683,0.04584881842394992,0.0742552285245645,0.0077130111856145295,0.016660111284811315,0.0683839694236172,0.10660447711293189
gradient_boosted_trees,fixed_eff_abs5_trainmatched,11460,3820,0.7820244328097731,0.7812390924956369,-0.0007853403141361293,2.6576933781991228,0.8000079440164077,0.015723212043912124,0.00786895925766519,0.061363911061941084,0.025969110976105145,0.0007469267275984626,0.004637548667515173,0.061363911061941084,0.7584816574171348,0.7984754012216648,-0.05023337428723926,0.03372998504907272,0.7705100241518404,0.8286460505090337,0.00646586759999368,0.026744119578889593,0.0028137204210630607,0.020925177457367505,0.04449792881916215,0.0777579306145104,0.0027170012784486722,0.037450105254441986,0.00017097800324075157,0.010321930547546045,0.00037355919655556076,0.009573823163335233,0.04449792881916215,0.0777579306145104
mlp,fixed_eff_abs5_trainmatched,11460,3820,0.7820244328097731,0.7801047120418848,-0.0019197207678882666,2.6576933781991228,0.9497813808323555,0.011200360258351572,0.006422568668007625,0.06875934532430489,0.028927981779394693,0.012231160450263068,0.006132729441285026,0.06875934532430489,0.7592033109917146,0.8090512368460624,-0.04559885694276531,0.04762040746005764,0.9269615085253714,0.9830574898697622,0.0058535520322281105,0.020945253290735957,0.0032688059785545447,0.02150610299491262,0.05487982004204719,0.08818929175141546,0.006778799073981058,0.04130157953512689,0.004365211316314036,0.020663682823249804,0.0016510027537324677,0.011393730956967309,0.05487982004204719,0.08818929175141546
