heldout_run,method,train_runs,n_train_events,n_heldout_events,n_heldout_tail_events,threshold,score_auc,tail_capture_efficiency,clean_keep_efficiency,precision,veto_fraction,kept_pair_sigma68_ns,kept_tail_frac_abs_gt5ns,n_kept_pair_residuals,n_kept_events,tp,fp,tn,fn,tail_capture_efficiency_ci_low,tail_capture_efficiency_ci_high,veto_fraction_ci_low,veto_fraction_ci_high,precision_ci_low,precision_ci_high,kept_pair_sigma68_ns_ci_low,kept_pair_sigma68_ns_ci_high,kept_tail_frac_abs_gt5ns_ci_low,kept_tail_frac_abs_gt5ns_ci_high
58,no_veto_s02b_timewalk,59 60 61 62 63 65,3702,72,3,,,0.0,1.0,0.0,0.0,1.522538475605387,0.027777777777777776,216,72,,,,,,,,,,,,,,
58,traditional_proxy_threshold_veto,59 60 61 62 63 65,3702,72,3,9.67706532515871,0.6038647342995169,0.3333333333333333,0.7971014492753623,0.06666666666666667,0.20833333333333334,1.3661565556471826,0.023391812865497075,171,57,1.0,14.0,55.0,2.0,0.0,1.0,0.1111111111111111,0.3055555555555556,0.0,0.23076923076923078,1.112815987246408,1.7620096853106382,0.0,0.06175751222921031
58,ml_logistic_proxy_veto,59 60 61 62 63 65,3702,72,3,0.5047410155380773,0.8115942028985508,0.3333333333333333,0.8260869565217391,0.07692307692307693,0.18055555555555555,1.4669678665251336,0.022598870056497175,177,59,1.0,12.0,57.0,2.0,0.0,1.0,0.1107638888888889,0.2777777777777778,0.0,0.26666666666666666,1.2702720075656666,1.7681014857414077,0.0,0.05747126436781609
58,ml_shuffled_label_control,59 60 61 62 63 65,3702,72,3,0.5157052787600702,0.3526570048309179,0.0,0.7681159420289855,0.0,0.2222222222222222,1.5721675462288345,0.03571428571428571,168,56,0.0,16.0,53.0,3.0,0.0,0.0,0.1388888888888889,0.3194444444444444,0.0,0.0,1.3115857074085904,1.963829747576251,0.0,0.07777777777777778
59,no_veto_s02b_timewalk,58 60 61 62 63 65,3025,749,18,,,0.0,1.0,0.0,0.0,1.597364804276158,0.013796172674677348,2247,749,,,,,,,,,,,,,,
59,traditional_proxy_threshold_veto,58 60 61 62 63 65,3025,749,18,9.388532943673711,0.4464204286365709,0.3333333333333333,0.6853625170998632,0.025423728813559324,0.315086782376502,1.6350833430756255,0.011695906432748537,1539,513,6.0,230.0,501.0,12.0,0.11764705882352941,0.55,0.28034045393858475,0.348497997329773,0.008195884911341586,0.04588510819494444,1.5561675429454909,1.7315227297873392,0.005542862450078945,0.019453019486783713
59,ml_logistic_proxy_veto,58 60 61 62 63 65,3025,749,18,0.5079678148533278,0.5693874449004408,0.3888888888888889,0.7058823529411765,0.03153153153153153,0.2963951935914553,1.6409793947919662,0.010120177103099304,1581,527,7.0,215.0,516.0,11.0,0.14285714285714285,0.6002777777777775,0.2643524699599466,0.32977303070761016,0.009614234449760766,0.055820473810041286,1.589129195626095,1.679985962885476,0.0044436042848141144,0.017212565611227176
59,ml_shuffled_label_control,58 60 61 62 63 65,3025,749,18,0.5384906092658427,0.5858793129654962,0.2777777777777778,0.7674418604651163,0.02857142857142857,0.2336448598130841,1.6418330773300531,0.011614401858304297,1722,574,5.0,170.0,561.0,13.0,0.058823529411764705,0.5,0.205607476635514,0.2630173564753004,0.005431188175753394,0.05422508214676889,1.5849236087518952,1.688547412094369,0.005766763679971633,0.01874696341704805
60,no_veto_s02b_timewalk,58 59 61 62 63 65,2972,802,19,,,0.0,1.0,0.0,0.0,1.4867232716512104,0.012884455527847049,2406,802,,,,,,,,,,,,,,
60,traditional_proxy_threshold_veto,58 59 61 62 63 65,2972,802,19,9.696635796373158,0.5212744504940512,0.15789473684210525,0.7586206896551724,0.015625,0.23940149625935161,1.4427891507517614,0.01366120218579235,1830,610,3.0,189.0,594.0,16.0,0.0,0.35294117647058826,0.20947630922693267,0.27057356608478805,0.0,0.03615719422191382,1.3844924080071546,1.5047405207604574,0.007244874660513856,0.02002574110286876
60,ml_logistic_proxy_veto,58 59 61 62 63 65,2972,802,19,0.48812458503122386,0.6581972171808832,0.5789473684210527,0.735632183908046,0.05045871559633028,0.2718204488778055,1.4872219170550913,0.00684931506849315,1752,584,11.0,207.0,576.0,8.0,0.3333333333333333,0.8002380952380951,0.243142144638404,0.30177680798004985,0.023137626262626262,0.08520179372197309,1.425193566241001,1.5327247782368312,0.0023019397741825577,0.012623006211869436
60,ml_shuffled_label_control,58 59 61 62 63 65,2972,802,19,0.5181453278687577,0.6590710492706864,0.5263157894736842,0.8007662835249042,0.060240963855421686,0.20698254364089774,1.4611389237682366,0.007337526205450734,1908,636,10.0,156.0,627.0,9.0,0.3076086956521739,0.7648190045248867,0.18079800498753118,0.2344139650872818,0.02808596447178457,0.0963952584531675,1.4231866238341386,1.5227090469242743,0.003057870888341911,0.012618794882911975
61,no_veto_s02b_timewalk,58 59 60 62 63 65,2849,925,44,,,0.0,1.0,0.0,0.0,2.1317458734306727,0.024144144144144144,2775,925,,,,,,,,,,,,,,
61,traditional_proxy_threshold_veto,58 59 60 62 63 65,2849,925,44,9.932412600200786,0.49444071819213703,0.18181818181818182,0.7945516458569807,0.042328042328042326,0.20432432432432432,2.304947458654727,0.022644927536231884,2208,736,8.0,181.0,700.0,36.0,0.07692307692307693,0.3,0.17727027027027026,0.23027027027027028,0.017338548933625672,0.07576581027667983,2.195845433189389,2.3869918444886027,0.015701054736075106,0.030924501022597133
61,ml_logistic_proxy_veto,58 59 60 62 63 65,2849,925,44,0.5161779811846864,0.6381952326901248,0.4090909090909091,0.7832009080590239,0.0861244019138756,0.22594594594594594,2.0771851264981347,0.0186219739292365,2148,716,18.0,191.0,690.0,26.0,0.2631578947368421,0.5600625,0.2,0.2518918918918919,0.04886858974358975,0.12386799184505606,1.9901700239062134,2.1681493270074417,0.012380070546737214,0.025576067278173038
