method,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,table,base_method,fold,heldout_runs,n,pred_mean_ns,target_mean_ns,feature,coefficient,train_pulses,heldout_pulses
template_phase,train,11106.0,-3.8056790130005282,2.7663738596173637,3.2976294567731426,0.09679452548172159,1.318716101074413,135.10184204558595,58,traditional_scan_metrics,,,,,,,,,,
template_phase,heldout,216.0,-3.8056790130005282,2.629908212734456,3.5634566123197176,0.0787037037037037,0.7777707336006101,4.402332916331447,58,traditional_scan_metrics,,,,,,,,,,
s16f_base_timewalk,train,11106.0,1.434778997308154,1.640131410841954,2.5322229680074257,0.015036916981811633,1.6603748321912986,17.11732976665112,58,traditional_scan_metrics,,,,,,,,,,
s16f_base_timewalk,heldout,216.0,1.5639468797040763,1.522538475605387,2.789150812028511,0.027777777777777776,1.0215238879224895,1.8480999708394326,58,traditional_scan_metrics,,,,,,,,,,
s16f_base_timewalk,,2964.0,,2.1238485882009095,,,,,58,timewalk_train_cv,template_phase,0.0,61 65,,,,,,,
s16f_base_timewalk,,3501.0,,1.5199946820444339,,,,,58,timewalk_train_cv,template_phase,1.0,60 63,,,,,,,
s16f_base_timewalk,,4641.0,,1.5624770050368184,,,,,58,timewalk_train_cv,template_phase,2.0,59 62,,,,,,,
s16f_base_timewalk,,,,,,,,,58,timewalk_calibration,template_phase,,,36.0,-4.376743167925685,-4.315046699450958,,,,
s16f_base_timewalk,,,,,,,,,58,timewalk_calibration,template_phase,,,36.0,-3.3851069591783065,-4.628698962798162,,,,
s16f_base_timewalk,,,,,,,,,58,timewalk_calibration,template_phase,,,36.0,1.2185956245015948,1.3737907500637028,,,,
s16f_base_timewalk,,,,,,,,,58,timewalk_calibration,template_phase,,,36.0,2.363987256771223,1.9999682190798254,,,,
s16f_base_timewalk,,,,,,,,,58,timewalk_calibration,template_phase,,,36.0,2.5583769704857766,3.273318304061807,,,,
s16f_base_timewalk,,,,,,,,,58,timewalk_calibration,template_phase,,,36.0,2.878217609179575,2.2966683890437896,,,,
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,intercept,0.0,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B4_intercept,105.02984319755699,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B4_log_amp,-268.83832242404145,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B4_log_amp2,133.57314753635794,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B4_inv_amp,-0.7228654957818637,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B4_peak_sample,0.46946480054602163,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B4_area_over_amp,0.21867253011947513,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B4_template_sse,0.0,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B6_intercept,-25.50897083420637,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B6_log_amp,4.324526273177908,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B6_log_amp2,-5.609918021949826,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B6_inv_amp,-0.7690964128733581,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B6_peak_sample,0.19641532375269743,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B6_area_over_amp,-0.03663871061232676,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B6_template_sse,0.0,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B8_intercept,-79.52087754624249,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B8_log_amp,113.67304469265132,11106.0,216.0
s16f_base_timewalk,,,,,,,,,58,timewalk_coefficients,template_phase,,,,,,B8_log_amp2,-62.45243367395501,11106.0,216.0
