g4_entry,primary_pdg,primary_ekin_mev,primary_time_ns,truth_stave,truth_layer,pid_label,pid_name,dominant_pdg,g4_total_edep_mev,g4_dominant_edep_mev,g4_first_time_ns,g4_energy_weighted_time_ns,g4_n_sci_hits,g4_n_bstack_layers,g4_track_length_sum_mm
15528,2212,78.18478897551546,0.0,B2,0,0,proton,2212,76.62532836171572,40.62225195336097,9.929322416361401,10.54869361181252,2,1,218.72183987127892
14416,2212,137.78352998883014,0.0,B6,4,0,proton,2212,70.97122419989194,41.39582003849121,7.503344875460943,7.956021950076215,3,3,344.40605213218345
21462,2212,81.26578651786932,0.0,B2,0,0,proton,2212,45.65673325390986,45.65673325390986,9.809690595766384,9.809690595766384,1,1,109.7953089270037
16592,2212,64.0617525099849,0.0,B4,2,1,deuteron,1000010020,72.0548674532058,48.606325293496134,10.53253432049451,10.82100259217126,2,2,224.01202649828133
27983,2212,125.94173683220095,0.0,B2,0,0,proton,2212,13.833472693618331,13.833472693618331,7.865181328160477,7.865181328160477,1,1,112.22677907963639
24390,2212,159.50835976036305,0.0,B8,6,0,proton,2212,60.67825830811904,21.356297978692385,7.092374412408625,7.592436458627766,4,4,468.48658492577044
20128,2212,161.96640576045996,0.0,B8,6,0,proton,2212,58.60603543738965,19.858130353209553,7.03993998023329,7.525568747476557,4,4,468.3420561808349
8106,2212,82.27738608659641,0.0,B2,0,1,deuteron,1000010020,79.68299793783144,40.001001733554766,9.94973824533615,10.746168863116493,2,1,218.48137068902287
2923,2212,111.98994936336982,0.0,B2,0,1,deuteron,1000010020,42.3278534839689,42.3278534839689,13.273843030815177,13.273843030815177,1,1,110.69169971485928
15938,2212,119.593013544694,0.0,B2,0,1,deuteron,1000010020,66.70504023976979,66.70504023976979,14.353832805164544,14.353832805164544,1,1,112.02023438494787
8610,2212,139.69615171362625,0.0,B6,4,0,proton,2212,52.60375178845691,24.65630190442244,7.460602997493112,7.8383946734374685,3,3,342.83761853049873
7003,2212,70.2906453075023,0.0,B2,0,1,deuteron,1000010020,71.20272170819948,24.873264617279155,10.826904087394507,11.212375009479727,7,2,220.92897906140743
19796,2212,93.77500716048559,0.0,B2,0,1,deuteron,1000010020,79.98102345451375,63.40526442224842,8.926494561028754,11.461021044330757,2,1,218.7779162224935
27564,2212,86.52867772758452,0.0,B2,0,1,deuteron,1000010020,76.77765553923462,42.69255576225055,9.364446115620302,10.620012239979374,2,1,218.77496842332275
11137,2212,152.22138139304585,0.0,B8,6,0,proton,2212,86.16402522458247,41.99982045278913,7.216618028844857,7.858058938302949,4,4,465.67070974032146
10977,2212,82.05734189524834,0.0,B2,0,1,deuteron,1000010020,39.641856453550965,39.641856453550965,11.408752941216626,11.408752941216626,1,1,109.20561622477526
28691,2212,88.96169332359942,0.0,B2,0,1,deuteron,1000010020,50.378938954977556,50.378938954977556,11.817013535342513,11.817013535342513,1,1,109.19209846686303
15672,2212,105.43680481098944,0.0,B4,2,0,proton,2212,93.9696084443722,39.43591435825501,8.5771462287909,10.353069142832176,3,2,335.84930635594105
10468,2212,150.2212721963234,0.0,B6,4,0,proton,2212,46.614506064330754,19.563896018496568,7.2508019706733435,7.610722763135492,5,4,343.12450852480174
26888,2212,149.19751589571626,0.0,B8,6,0,proton,2212,72.13319344442007,23.249079147966967,7.248612800632994,7.826092973133369,4,4,464.7659341849468
9929,2212,51.069151535848626,0.0,B2,0,1,deuteron,1000010020,16.478091174611453,16.478091174611453,10.271175742643754,10.271175742643754,1,1,112.50800780699822
15607,2212,54.534371221929476,0.0,B4,2,0,proton,2212,70.71120980850209,48.341458092638156,10.358555067026128,10.635443019907541,2,2,114.2774490625033
14287,2212,129.6687598039501,0.0,B6,4,0,proton,2212,53.822456381063986,23.97894986947731,7.81756651084226,8.193716481468284,4,3,348.24112692884046
11615,2212,97.07980386834642,0.0,B2,0,1,deuteron,1000010020,122.64557469695467,58.96171313101116,8.791347432744184,10.645801863842372,3,2,333.48044309820455
1062,2212,159.20637783560954,0.0,B8,6,0,proton,2212,76.87560461229995,33.65891909314531,7.079699320967521,7.6772002474226815,5,4,466.64206533621916
19403,2212,148.95640788511832,0.0,B6,4,0,proton,2212,74.43161196275092,19.424931484092827,7.217858490263575,7.834558162523071,8,4,462.5835385834061
26799,2212,84.57600785847836,0.0,B2,0,1,deuteron,1000010020,78.45913013255182,42.124382617632094,9.43367547548679,10.587297296705769,2,1,218.22677277837593
13013,2212,141.7936816508432,0.0,B6,4,0,proton,2212,59.270160559175196,22.387116865702062,7.38667066874154,7.867963978963987,4,4,463.4786102784935
29706,2212,126.31387849911096,0.0,B4,2,0,proton,2212,31.48614478237851,17.235358168713386,7.936675622892322,8.102132963321665,2,2,229.46010421922566
1061,2212,114.72539610230717,0.0,B2,0,1,deuteron,1000010020,43.54513728008564,43.54513728008564,13.451213231887499,13.4512132318875,1,1,110.4236924179149
15354,2212,168.64815891700903,0.0,B6,4,0,proton,2212,37.64952503692719,14.684993052345991,6.990190809631709,7.286097985628363,3,3,349.99727597775984
7677,2212,155.5008066188691,0.0,B8,6,0,proton,2212,92.11370501389581,46.63890317202845,7.117203510400974,7.7571137243819726,4,4,463.6714348064405
19520,2212,112.55110189338039,0.0,B2,0,1,deuteron,1000010020,44.07776676830366,44.07776676830366,13.335860352436192,13.335860352436192,1,1,110.37640584267645
15403,2212,51.779136067979735,0.0,B2,0,1,deuteron,1000010020,22.0684401419907,22.0684401419907,10.258048517340358,10.258048517340358,1,1,112.40906398819206
29746,2212,106.56340802023377,0.0,B2,0,1,deuteron,1000010020,53.326098529565186,36.37732025621557,8.587120487625768,11.446613552620514,2,1,221.86145346501354
20234,2212,83.07927515031112,0.0,B2,0,1,deuteron,1000010020,74.41985110881012,39.627116343371014,9.460669728867547,10.51383858869052,2,1,218.38853718711044
23626,2212,108.04193886145501,0.0,B2,0,1,deuteron,1000010020,75.23895101784069,38.86216948845355,8.405071737035454,10.897894692075816,3,2,337.63000549840547
164,2212,170.06616530083704,0.0,B4,2,0,proton,2212,26.19968001890681,11.741184527878183,6.9947911421613576,7.18917136983232,3,3,350.0704347411456
16067,2212,166.92307033601293,0.0,B8,6,0,proton,2212,53.32288495237937,17.15980110633377,6.999350532518194,7.467243768323141,4,4,472.3708983858144
21841,2212,167.2392538622907,0.0,B8,6,0,proton,2212,54.99987929095951,17.484853247809298,7.027095373334957,7.492940649731269,4,4,474.4349549646968
6483,2212,93.50785090813321,0.0,B2,0,1,deuteron,1000010020,87.30191142123165,62.03486521109454,9.112212764372268,11.272398509444109,2,1,219.08383587886237
29721,2212,162.283496332857,0.0,B8,6,0,proton,2212,69.18700833609319,31.71709035041222,7.0536367003034535,7.6172498788895,4,4,348.9840524996711
6927,2212,57.64248735209086,0.0,B4,2,1,deuteron,1000010020,60.28500510498165,37.899807719049484,10.38507126549935,10.645069787467992,2,2,226.64374835146023
11641,2212,94.26312626381626,0.0,B2,0,1,deuteron,1000010020,89.20874947431078,62.637123554729534,8.957447701099321,11.238084454600237,2,1,218.82824654414225
10481,2212,132.82219732451705,0.0,B4,2,0,proton,2212,63.441540371121064,15.474529864548943,7.64442099085629,8.105558633229975,7,3,345.4715790957962
7995,2212,157.1631856932336,0.0,B8,6,0,proton,2212,79.29172148423464,29.963377877355313,7.098083345230559,7.721568810640928,8,4,465.3159379720778
9267,2212,108.01847604934237,0.0,B2,0,1,deuteron,1000010020,46.76683381869786,39.89348504328889,8.46954108200209,12.406339840660614,2,1,222.7622907110203
4956,2212,68.81629517102236,0.0,B4,2,1,deuteron,1000010020,134.55801800346367,65.79690256145633,10.743987006745549,11.031255059235944,3,2,335.5496650965812
21376,2212,92.31351168764738,0.0,B2,0,1,deuteron,1000010020,83.66387186983837,58.1530678816522,8.989492110150545,11.095132552761635,2,1,218.6169430717182
20654,2212,98.11990814703142,0.0,B2,0,1,deuteron,1000010020,112.39734106625019,57.82816336389592,8.750564595072646,10.711752180914369,3,2,334.65435295867985
18137,2212,164.83242901750992,0.0,B8,6,0,proton,2212,53.273912797118854,17.78409197676146,7.035832227354371,7.514250986298384,4,4,472.16075940975855
4802,2212,140.4295406123559,0.0,B6,4,0,proton,2212,54.85417750899596,24.762189764112957,7.389881214157935,7.762046776398358,3,3,341.04300956579425
4387,2212,140.26218716356794,0.0,B6,4,0,proton,2212,52.18443824506514,24.12802430965521,7.414465659329744,7.793237848093966,3,3,341.26469051737945
18039,2212,91.85494810564927,0.0,B2,0,1,deuteron,1000010020,83.87966837264835,58.49678753964353,9.092844751793946,11.094938036400553,2,1,218.87091761648432
28535,2212,106.50120983724533,0.0,B2,0,1,deuteron,1000010020,37.23293331355682,37.23293331355682,12.827951438107139,12.827951438107139,1,1,109.74883011510451
15772,2212,155.3612262724923,0.0,B8,6,0,proton,2212,79.7889149874842,36.67622577206492,7.141486534853735,7.745096473923987,4,4,465.58387666784915
17712,2212,105.25438009192037,0.0,B2,0,1,deuteron,1000010020,35.9373165288598,35.9373165288598,12.704523567505914,12.704523567505914,1,1,110.03079723635014
26389,2212,110.49216446407226,0.0,B2,0,1,deuteron,1000010020,48.29341617731745,43.367922371944125,8.422011763228713,12.834354549163734,2,1,222.64379193504885
8177,2212,103.5785570637201,0.0,B2,0,1,deuteron,1000010020,96.77594526498157,38.36104478944139,8.71226576315092,10.480473768288896,3,2,335.46234000336494
5088,2212,160.01744281778952,0.0,B8,6,0,proton,2212,59.314508204302484,20.826522427489923,7.07726189964642,7.577506311151647,4,4,468.28983656466687
26860,2212,93.73476849661463,0.0,B2,0,1,deuteron,1000010020,88.2744511205563,62.80503148368178,8.987237615163908,11.236244424861686,2,1,218.87936515864052
3905,2212,131.87730537834776,0.0,B2,0,0,proton,2212,18.349944796717192,11.755541516859298,7.672716058468044,7.720100439801786,4,1,112.01245956390883
21493,2212,127.1909448980262,0.0,B6,4,0,proton,2212,56.56975756694837,26.704284214459186,7.828750872254756,8.218131317723453,3,3,347.9774709470796
28911,2212,143.02548412786598,0.0,B4,2,0,proton,2212,79.53317439229099,38.37148094707197,7.418818102759046,7.67440114321342,4,2,225.1556358136753
26753,2212,154.57097564872365,0.0,B8,6,0,proton,2212,81.57594991614098,37.91489498286489,7.149104676338051,7.757763850877091,4,4,464.8212691274962
26140,2212,163.28343544928657,0.0,B8,6,0,proton,2212,93.3338857649168,34.82353973388672,6.992143041629434,7.663583992050866,8,4,467.65270827349326
