sideband,value,method,n,timing_pull_sigma68,pileup_miss_rate,false_split_rate,energy_fractional_sigma68,pid_balanced_accuracy
amplitude_stratum,high_amplitude,1d_cnn,329,8.889627418230548,0.3532934131736527,0.1419753086419753,0.1597410284423828,0.6744452662721894
amplitude_stratum,high_amplitude,gradient_boosted_trees,271,6.178094378722513,0.3076923076923077,0.2765957446808511,0.13175776048606486,0.784052522610875
amplitude_stratum,high_amplitude,joint_sequence_transformer,329,9.386210429632623,0.33532934131736525,0.25925925925925924,0.20753621630396304,0.4563979289940828
amplitude_stratum,high_amplitude,mlp,329,9.982648633255895,0.3772455089820359,0.22839506172839505,0.20045617622331977,0.7119452662721893
amplitude_stratum,high_amplitude,template_residual_boosted_stack_new,329,6.0887666175516735,0.2754491017964072,0.2654320987654321,0.1158806667821379,0.7928624260355029
amplitude_stratum,low_amplitude,1d_cnn,227,8.79288803875766,0.33980582524271846,0.23387096774193547,0.09062839271890422,0.6703467578914633
amplitude_stratum,low_amplitude,deltaE_over_E_likelihood_template,227,9.879246157448655,0.5631067961165048,0.12903225806451613,0.07462762659496575,0.7917897683097497
amplitude_stratum,low_amplitude,gradient_boosted_trees,227,5.579795870232408,0.33980582524271846,0.25,0.0856996467995083,0.851034053801897
amplitude_stratum,low_amplitude,joint_sequence_transformer,226,9.064988630452818,0.30097087378640774,0.25203252032520324,0.15532212690770192,0.5835489688700698
amplitude_stratum,low_amplitude,mlp,227,9.35138376894513,0.30097087378640774,0.3548387096774194,0.14284322459147203,0.7088710931425906
amplitude_stratum,low_amplitude,ridge,227,6.102686497114934,0.32038834951456313,0.2903225806451613,0.07822641557806233,0.868682941999689
amplitude_stratum,low_amplitude,template_residual_boosted_stack_new,226,6.1820163668027925,0.34951456310679613,0.24390243902439024,0.0668269115617944,0.877519015133694
amplitude_stratum,mid_amplitude,1d_cnn,124,8.896684030499422,0.4142857142857143,0.24074074074074073,0.10268071923541884,0.640646976090014
amplitude_stratum,mid_amplitude,deltaE_over_E_likelihood_template,453,8.922613675390005,0.6455696202531646,0.125,0.0885534847504792,0.7601278692370861
amplitude_stratum,mid_amplitude,gradient_boosted_trees,182,6.174115532047712,0.27102803738317754,0.3333333333333333,0.10755842962372165,0.9256454816285998
amplitude_stratum,mid_amplitude,joint_sequence_transformer,125,9.192844969091764,0.38571428571428573,0.2727272727272727,0.15288617011264835,0.5774628508530545
amplitude_stratum,mid_amplitude,mlp,124,10.648639883603948,0.37142857142857144,0.4074074074074074,0.10374343798757454,0.7357243319268636
amplitude_stratum,mid_amplitude,ridge,453,7.134888499543816,0.3459915611814346,0.24537037037037038,0.13594276161330857,0.6904645524576702
amplitude_stratum,mid_amplitude,template_residual_boosted_stack_new,125,6.364589149297007,0.3,0.36363636363636365,0.11164233731338816,0.9719317556411669
curvature_band,high_curvature,1d_cnn,227,9.693033846837562,0.12101910828025478,0.37142857142857144,0.10710647070097686,0.7062694704049843
curvature_band,high_curvature,deltaE_over_E_likelihood_template,226,8.03049828053885,0.3525641025641026,0.3142857142857143,0.07607061946611354,0.770635356946517
curvature_band,high_curvature,gradient_boosted_trees,227,6.180793750418253,0.1464968152866242,0.5,0.08797267886954777,0.8325545171339563
curvature_band,high_curvature,joint_sequence_transformer,227,8.426378481006545,0.12738853503184713,0.45714285714285713,0.14101363371731884,0.4630841121495327
curvature_band,high_curvature,mlp,227,9.918146817540162,0.20382165605095542,0.5142857142857142,0.15132444214478546,0.7479361370716511
curvature_band,high_curvature,ridge,226,7.254731038535702,0.08333333333333333,0.6142857142857143,0.08852233358515511,0.7701641404225241
curvature_band,high_curvature,template_residual_boosted_stack_new,227,6.584883404075629,0.1464968152866242,0.45714285714285713,0.08551957240997732,0.8522585669781931
curvature_band,low_curvature,1d_cnn,227,9.046630853013157,0.8970588235294118,0.050314465408805034,0.15807730932760997,0.6490241998438719
curvature_band,low_curvature,deltaE_over_E_likelihood_template,227,7.762873398895892,0.9558823529411765,0.025157232704402517,0.14794154161120487,0.7668618266978923
