method,bootstrap_unit,n_source_units,bootstrap_replicates,detection_ap,detection_ap_ci_low,detection_ap_ci_high,time_sigma68_ns,time_sigma68_ns_ci_low,time_sigma68_ns_ci_high,pileup_miss_rate,pileup_miss_rate_ci_low,pileup_miss_rate_ci_high,false_split_rate,false_split_rate_ci_low,false_split_rate_ci_high,energy_fractional_sigma68,energy_fractional_sigma68_ci_low,energy_fractional_sigma68_ci_high
gradient_boosted_trees,source_run:stave:is_overlap:spacing_bin:ratio_bin,211,400,0.8112194016531133,0.7414895623741525,0.889243557921171,8.068233250233458,7.102184085119337,8.976383420013768,0.34444444444444444,0.2906041456016178,0.3972851624721248,0.2,0.15318606473389187,0.24812418978480683,0.07391609375929803,0.06098632044200047,0.08353721087619531
template_residual_boosted_stack_new,source_run:stave:is_overlap:spacing_bin:ratio_bin,211,400,0.8208060478736865,0.7476744999560293,0.8975943850939231,8.603432434707507,7.561409635664315,9.486976311017258,0.3472222222222222,0.2955652390032432,0.3978046534608992,0.19444444444444445,0.1403008848466923,0.24846722827203607,0.06929466005317042,0.0626401060845102,0.08310952168469363
two_pulse_template_cfd_baseline,source_run:stave:is_overlap:spacing_bin:ratio_bin,211,400,0.6582037900629221,0.565186213596616,0.7673844263771085,9.436999823764026,8.088584402861244,10.722296858019599,0.5944444444444444,0.5330993737396922,0.6542883447996762,0.19444444444444445,0.1419176311253386,0.24515184989777747,0.08217162478067491,0.06636850690724991,0.09578203008655303
ridge,source_run:stave:is_overlap:spacing_bin:ratio_bin,211,400,0.8018033205799953,0.7191625536845736,0.877664870109817,10.296346656092165,9.12157343460327,10.993298540132077,0.34444444444444444,0.29883669670846397,0.40223707998762154,0.19444444444444445,0.14339700996677743,0.2557775968826732,0.06321961178785993,0.05649103612837891,0.07300507759967569
1d_cnn,source_run:stave:is_overlap:spacing_bin:ratio_bin,211,400,0.7908515584409498,0.6967211522426663,0.8723675167131164,11.554120044671569,10.637529783192166,12.560179520649811,0.30833333333333335,0.25285871501939,0.3600027700831025,0.2388888888888889,0.1735180995475113,0.30610061580210823,0.09694505745943556,0.08064420682926401,0.10420019448607444
pileup_mask_transformer_new,source_run:stave:is_overlap:spacing_bin:ratio_bin,211,400,0.7872724567799863,0.7059519104611761,0.8603985273231638,12.903592806243564,11.490253790166534,15.432688138912928,0.25277777777777777,0.2054018492176387,0.30147323943661963,0.2777777777777778,0.20470834002892496,0.3546044285549532,0.08302581349969382,0.07501009663007355,0.09639305190144969
mlp,source_run:stave:is_overlap:spacing_bin:ratio_bin,211,400,0.8061527839302046,0.7240139127600739,0.885065094231358,14.298979064430501,13.108185344455238,15.530828297348684,0.3333333333333333,0.2789963310127773,0.3872254624478182,0.20833333333333334,0.15383211678832118,0.27441284074605454,0.1381752761442262,0.11992716787991668,0.15723807887580407
tiny_sequence_transformer,source_run:stave:is_overlap:spacing_bin:ratio_bin,211,400,0.7613023379059504,0.665230289692056,0.851105355582668,17.1810288754697,15.708993180390697,18.593515864708706,0.34444444444444444,0.29526123185224795,0.40329439387790594,0.2361111111111111,0.16620295595838558,0.3113942328109738,0.1214193571712634,0.10514230288918706,0.1345768227973513
