run,method,n,n_saturated,unsat_charge_res68_frac,energy_proxy_res68_frac,depth_order_violation_rate,sat_minus_unsat_log_charge_delta
44,observed_even_charge,1911,334,0.16847494068288574,0.021894809544827296,0.0,1.0958779738292523
45,observed_even_charge,22999,5472,0.1603062103775661,0.022134961009279443,0.0,0.9464926844477395
46,observed_even_charge,676,144,0.13613858445991542,0.02132800741924309,0.0,0.6997934207172047
47,observed_even_charge,5160,1268,0.13345866443865864,0.020720954834102915,0.0,1.3127192031707609
48,observed_even_charge,13175,1991,0.167925297533665,0.02203456645134242,0.0,0.960392653187065
49,observed_even_charge,13921,2154,0.16855341565045368,0.022044721348488193,0.0,0.9863298239310261
50,observed_even_charge,34254,19492,0.061889147563557144,0.018200286233590768,0.0,0.754461093848398
51,observed_even_charge,14294,7248,0.08056569473063295,0.019399894837769032,0.0,0.8385403844267301
52,observed_even_charge,6933,3625,0.08026222531139501,0.01960080143707263,0.0,0.702925247781252
53,observed_even_charge,31382,13961,0.04644963880105439,0.01721770794387319,0.0,0.7179295287208407
54,observed_even_charge,29664,13282,0.04654937468607348,0.01703307761668554,0.0,0.7334648049054691
55,observed_even_charge,16836,8330,0.08009708737502624,0.019048823374592964,0.0,0.8529849280638571
56,observed_even_charge,38925,21645,0.0681204059183435,0.019348209442190522,0.0,0.7350753020132061
57,observed_even_charge,12928,1843,0.1669260818372504,0.021731814305063137,0.0,0.9520572660651023
58,observed_even_charge,15919,1618,0.13661852465047802,0.02132205205989672,0.0,0.8166526318836671
59,observed_even_charge,13861,809,0.22497747757276054,0.02466469146339729,0.0,0.7469256239565087
60,observed_even_charge,10133,382,0.21535727999595924,0.02413737185490349,0.0,0.5401505507014805
61,observed_even_charge,11287,420,0.20226017159527693,0.024123160265634918,0.0,0.6976248447653676
62,observed_even_charge,11911,513,0.21543070723544147,0.024143388492445867,0.0,0.697019949689119
63,observed_even_charge,14779,1232,0.19614256510859265,0.023488632441707204,0.0,0.7234981388335497
65,observed_even_charge,11904,454,0.2168436632555833,0.023839332664601382,0.0,0.8881776042893362
44,traditional_saturated_excluded,1577,0,0.16847494068288574,0.021399252239258485,0.0,
45,traditional_saturated_excluded,17527,0,0.1603062103775661,0.021382658990229154,0.0,
46,traditional_saturated_excluded,532,0,0.13613858445991542,0.0202869469620494,0.0,
47,traditional_saturated_excluded,3892,0,0.13345866443865864,0.020005375137011627,0.0,
48,traditional_saturated_excluded,11184,0,0.167925297533665,0.021386660949773872,0.0,
49,traditional_saturated_excluded,11767,0,0.16855341565045368,0.021370906948913856,0.0,
50,traditional_saturated_excluded,14762,0,0.061889147563557144,0.018256177137066922,0.0,
51,traditional_saturated_excluded,7046,0,0.08056569473063295,0.019231413013431963,0.0,
52,traditional_saturated_excluded,3308,0,0.08026222531139501,0.019622936766471203,0.0,
53,traditional_saturated_excluded,17421,0,0.04644963880105439,0.01718420013438544,0.0,
54,traditional_saturated_excluded,16382,0,0.04654937468607348,0.017096254669754535,0.0,
55,traditional_saturated_excluded,8506,0,0.08009708737502624,0.018948485574055263,0.0,
56,traditional_saturated_excluded,17280,0,0.0681204059183435,0.018765995372821215,0.0,
57,traditional_saturated_excluded,11085,0,0.1669260818372504,0.021192816033545656,0.0,
58,traditional_saturated_excluded,14301,0,0.13661852465047802,0.0210845879454076,0.0,
59,traditional_saturated_excluded,13052,0,0.22497747757276054,0.02446418297570411,0.0,
60,traditional_saturated_excluded,9751,0,0.21535727999595924,0.02397466574152031,0.0,
61,traditional_saturated_excluded,10867,0,0.20226017159527693,0.02392123509295555,0.0,
62,traditional_saturated_excluded,11398,0,0.21543070723544147,0.023950176781114232,0.0,
63,traditional_saturated_excluded,13547,0,0.19614256510859265,0.023273914689434884,0.0,
65,traditional_saturated_excluded,11450,0,0.2168436632555833,0.023719329448892774,0.0,
44,traditional_template_corrected,1911,334,0.16847494068288574,0.024277736943448223,0.0,1.432992824983775
45,traditional_template_corrected,22999,5472,0.1603062103775661,0.025627544197542904,0.0,1.254522822829971
46,traditional_template_corrected,676,144,0.13613858445991542,0.023484433119957588,0.0,1.1565001266641097
47,traditional_template_corrected,5160,1268,0.13345866443865864,0.02383919099261199,0.0,1.6604220634715219
48,traditional_template_corrected,13175,1991,0.167925297533665,0.02364503378730582,0.0,1.2711709820789086
49,traditional_template_corrected,13921,2154,0.16855341565045368,0.023707160830790216,0.0,1.2961359220995359
50,traditional_template_corrected,34254,19492,0.061889147563557144,0.049001212346867336,0.0,1.123478474578016
51,traditional_template_corrected,14294,7248,0.08056569473063295,0.04454273394144855,0.0,1.1785963449808916
52,traditional_template_corrected,6933,3625,0.08026222531139501,0.046526147523454506,0.0,1.026697065306216
53,traditional_template_corrected,31382,13961,0.04644963880105439,0.034805469364073825,0.0,1.0984651884848473
54,traditional_template_corrected,29664,13282,0.04654937468607348,0.03515329995478637,0.0,1.0882037910377056
55,traditional_template_corrected,16836,8330,0.08009708737502624,0.04402341701729792,0.0,1.1297522706387988
56,traditional_template_corrected,38925,21645,0.0681204059183435,0.049803412509774214,0.0,1.1287963335166973
57,traditional_template_corrected,12928,1843,0.1669260818372504,0.023395556558643487,0.0,1.2590545074018626
58,traditional_template_corrected,15919,1618,0.13661852465047802,0.022199226440271058,0.0,1.0659333897251893
59,traditional_template_corrected,13861,809,0.22497747757276054,0.025019668259395573,0.0,0.936346513193878
60,traditional_template_corrected,10133,382,0.21535727999595924,0.024642796273005925,0.0,0.7089404228992184
61,traditional_template_corrected,11287,420,0.20226017159527693,0.02479914687826579,0.0,0.9153159648068391
62,traditional_template_corrected,11911,513,0.21543070723544147,0.02456035162843308,0.0,0.8601998434006277
63,traditional_template_corrected,14779,1232,0.19614256510859265,0.024150701826016065,0.0,0.9426841118663534
65,traditional_template_corrected,11904,454,0.2168436632555833,0.02403230535251451,0.0,1.201354812185328
44,ml_p07_p04_corrected,1911,334,0.07704861394421655,0.014862399974756463,0.0,1.0751703910417703
45,ml_p07_p04_corrected,22999,5472,0.0740060469108146,0.014814180282946786,0.0,1.0748768589625768
46,ml_p07_p04_corrected,676,144,0.06259521878444844,0.013388893332935645,0.0,0.944610720507093
47,ml_p07_p04_corrected,5160,1268,0.06191355189011224,0.01294065386145474,0.0,1.419027768941385
48,ml_p07_p04_corrected,13175,1991,0.0741781761314014,0.014134999131031703,0.0,1.1354225495943897
49,ml_p07_p04_corrected,13921,2154,0.07407952350444688,0.01426876979664959,0.0,1.1291707946897054
50,ml_p07_p04_corrected,34254,19492,0.048687583871384214,0.014081442206645535,0.0,0.9389423744644874
51,ml_p07_p04_corrected,14294,7248,0.052184406276980594,0.014621909308389398,0.0,0.8905759298979188
52,ml_p07_p04_corrected,6933,3625,0.05268747154340875,0.014689504229538235,0.0,0.9169789740801049
53,ml_p07_p04_corrected,31382,13961,0.04303926141887566,0.014003792679704108,0.0,0.7990366410405008
54,ml_p07_p04_corrected,29664,13282,0.04257731820773506,0.013876752886389185,0.0,0.7889412822901649
55,ml_p07_p04_corrected,16836,8330,0.05283994822520117,0.014347834316912467,0.0,0.9249927058752068
56,ml_p07_p04_corrected,38925,21645,0.05110917611170173,0.01480105856827909,0.0,0.9210378333730178
57,ml_p07_p04_corrected,12928,1843,0.07574701151740865,0.014411924873150312,0.0,1.0731487626103187
58,ml_p07_p04_corrected,15919,1618,0.056091348395142494,0.01613636182896202,0.0,0.7782103879243514
59,ml_p07_p04_corrected,13861,809,0.10321117091269667,0.015535413407514288,0.0,0.7949168021957043
60,ml_p07_p04_corrected,10133,382,0.09451827021531728,0.01324542752576862,0.0,0.6272258572929919
61,ml_p07_p04_corrected,11287,420,0.09940825583271741,0.01420388853077157,0.0,0.7734642306727402
62,ml_p07_p04_corrected,11911,513,0.09810842120990027,0.01441192814150341,0.0,0.7073200051365198
63,ml_p07_p04_corrected,14779,1232,0.08865390511364471,0.016141161028368826,0.0,0.7757318934941448
65,ml_p07_p04_corrected,11904,454,0.08632751233554992,0.016042690372885554,0.0,0.9755361976323117
