method,bin_low,bin_high,n,mean_predicted_overlap,observed_overlap_rate,abs_gap
1d_cnn,0.0,0.1,40,0.06553924074396486,0.175,0.10946075925603513
1d_cnn,0.1,0.2,93,0.15372462482542115,0.13978494623655913,0.013939678588862026
1d_cnn,0.2,0.30000000000000004,118,0.248249319271516,0.3050847457627119,0.056835426491195884
1d_cnn,0.30000000000000004,0.4,87,0.34472583559737807,0.25287356321839083,0.09185227237898724
1d_cnn,0.4,0.5,71,0.44754203230562345,0.36619718309859156,0.08134484920703189
1d_cnn,0.5,0.6000000000000001,65,0.559144610625047,0.5230769230769231,0.03606768754812384
1d_cnn,0.6000000000000001,0.7000000000000001,79,0.6526541732534578,0.7468354430379747,0.09418126978451691
1d_cnn,0.7000000000000001,0.8,83,0.7455475071826613,0.7590361445783133,0.013488637395651981
1d_cnn,0.8,0.9,76,0.8451838540403467,0.881578947368421,0.036395093328074335
1d_cnn,0.9,1.0,68,0.9379163182833615,0.9264705882352942,0.01144573004806737
analytic_clipped_template_sideband_traditional,0.0,0.1,481,0.001523222423984864,0.42411642411642414,0.4225932016924393
analytic_clipped_template_sideband_traditional,0.1,0.2,6,0.14701968536945387,0.5,0.35298031463054613
analytic_clipped_template_sideband_traditional,0.2,0.30000000000000004,4,0.2601989753232871,0.25,0.010198975323287118
analytic_clipped_template_sideband_traditional,0.30000000000000004,0.4,37,0.3491914154800059,0.3783783783783784,0.029186962898372526
analytic_clipped_template_sideband_traditional,0.4,0.5,13,0.4418687149434212,0.46153846153846156,0.01966974659504034
analytic_clipped_template_sideband_traditional,0.5,0.6000000000000001,18,0.5497958293723312,0.3888888888888889,0.16090694048344228
analytic_clipped_template_sideband_traditional,0.6000000000000001,0.7000000000000001,13,0.6549372879453353,0.46153846153846156,0.19339882640687378
analytic_clipped_template_sideband_traditional,0.7000000000000001,0.8,13,0.7608683021178724,0.38461538461538464,0.37625291750248774
analytic_clipped_template_sideband_traditional,0.8,0.9,16,0.8552628122896706,0.5625,0.2927628122896706
analytic_clipped_template_sideband_traditional,0.9,1.0,179,0.9906090077889587,0.7541899441340782,0.2364190636548804
gradient_boosted_trees,0.0,0.1,149,0.0567079321981333,0.12080536912751678,0.0640974369293835
gradient_boosted_trees,0.1,0.2,135,0.14610929602529252,0.28888888888888886,0.14277959286359634
gradient_boosted_trees,0.2,0.30000000000000004,77,0.24850499047499114,0.35064935064935066,0.10214436017435952
gradient_boosted_trees,0.30000000000000004,0.4,62,0.34646945848798505,0.43548387096774194,0.08901441247975689
gradient_boosted_trees,0.4,0.5,48,0.4491531594758043,0.5625,0.11334684052419569
gradient_boosted_trees,0.5,0.6000000000000001,51,0.5515947921101909,0.5490196078431373,0.0025751842670536096
gradient_boosted_trees,0.6000000000000001,0.7000000000000001,36,0.6484725074334694,0.6388888888888888,0.009583618544580563
gradient_boosted_trees,0.7000000000000001,0.8,35,0.7477736436435638,0.6857142857142857,0.06205935792927808
gradient_boosted_trees,0.8,0.9,54,0.8538947769204399,0.8888888888888888,0.03499411196844893
gradient_boosted_trees,0.9,1.0,133,0.9557999053405278,0.9699248120300752,0.014124906689547356
mlp,0.0,0.1,111,0.05769406129586899,0.08108108108108109,0.0233870197852121
mlp,0.1,0.2,135,0.1498361712784025,0.21481481481481482,0.0649786435364123
mlp,0.2,0.30000000000000004,113,0.2440210026700885,0.36283185840707965,0.11881085573699116
mlp,0.30000000000000004,0.4,82,0.34760561716361116,0.4024390243902439,0.05483340722663277
mlp,0.4,0.5,63,0.4398018662748205,0.6031746031746031,0.16337273689978266
mlp,0.5,0.6000000000000001,56,0.5578185817512921,0.8035714285714286,0.24575284682013654
mlp,0.6000000000000001,0.7000000000000001,73,0.6489102060364497,0.821917808219178,0.17300760218272837
mlp,0.7000000000000001,0.8,41,0.742563317484768,0.8780487804878049,0.13548546300303688
mlp,0.8,0.9,47,0.8524598939412337,0.9148936170212766,0.06243372308004291
mlp,0.9,1.0,59,0.9430361382237751,0.9491525423728814,0.006116404149106303
ridge,0.0,0.1,2,0.05097630255449885,0.5,0.44902369744550114
ridge,0.1,0.2,19,0.17306296411122896,0.05263157894736842,0.12043138516386054
ridge,0.2,0.30000000000000004,83,0.2601042500531295,0.10843373493975904,0.15167051511337043
ridge,0.30000000000000004,0.4,160,0.354277675275132,0.175,0.179277675275132
ridge,0.4,0.5,193,0.4495724654651944,0.41450777202072536,0.03506469344446905
ridge,0.5,0.6000000000000001,189,0.5473507008088857,0.7724867724867724,0.22513607167788674
ridge,0.6000000000000001,0.7000000000000001,97,0.6411295057738662,0.9381443298969072,0.29701482412304103
ridge,0.7000000000000001,0.8,35,0.7432865092208942,0.9142857142857143,0.17099920506482003
ridge,0.8,0.9,2,0.8070290226617636,1.0,0.19297097733823643
saturation_residual_fusion_new,0.0,0.1,142,0.056479347785523173,0.13380281690140844,0.07732346911588527
saturation_residual_fusion_new,0.1,0.2,135,0.1424199358762838,0.28888888888888886,0.14646895301260507
saturation_residual_fusion_new,0.2,0.30000000000000004,88,0.24939053462508626,0.3068181818181818,0.057427647193095566
saturation_residual_fusion_new,0.30000000000000004,0.4,49,0.3502160023606644,0.3469387755102041,0.0032772268504603352
saturation_residual_fusion_new,0.4,0.5,56,0.4516109336646684,0.5535714285714286,0.10196049490676018
saturation_residual_fusion_new,0.5,0.6000000000000001,42,0.5439396457149775,0.6190476190476191,0.07510797333264152
saturation_residual_fusion_new,0.6000000000000001,0.7000000000000001,44,0.6469124229001063,0.6590909090909091,0.01217848619080275
saturation_residual_fusion_new,0.7000000000000001,0.8,35,0.7558769481413924,0.7714285714285715,0.015551623287179073
saturation_residual_fusion_new,0.8,0.9,45,0.8582615825818245,0.8,0.058261582581824456
saturation_residual_fusion_new,0.9,1.0,144,0.9570924150123913,0.9652777777777778,0.008185362765386506
tiny_sequence_transformer,0.0,0.1,4,0.09117935597896573,0.0,0.09117935597896573
tiny_sequence_transformer,0.1,0.2,242,0.1554961477922014,0.21074380165289255,0.055247653860691165
tiny_sequence_transformer,0.2,0.30000000000000004,132,0.24401598604339542,0.3787878787878788,0.13477189274448337
tiny_sequence_transformer,0.30000000000000004,0.4,120,0.3512852927049001,0.525,0.1737147072950999
tiny_sequence_transformer,0.4,0.5,97,0.4523206509880184,0.7010309278350515,0.24871027684703312
tiny_sequence_transformer,0.5,0.6000000000000001,57,0.5477211098921927,0.8596491228070176,0.31192801291482486
tiny_sequence_transformer,0.6000000000000001,0.7000000000000001,48,0.6425833192964395,0.8125,0.16991668070356047
tiny_sequence_transformer,0.7000000000000001,0.8,43,0.752398478430371,0.8372093023255814,0.08481082389521044
tiny_sequence_transformer,0.8,0.9,35,0.843064912727901,0.9142857142857143,0.0712208015578133
tiny_sequence_transformer,0.9,1.0,2,0.9052944183349609,1.0,0.09470558166503906
