slice_axis,slice_value,n,n_positive,pileup_miss_rate,false_split_rate,energy_sigma68,energy_abs_bias
ratio_bin,"(-0.001, 0.35]",469,79,0.5316455696202531,0.1358974358974359,0.05610718095208739,0.014453530835605216
spacing_bin,"(-0.001, 10.0]",132,132,0.44696969696969696,,0.06807781719478487,0.020048738386126665
spacing_bin,"(10.0, 25.0]",88,88,0.4431818181818182,,0.04700163086321629,0.037155119662697064
morphology_state,late_tail_high,411,173,0.4161849710982659,0.09243697478991597,0.056548449043534205,0.014398791263896865
stave,B2,183,91,0.4065934065934066,0.14130434782608695,0.07231450942599484,0.036053683013104514
stave,B6,186,85,0.38823529411764707,0.0594059405940594,0.05844623721127648,0.004977478962949405
pid_proxy_class,other,754,366,0.3524590163934426,0.13659793814432988,0.0663673641038511,0.0034388627368382115
saturation_bin,0,771,381,0.34908136482939633,0.1358974358974359,0.06707860395727867,0.0005697949302383906
pedestal_state,shifted,497,255,0.34901960784313724,0.16942148760330578,0.07184679521387846,0.002127290922092832
ratio_bin,"(0.35, 0.625]",109,109,0.3486238532110092,,0.06766092922190167,0.002730722920407303
pedestal_state,nominal,283,135,0.32592592592592595,0.08108108108108109,0.05800455127666035,0.005258135854541808
stave,B4,205,107,0.3177570093457944,0.16326530612244897,0.06938590299213433,0.02074542315626511
ratio_bin,"(0.625, 0.875]",89,89,0.3146067415730337,,0.07180762148184794,0.0005419223070361401
morphology_state,late_tail_low,369,217,0.28110599078341014,0.20394736842105263,0.0684578376640281,0.010125884534291524
stave,B8,206,107,0.27102803738317754,0.18181818181818182,0.05262317872033811,0.007255792675355963
spacing_bin,"(25.0, 45.0]",78,78,0.23076923076923078,,0.06535139899765822,0.0003950049533515976
ratio_bin,"(0.875, 1.05]",113,113,0.22123893805309736,,0.06170863520286606,0.002824960279565729
spacing_bin,"(45.0, 70.0]",92,92,0.18478260869565216,,0.05885721178495853,0.04577625510075191
pid_proxy_class,inner_high_charge,26,24,0.16666666666666666,0.0,0.07283838439388356,0.04701852691632753
saturation_bin,1-2,4,4,0.0,,0.0831799514132572,0.013752310032029244
saturation_bin,3-5,5,5,0.0,,0.01252987412616452,0.007812033424978143
