method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,brier,brier_ci_low,brier_ci_high,violating_rejection_at_90pct_clean_eff,violating_rejection_ci_low,violating_rejection_ci_high,uses_label_defining_timing,is_sentinel
traditional_span_q,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,7.903968595898379e-08,0.0,2.437573009983144e-07,1.0,1.0,1.0,True,False
ridge,0.9701833275564878,0.9615641940596565,0.9758782532761282,0.9737868806464041,0.9603750194677482,0.9833146770113599,0.038235776965561144,0.03213241585914259,0.04687855329291206,0.952895419187554,0.9394512355993316,0.9644771459983927,False,False
gradient_boosted_trees,0.993024045848815,0.9901328547262365,0.9952534403624704,0.9967164629589209,0.9942411606352374,0.9982653047810572,0.016782649780102656,0.014555472779615605,0.020229687339637096,0.9874675885911841,0.9818814118468693,0.9921024437006298,False,False
mlp,0.9901267232087059,0.9864579559559212,0.9935274247502643,0.9928869171357619,0.9872818980612567,0.9956835724979832,0.015423301779438852,0.01207960188549809,0.020814074121924694,0.9835782195332757,0.9780249024600709,0.9892102090846469,False,False
cnn1d,0.9530748224403607,0.938243014912584,0.9681535543315362,0.981202791325159,0.9703414281874415,0.9877117584006697,0.08631920746713169,0.07031248426853551,0.1062419442193112,0.8448573898012101,0.7746248352850275,0.9230279432552504,False,False
gated_dilated_cnn,0.9734230721929404,0.9665178906888778,0.9787401910611958,0.9847401691604809,0.976720182669699,0.988862099058207,0.03373422808284714,0.029716723817480837,0.03851021242465254,0.95980985306828,0.9471498173962617,0.971761563061751,False,False
shuffled_hgb_control,0.42311291200771955,0.3661867021576561,0.49773642275659913,0.7122744858171187,0.6083791290543834,0.7789769525335525,0.18655816455442414,0.15224243203160184,0.25583051120499545,0.10025929127052723,0.08830942298609365,0.11507885763000852,False,True
