support_cell,negative_rows,positive_rows,min_class_rows,matched_cell
sample_i_analysis|0|0|0|1|0|0,925,0,0,False
sample_i_analysis|0|0|0|1|0|1,107,0,0,False
sample_i_analysis|0|0|0|1|1|0,55,0,0,False
sample_i_analysis|0|0|0|1|1|1,222,0,0,False
sample_i_analysis|0|1|0|1|0|0,1209,4,4,True
sample_i_analysis|0|1|0|1|0|1,24,0,0,False
sample_i_analysis|0|1|0|1|1|0,162,0,0,False
sample_i_analysis|0|1|0|1|1|1,25,0,0,False
sample_i_analysis|0|2|0|1|0|0,393,439,393,True
sample_i_analysis|0|2|0|1|0|1,16,2,2,False
sample_i_analysis|0|2|0|1|1|0,40,0,0,False
sample_i_analysis|0|2|0|1|1|1,3,0,0,False
sample_i_analysis|0|2|1|1|0|0,4,592,4,True
sample_i_analysis|0|2|1|1|0|1,3,23,3,True
sample_i_analysis|0|2|1|1|1|0,10,0,0,False
sample_i_analysis|0|3|1|1|0|0,3,1970,3,True
sample_i_analysis|0|3|1|1|0|1,2,187,2,False
sample_i_analysis|0|3|1|1|1|0,5,0,0,False
sample_i_analysis|0|3|1|1|1|1,2,0,0,False
sample_i_analysis|1|0|0|0|0|0,12,0,0,False
sample_i_analysis|1|0|0|0|0|1,2,0,0,False
sample_i_analysis|1|0|0|0|1|0,2,0,0,False
sample_i_analysis|1|0|0|0|1|1,3,0,0,False
sample_i_analysis|1|1|0|0|0|0,14,7,7,True
sample_i_analysis|1|1|0|0|1|0,8,0,0,False
sample_i_analysis|1|1|1|0|0|0,0,1,0,False
sample_i_analysis|1|2|0|0|0|0,2,7,2,False
sample_i_analysis|1|2|0|0|0|1,1,0,0,False
sample_i_analysis|1|2|0|0|1|0,1,0,0,False
sample_i_analysis|1|2|0|0|1|1,1,0,0,False
sample_i_analysis|1|2|1|0|0|0,0,9,0,False
sample_i_analysis|1|2|1|0|0|1,0,2,0,False
sample_i_analysis|1|3|1|0|0|0,0,11,0,False
sample_i_analysis|1|3|1|0|0|1,0,10,0,False
sample_i_analysis|2|0|0|0|0|0,1,0,0,False
sample_i_analysis|2|0|0|0|0|1,2,0,0,False
sample_i_analysis|2|1|0|0|0|0,9,2,2,False
sample_i_analysis|2|1|0|0|1|0,2,0,0,False
sample_i_analysis|2|1|1|0|0|0,0,1,0,False
sample_i_analysis|2|2|0|0|0|0,2,4,2,False
sample_i_analysis|2|2|0|0|0|1,1,0,0,False
sample_i_analysis|2|2|0|0|1|0,2,0,0,False
sample_i_analysis|2|2|1|0|0|0,1,3,1,False
sample_i_analysis|2|2|1|0|0|1,0,1,0,False
sample_i_analysis|2|3|1|0|0|0,0,3,0,False
sample_i_analysis|2|3|1|0|0|1,0,3,0,False
sample_i_analysis|3|0|0|0|0|0,1,0,0,False
sample_i_analysis|3|0|0|0|1|0,2,0,0,False
sample_i_analysis|3|0|0|0|1|1,1,0,0,False
sample_i_analysis|3|1|0|0|0|0,4,1,1,False
sample_i_analysis|3|1|0|0|1|0,1,0,0,False
sample_i_analysis|3|2|0|0|0|0,1,0,0,False
sample_i_analysis|3|2|0|0|0|1,1,0,0,False
sample_i_analysis|3|2|1|0|0|0,0,2,0,False
sample_i_analysis|3|3|1|0|0|0,0,1,0,False
sample_i_analysis|3|3|1|0|0|1,0,2,0,False
sample_i_calib|0|0|0|1|0|0,829,0,0,False
sample_i_calib|0|0|0|1|0|1,106,0,0,False
sample_i_calib|0|0|0|1|1|0,63,0,0,False
sample_i_calib|0|0|0|1|1|1,206,0,0,False
sample_i_calib|0|1|0|1|0|0,879,4,4,True
sample_i_calib|0|1|0|1|0|1,39,0,0,False
sample_i_calib|0|1|0|1|1|0,169,0,0,False
sample_i_calib|0|1|0|1|1|1,21,0,0,False
sample_i_calib|0|2|0|1|0|0,180,436,180,True
sample_i_calib|0|2|0|1|0|1,1,2,1,False
sample_i_calib|0|2|0|1|1|0,34,0,0,False
sample_i_calib|0|2|0|1|1|1,1,0,0,False
sample_i_calib|0|2|1|1|0|0,0,612,0,False
sample_i_calib|0|2|1|1|0|1,2,19,2,False
sample_i_calib|0|2|1|1|1|0,5,0,0,False
sample_i_calib|0|2|1|1|1|1,2,0,0,False
sample_i_calib|0|3|1|1|0|0,1,1283,1,False
sample_i_calib|0|3|1|1|0|1,3,193,3,True
sample_i_calib|0|3|1|1|1|0,3,0,0,False
sample_i_calib|0|3|1|1|1|1,1,0,0,False
