run,weak_label_name,n
31,pid_proxy_high_calibrated_range_energy_residual,240
31,pid_proxy_low_calibrated_range_energy_residual,240
32,pid_proxy_high_calibrated_range_energy_residual,240
32,pid_proxy_low_calibrated_range_energy_residual,240
33,pid_proxy_high_calibrated_range_energy_residual,240
33,pid_proxy_low_calibrated_range_energy_residual,240
34,pid_proxy_high_calibrated_range_energy_residual,240
34,pid_proxy_low_calibrated_range_energy_residual,240
35,pid_proxy_high_calibrated_range_energy_residual,240
35,pid_proxy_low_calibrated_range_energy_residual,240
36,pid_proxy_high_calibrated_range_energy_residual,240
36,pid_proxy_low_calibrated_range_energy_residual,240
37,pid_proxy_high_calibrated_range_energy_residual,240
37,pid_proxy_low_calibrated_range_energy_residual,240
39,pid_proxy_high_calibrated_range_energy_residual,240
39,pid_proxy_low_calibrated_range_energy_residual,240
40,pid_proxy_high_calibrated_range_energy_residual,240
40,pid_proxy_low_calibrated_range_energy_residual,240
41,pid_proxy_high_calibrated_range_energy_residual,240
41,pid_proxy_low_calibrated_range_energy_residual,240
42,pid_proxy_high_calibrated_range_energy_residual,240
42,pid_proxy_low_calibrated_range_energy_residual,240
44,pid_proxy_high_calibrated_range_energy_residual,240
44,pid_proxy_low_calibrated_range_energy_residual,240
45,pid_proxy_high_calibrated_range_energy_residual,240
45,pid_proxy_low_calibrated_range_energy_residual,240
46,pid_proxy_high_calibrated_range_energy_residual,167
46,pid_proxy_low_calibrated_range_energy_residual,167
47,pid_proxy_high_calibrated_range_energy_residual,240
47,pid_proxy_low_calibrated_range_energy_residual,240
48,pid_proxy_high_calibrated_range_energy_residual,240
48,pid_proxy_low_calibrated_range_energy_residual,240
49,pid_proxy_high_calibrated_range_energy_residual,240
49,pid_proxy_low_calibrated_range_energy_residual,240
50,pid_proxy_high_calibrated_range_energy_residual,240
50,pid_proxy_low_calibrated_range_energy_residual,240
51,pid_proxy_high_calibrated_range_energy_residual,240
51,pid_proxy_low_calibrated_range_energy_residual,240
52,pid_proxy_high_calibrated_range_energy_residual,240
52,pid_proxy_low_calibrated_range_energy_residual,240
53,pid_proxy_high_calibrated_range_energy_residual,240
53,pid_proxy_low_calibrated_range_energy_residual,240
54,pid_proxy_high_calibrated_range_energy_residual,240
54,pid_proxy_low_calibrated_range_energy_residual,240
55,pid_proxy_high_calibrated_range_energy_residual,240
55,pid_proxy_low_calibrated_range_energy_residual,240
56,pid_proxy_high_calibrated_range_energy_residual,240
56,pid_proxy_low_calibrated_range_energy_residual,240
57,pid_proxy_high_calibrated_range_energy_residual,240
57,pid_proxy_low_calibrated_range_energy_residual,240
58,pid_proxy_high_calibrated_range_energy_residual,240
58,pid_proxy_low_calibrated_range_energy_residual,240
59,pid_proxy_high_calibrated_range_energy_residual,240
59,pid_proxy_low_calibrated_range_energy_residual,240
60,pid_proxy_high_calibrated_range_energy_residual,240
60,pid_proxy_low_calibrated_range_energy_residual,240
61,pid_proxy_high_calibrated_range_energy_residual,240
61,pid_proxy_low_calibrated_range_energy_residual,240
62,pid_proxy_high_calibrated_range_energy_residual,240
62,pid_proxy_low_calibrated_range_energy_residual,240
63,pid_proxy_high_calibrated_range_energy_residual,240
63,pid_proxy_low_calibrated_range_energy_residual,240
64,pid_proxy_high_calibrated_range_energy_residual,240
64,pid_proxy_low_calibrated_range_energy_residual,240
65,pid_proxy_high_calibrated_range_energy_residual,240
65,pid_proxy_low_calibrated_range_energy_residual,240
