method,family,n_events,n_runs,roc_auc,average_precision,brier,ece,purity_at_fixed_efficiency,bootstrap_valid,auc_ci,ap_ci,brier_ci,ece_ci,purity_ci,topology_bootstrap_valid,topology_auc_ci,topology_ap_ci,topology_purity_ci
traditional_deltae_depth_ridge,head_to_head,15694,33,0.9857505128386561,0.9821570967790085,0.10210686116887702,0.2237874240616505,0.9889711674806996,500,"[0.9757940041309785, 0.9928370434249144]","[0.9729383326962704, 0.98991701966344]","[0.09255609365665653, 0.111534994718676]","[0.20936775930490015, 0.24524511924729078]","[0.9655301423351563, 0.9954015880089536]",499,"[0.9030566072582878, 0.9915088785812695]","[0.8984904737189326, 0.9913148919382947]","[0.8364116094986808, 0.9925950128976784]"
ridge,head_to_head,15694,33,0.9602120223026046,0.9298047248844381,0.11618555824762493,0.2192740070807888,0.9734801488833746,500,"[0.9429356144302878, 0.9743640561932768]","[0.9142295549117246, 0.9446977152931035]","[0.10757833559421133, 0.12654619298389636]","[0.19559353141174107, 0.2548235225204954]","[0.9387002843504253, 0.9822306246922613]",500,"[0.7894970657098126, 0.973977061322845]","[0.68292197825984, 0.9460986200359162]","[0.6756561912531479, 0.9806915063406522]"
gradient_boosted_trees,head_to_head,15694,33,0.9883565369415573,0.989415112750327,0.09324433951973028,0.21879946379513027,0.9961928934010152,500,"[0.9819759592811764, 0.9948255256717742]","[0.9837914427383505, 0.9952104036753184]","[0.08569802547872042, 0.10114895046104443]","[0.21073255919277414, 0.2421467594227608]","[0.9916995308493071, 0.999526817600106]",500,"[0.9211640692213356, 0.9931199019185061]","[0.895269629847, 0.9935081049751286]","[0.8266511266511267, 0.9986203113265429]"
mlp,head_to_head,15694,33,0.9888277964990864,0.9895717672161728,0.09268769098481484,0.22026118884219487,0.9963492063492063,500,"[0.9824880342317366, 0.9946170274813558]","[0.98374931607708, 0.9948293108083005]","[0.08464239297187126, 0.10058074704961263]","[0.20907849351728033, 0.24242346122951985]","[0.9908319090124847, 0.9984173000924628]",500,"[0.9454272914484015, 0.9929100706208221]","[0.9145503494093133, 0.9931885208063366]","[0.8607950530035335, 0.9975146859466787]"
cnn_1d,head_to_head,15694,33,0.9003436826542234,0.8547449842223478,0.14309101493496812,0.16901908458604578,0.8384985305904354,500,"[0.860743303371893, 0.9323782394619329]","[0.8006302186516596, 0.904518953746212]","[0.12880844286091928, 0.1587517895443926]","[0.1312573630792822, 0.20588584627672132]","[0.7800517702024392, 0.892710630966816]",500,"[0.8581009403483053, 0.9060879610420082]","[0.7720721502302299, 0.8633151157255179]","[0.746392632524708, 0.859581253573581]"
support_residual_hybrid_mlp_new,head_to_head,15694,33,0.9977584882952221,0.9956162084037223,0.07915322388395758,0.25235278094642283,0.9987271280827367,500,"[0.99615808774296, 0.9990294514827597]","[0.9925122948333985, 0.9985617132291327]","[0.07536529728229575, 0.08326747335908015]","[0.24565427282841523, 0.2610520087799398]","[0.9974326455932039, 0.9996785082784119]",500,"[0.9801605111371158, 0.998230602712701]","[0.9647117193870655, 0.996657574530545]","[0.9704050355774494, 0.9990876801318735]"
sentinel_charge_only_ridge,sentinel,15694,33,0.9833426766194927,0.9817428326979115,0.10615679862587708,0.22804257951337706,0.988503937007874,500,"[0.973947619474482, 0.9914309589883045]","[0.9731791085045173, 0.9893584974610452]","[0.09619910240014676, 0.11561222544788059]","[0.20985419591553187, 0.2470814203452706]","[0.9771773930178448, 0.9924998304006655]",500,"[0.9535892490682846, 0.9860783913776374]","[0.9461034823196771, 0.9842307222689758]","[0.902002358647266, 0.9897745369206269]"
sentinel_depth_only_ridge,sentinel,15694,33,0.7934496870333415,0.7292836942672115,0.2225555277932383,0.11196749297257713,0.7333800677649258,500,"[0.7660797036752666, 0.8204914338300939]","[0.702486566151165, 0.7582974451378557]","[0.2154609604831265, 0.2303759632950372]","[0.08330401024938272, 0.1421847646613162]","[0.7027390515630138, 0.7655040544712629]",500,"[0.5619635594124334, 0.8288110506851413]","[0.5477920990786569, 0.7630937862107552]","[0.5072697899838449, 0.7465364234182468]"
sentinel_topology_only_ridge,sentinel,15694,33,0.7913722099677811,0.8646548606820718,0.13866375014701804,0.12798532217520628,0.5372209489856549,500,"[0.736257402137954, 0.8470565912689987]","[0.8201483650185607, 0.9021382730678151]","[0.11705839558131557, 0.16263264815967712]","[0.08201943380993393, 0.16960062018339303]","[0.515653865858179, 0.98109536078684]",500,"[0.606394341563291, 0.7977490088042197]","[0.6613240532484164, 0.867422434394989]","[0.519855129607489, 0.5909585300379524]"
sentinel_group_event_order_ridge,sentinel,15694,33,0.4848883748380786,0.4843372717110105,0.2845088680744829,0.14022377008900166,0.4962839974699557,500,"[0.47793275506890376, 0.4911945026121357]","[0.47759842716811435, 0.491266599531747]","[0.2712579654579868, 0.2999846052913725]","[0.11240275483076845, 0.1723076073837236]","[0.49231181283450154, 0.49881570321448615]",500,"[0.44425221543799653, 0.49713504279555015]","[0.439033525491301, 0.5456038797834898]","[0.4440827016438123, 0.5336833175283353]"
