null_variant,method,null_positive_fraction,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,ece,bootstrap_valid
global_shuffle,traditional_deltae_depth_ridge,0.5,0.500366209504187,0.492286808275994,0.5079890582873439,0.4998505195463562,0.49222039191423383,0.508640672562703,0.20633133225091402,500
global_shuffle,ridge,0.5,0.4985118003844684,0.4905600527469692,0.5065937626125719,0.50038339763186,0.4915116214139434,0.5099181524060415,0.19974404019987907,500
global_shuffle,gradient_boosted_trees,0.5,0.5014883132972775,0.492690745806553,0.5102362215084235,0.5035581703675764,0.4946319194414589,0.5129452795799161,0.22173447434509003,500
global_shuffle,mlp,0.5,0.5026440506469068,0.4937143503906061,0.5115361285885557,0.5047869035403604,0.49633220241031034,0.5137145550309868,0.22398501989999958,500
global_shuffle,cnn_1d,0.5,0.49865403248884627,0.489463269953885,0.5071643855360741,0.5004853209465288,0.49155349553484357,0.5095385316287974,0.19339666816316436,500
global_shuffle,support_residual_hybrid_mlp_new,0.5,0.5022301354100628,0.49314112697184576,0.5117574324455596,0.5031937620465136,0.4935240581658997,0.5133879834324631,0.22923253828385626,500
within_run_shuffle,traditional_deltae_depth_ridge,0.5,0.4898140424856942,0.48146972725997345,0.49781923855004656,0.49016428727292266,0.4832722094107237,0.4975778342494801,0.2139775664805559,500
within_run_shuffle,ridge,0.5,0.4897349849515413,0.48160832998546066,0.49795288873302646,0.49015558172084417,0.4844604207912832,0.49632533640127774,0.20802746061532443,500
within_run_shuffle,gradient_boosted_trees,0.5,0.49202607001765913,0.48358957901031974,0.5004052743342515,0.4948867442431403,0.48913355650229307,0.5010119916583068,0.22950814581189266,500
within_run_shuffle,mlp,0.5,0.49197898141447993,0.48322086022536814,0.5003515381315689,0.4961406470557581,0.4886055358335347,0.5039599231147746,0.23226844031544497,500
within_run_shuffle,cnn_1d,0.5,0.4939990897989812,0.4839989942432532,0.5035896525710685,0.49366249287607594,0.48531317305495586,0.5027621381333502,0.19607285014353906,500
within_run_shuffle,support_residual_hybrid_mlp_new,0.5,0.49225350659059364,0.48438482540606587,0.49990966421839383,0.4951508745171928,0.4891760401641339,0.5023899032295784,0.23713364698781958,500
within_run_depth_shuffle,traditional_deltae_depth_ridge,0.5,0.5024766948766837,0.49489161461521786,0.5092560043337752,0.501299869104568,0.49508276850104965,0.5083250644899188,0.20494124133422362,500
within_run_depth_shuffle,ridge,0.5,0.5046523036493351,0.4969903175641002,0.5126962199775855,0.5043619517487253,0.4988439239495943,0.5109780515113296,0.19783248164246856,500
within_run_depth_shuffle,gradient_boosted_trees,0.5,0.5042166102380254,0.4960524090875304,0.5116118931953492,0.5018109350725093,0.494328656963197,0.5094373061560203,0.22020522749916166,500
within_run_depth_shuffle,mlp,0.5,0.5020245500927164,0.49393033263008673,0.5092318988900261,0.499906342845096,0.49299010124203463,0.5064652811960755,0.22283808476555333,500
within_run_depth_shuffle,cnn_1d,0.5,0.5027076718239907,0.49539591131403177,0.5099160551164104,0.49848962566440397,0.4918653168225551,0.5054976033198797,0.18842661591389712,500
within_run_depth_shuffle,support_residual_hybrid_mlp_new,0.5,0.5025911236740628,0.495471678192914,0.5094920831606812,0.4997545670521547,0.49427897887959543,0.5057558756261281,0.22668379354064233,500
within_support_cell_shuffle,traditional_deltae_depth_ridge,0.5,0.965139833663143,0.9525837932535404,0.9758785813585655,0.9620041358299685,0.9485586238537412,0.9732908847295395,0.20237796821865314,500
within_support_cell_shuffle,ridge,0.5,0.943279272412141,0.9250950074670646,0.9608620738398622,0.9221509810245975,0.9029436376694511,0.9400059002166593,0.18970856805950678,500
within_support_cell_shuffle,gradient_boosted_trees,0.5,0.9560083799037372,0.9444175779842128,0.9663952174399385,0.9507093929063722,0.9358324812610029,0.9626827682115353,0.17848024932284462,500
within_support_cell_shuffle,mlp,0.5,0.9530176892531889,0.941278866615116,0.9641029112677793,0.9529435715601047,0.9404106910521655,0.9633913170510242,0.1749618468689504,500
within_support_cell_shuffle,cnn_1d,0.5,0.8834431209381005,0.8528568341118916,0.9064617333721988,0.8378541665508769,0.8059148702291319,0.8714101020863124,0.15054068519774452,500
within_support_cell_shuffle,support_residual_hybrid_mlp_new,0.5,0.9603630891026642,0.9491324758950785,0.9694094535772794,0.9550570029731231,0.9408961538683587,0.9663753870322269,0.20024122060780342,500
