n_pair_residuals,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,run,method,policy,pair_scope,n_accepted_events,acceptance
414,3.465762583007815,18.75944720175216,0.2028985507246377,58,traditional_explicit_timewalk,train95_pathology_interaction_veto,all_six_with_b2,69,0.9583333333333334
207,1.7819383593750004,2.657359916925736,0.07246376811594203,58,traditional_explicit_timewalk,train95_pathology_interaction_veto,downstream_only,69,0.9583333333333334
4404,3.001412773132324,10.507195953552358,0.1360127157129882,59,traditional_explicit_timewalk,train95_pathology_interaction_veto,all_six_with_b2,734,0.9799732977303071
2202,1.7597100253295888,4.4749263191020185,0.05994550408719346,59,traditional_explicit_timewalk,train95_pathology_interaction_veto,downstream_only,734,0.9799732977303071
4758,2.7869883728027336,8.501962296193787,0.08343841950399328,60,traditional_explicit_timewalk,train95_pathology_interaction_veto,all_six_with_b2,793,0.9887780548628429
2379,1.9673210906982423,5.995464641710075,0.07650273224043716,60,traditional_explicit_timewalk,train95_pathology_interaction_veto,downstream_only,793,0.9887780548628429
5538,2.969421493530274,7.81299724529628,0.09082701336222462,61,traditional_explicit_timewalk,train95_pathology_interaction_veto,all_six_with_b2,923,0.9978378378378379
2769,1.972829161987306,6.536637006371983,0.0816179126038281,61,traditional_explicit_timewalk,train95_pathology_interaction_veto,downstream_only,923,0.9978378378378379
4734,2.8281575012207023,7.649407414269298,0.08893113645965357,62,traditional_explicit_timewalk,train95_pathology_interaction_veto,all_six_with_b2,789,0.9887218045112782
2367,1.8409002001953119,2.5745918621097124,0.05618926911702577,62,traditional_explicit_timewalk,train95_pathology_interaction_veto,downstream_only,789,0.9887218045112782
2124,3.088526479797365,13.92931157135403,0.16854990583804144,63,traditional_explicit_timewalk,train95_pathology_interaction_veto,all_six_with_b2,354,0.9698630136986301
1062,1.7252304840087864,6.406096791728962,0.07156308851224105,63,traditional_explicit_timewalk,train95_pathology_interaction_veto,downstream_only,354,0.9698630136986301
360,2.922185714721688,18.263730779396774,0.16944444444444445,65,traditional_explicit_timewalk,train95_pathology_interaction_veto,all_six_with_b2,60,0.9523809523809523
180,1.6448623217773497,2.1509804087109545,0.027777777777777776,65,traditional_explicit_timewalk,train95_pathology_interaction_veto,downstream_only,60,0.9523809523809523
414,4.543064193725588,18.98028229483595,0.21980676328502416,58,ridge,train95_pathology_interaction_veto,all_six_with_b2,69,0.9583333333333334
207,1.8992473574829032,3.388466552661512,0.07729468599033816,58,ridge,train95_pathology_interaction_veto,downstream_only,69,0.9583333333333334
4386,3.547671127319335,10.317443884799458,0.14979480164158687,59,ridge,train95_pathology_interaction_veto,all_six_with_b2,731,0.9759679572763685
2193,1.9519588281249975,3.9880725247482016,0.06429548563611491,59,ridge,train95_pathology_interaction_veto,downstream_only,731,0.9759679572763685
4734,3.34830017883301,8.646235134522865,0.10583016476552598,60,ridge,train95_pathology_interaction_veto,all_six_with_b2,789,0.983790523690773
2367,2.0085474853515635,5.9321615858251215,0.07942543303760034,60,ridge,train95_pathology_interaction_veto,downstream_only,789,0.983790523690773
5508,3.5790706494140654,7.772643912424574,0.1359840232389252,61,ridge,train95_pathology_interaction_veto,all_six_with_b2,918,0.9924324324324324
2754,2.2436933898925764,6.447580422424095,0.11474219317356572,61,ridge,train95_pathology_interaction_veto,downstream_only,918,0.9924324324324324
4710,3.3992713464355484,7.801669564616491,0.11549893842887474,62,ridge,train95_pathology_interaction_veto,all_six_with_b2,785,0.9837092731829574
2355,2.043782380981446,3.059643527716892,0.06581740976645435,62,ridge,train95_pathology_interaction_veto,downstream_only,785,0.9837092731829574
2118,3.7629786950683615,14.020510338770464,0.18744098205854579,63,ridge,train95_pathology_interaction_veto,all_six_with_b2,353,0.9671232876712329
1059,1.9980200463867293,6.583697571977684,0.0821529745042493,63,ridge,train95_pathology_interaction_veto,downstream_only,353,0.9671232876712329
360,3.796580474853517,18.30156247957376,0.18888888888888888,65,ridge,train95_pathology_interaction_veto,all_six_with_b2,60,0.9523809523809523
180,2.147698778076168,2.6720589746398966,0.05555555555555555,65,ridge,train95_pathology_interaction_veto,downstream_only,60,0.9523809523809523
420,3.7133976849365213,18.925091621150877,0.20714285714285716,58,hgb,train95_pathology_interaction_veto,all_six_with_b2,70,0.9722222222222222
210,2.002833892517087,3.3192607857975776,0.0761904761904762,58,hgb,train95_pathology_interaction_veto,downstream_only,70,0.9722222222222222
4392,2.814289436645508,10.000204100623192,0.1284153005464481,59,hgb,train95_pathology_interaction_veto,all_six_with_b2,732,0.9773030707610146
2196,1.7754075866699217,3.10722510256554,0.046903460837887066,59,hgb,train95_pathology_interaction_veto,downstream_only,732,0.9773030707610146
4728,2.528853820800779,7.619636735515048,0.06006768189509306,60,hgb,train95_pathology_interaction_veto,all_six_with_b2,788,0.9825436408977556
2364,1.7490681076049845,4.271092670970377,0.04187817258883249,60,hgb,train95_pathology_interaction_veto,downstream_only,788,0.9825436408977556
5514,2.805956044921878,7.691254814204971,0.0854189336235038,61,hgb,train95_pathology_interaction_veto,all_six_with_b2,919,0.9935135135135135
2757,2.007852412109376,6.223728027625964,0.06238665215814291,61,hgb,train95_pathology_interaction_veto,downstream_only,919,0.9935135135135135
4740,2.6094405682373063,7.677469991315754,0.07784810126582278,62,hgb,train95_pathology_interaction_veto,all_six_with_b2,790,0.9899749373433584
2370,1.8552834320068359,2.46549626797641,0.03291139240506329,62,hgb,train95_pathology_interaction_veto,downstream_only,790,0.9899749373433584
2118,3.0428194348144517,13.050362491228574,0.1562795089707271,63,hgb,train95_pathology_interaction_veto,all_six_with_b2,353,0.9671232876712329
1059,1.8688586694335898,3.54632846988477,0.05571293673276676,63,hgb,train95_pathology_interaction_veto,downstream_only,353,0.9671232876712329
360,3.3880612643432624,18.284093148377725,0.17222222222222222,65,hgb,train95_pathology_interaction_veto,all_six_with_b2,60,0.9523809523809523
180,2.062092145996099,2.44950814736273,0.044444444444444446,65,hgb,train95_pathology_interaction_veto,downstream_only,60,0.9523809523809523
420,4.07865848815918,18.84029479182925,0.20952380952380953,58,mlp,train95_pathology_interaction_veto,all_six_with_b2,70,0.9722222222222222
210,2.1529235156250004,3.3795976986331415,0.06666666666666667,58,mlp,train95_pathology_interaction_veto,downstream_only,70,0.9722222222222222
4374,3.1160474224853516,10.150721520079355,0.1319158664837677,59,mlp,train95_pathology_interaction_veto,all_six_with_b2,729,0.9732977303070761
2187,1.9880394604492175,4.061017180000351,0.05761316872427984,59,mlp,train95_pathology_interaction_veto,downstream_only,729,0.9732977303070761
4740,2.7409870288085934,7.196113842601679,0.06962025316455696,60,mlp,train95_pathology_interaction_veto,all_six_with_b2,790,0.9850374064837906
2370,1.932738693237294,3.514050637096891,0.04514767932489452,60,mlp,train95_pathology_interaction_veto,downstream_only,790,0.9850374064837906
5520,3.073081430664063,7.549504619933454,0.10090579710144927,61,mlp,train95_pathology_interaction_veto,all_six_with_b2,920,0.9945945945945946
2760,2.167299041748043,6.092429870752163,0.07101449275362319,61,mlp,train95_pathology_interaction_veto,downstream_only,920,0.9945945945945946
4734,2.8680289916992177,7.721204099712255,0.08259400084495142,62,mlp,train95_pathology_interaction_veto,all_six_with_b2,789,0.9887218045112782
2367,2.008975296020505,2.674953656779297,0.03633291085762569,62,mlp,train95_pathology_interaction_veto,downstream_only,789,0.9887218045112782
